代码,名称,2026-04-30,2026-05-06,2026-05-07,2026-05-08,2026-05-11,2026-05-12,2026-05-13,2026-05-14,2026-05-15,2026-05-18,2026-05-19,2026-05-20,2026-05-21,2026-05-22,2026-05-25,2026-05-26,2026-05-27,2026-05-28,2026-05-29,2026-06-01,2026-06-02,2026-06-03,2026-06-04,2026-06-05,2026-06-08,2026-06-09,2026-06-10,2026-06-11,2026-06-12
801983.SI,医疗美容,33,33,33,33,66,33,66,66,33,33,33,33,33,33,33,33,33,33,33,33,33,33,0,0,0,0,0,0,33
801982.SI,化妆品,71,78,78,92,64,57,57,57,42,42,35,35,21,21,14,14,14,0,14,14,14,14,14,14,7,7,7,7,14
801981.SI,个护用品,33,41,41,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,16,25,8,0,0,0,0,0,0,8,25
801972.SI,环保设备Ⅱ,73,66,77,74,77,73,70,66,59,59,62,51,48,51,55,37,29,25,22,14,14,14,11,11,14,22,25,22,25
801971.SI,环境治理,74,75,76,76,77,66,67,56,48,48,48,40,21,25,20,22,14,16,12,18,17,17,18,18,9,9,12,10,16
801963.SI,炼化及贸易,63,63,56,53,60,53,50,43,40,30,30,30,16,16,13,13,6,13,10,6,6,13,10,10,6,6,6,3,13
801962.SI,油服工程,15,7,0,7,15,7,7,0,0,16,16,16,7,0,0,0,0,0,7,7,7,7,0,0,0,0,0,0,0
801961.SI,油气开采Ⅱ,50,50,0,25,25,25,25,25,25,25,0,25,0,0,0,0,0,0,0,0,0,25,25,25,50,0,0,0,0
801952.SI,焦炭Ⅱ,57,71,28,42,28,0,28,14,0,0,14,14,0,0,0,0,0,14,14,85,71,85,100,85,85,28,0,0,0
801951.SI,煤炭开采,80,86,60,60,66,53,50,26,30,53,50,30,16,10,33,13,23,36,73,96,90,100,93,90,70,56,40,43,50
801102.SI,通信设备,55,67,79,82,82,83,85,73,63,69,76,67,29,53,57,40,27,35,29,27,27,29,31,38,29,37,32,27,22
801223.SI,通信服务,57,71,78,84,86,76,84,73,73,76,89,78,34,44,39,23,13,10,10,15,18,18,13,15,5,5,13,5,5
801995.SI,电视广播Ⅱ,50,57,71,71,78,50,64,21,21,57,71,50,35,28,35,21,28,14,14,14,14,7,7,14,0,0,0,0,0
