代码,名称,2026-06-01,2026-06-02,2026-06-03,2026-06-04,2026-06-05,2026-06-08,2026-06-09,2026-06-10,2026-06-11,2026-06-12,2026-06-15,2026-06-16,2026-06-17,2026-06-18,2026-06-22,2026-06-23,2026-06-24,2026-06-25,2026-06-26,2026-06-29,2026-06-30,2026-07-01,2026-07-02,2026-07-03,2026-07-06,2026-07-07,2026-07-08,2026-07-09,2026-07-10
801983.SI,医疗美容,33,33,33,0,0,0,0,0,0,33,0,0,0,0,33,33,33,33,0,33,33,33,66,100,100,0,0,0,0
801982.SI,化妆品,14,14,14,14,14,7,7,7,7,14,14,14,14,7,0,7,14,0,7,7,7,28,35,35,42,28,35,21,42
801981.SI,个护用品,25,8,0,0,0,0,0,0,8,25,41,33,25,25,25,25,25,16,16,25,16,25,33,41,50,41,41,33,33
801972.SI,环保设备Ⅱ,14,14,14,11,11,14,22,25,22,25,29,33,33,29,33,48,48,44,29,29,33,33,33,48,22,22,18,18,25
801971.SI,环境治理,18,17,17,18,18,9,9,12,10,16,22,23,20,20,25,29,22,18,12,8,12,18,19,23,32,24,24,20,22
801963.SI,炼化及贸易,6,6,13,10,10,6,6,6,3,13,26,23,26,13,33,30,26,23,16,16,13,23,26,36,40,23,16,23,20
801962.SI,油服工程,7,7,7,0,0,0,0,0,0,0,7,15,23,15,23,23,15,15,15,15,15,15,15,15,15,7,15,15,23
801961.SI,油气开采Ⅱ,0,0,25,25,25,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,25,25
801952.SI,焦炭Ⅱ,85,71,85,100,85,85,28,0,0,0,14,14,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
801951.SI,煤炭开采,96,90,100,93,90,70,56,40,43,50,30,20,10,3,10,6,6,6,6,6,6,6,6,13,33,23,33,20,20
801102.SI,通信设备,27,27,29,31,38,29,37,32,27,22,40,51,55,52,54,47,44,38,28,29,37,35,20,15,12,11,12,17,20
801223.SI,通信服务,15,18,18,13,15,5,5,13,5,5,10,15,13,23,34,28,28,28,10,7,15,29,26,28,23,10,15,15,34
801995.SI,电视广播Ⅱ,14,14,7,7,14,0,0,0,0,0,0,7,7,0,21,21,7,0,0,0,0,0,0,0,7,0,0,0,35
801769.SI,出版,17,3,3,3,3,6,13,24,10,20,20,13,10,17,17,13,6,3,0,0,3,6,13,13,31,13,20,27,34
801768.SI,社交Ⅱ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801767.SI,数字媒体,28,21,21,14,21,30,28,21,7,14,21,14,15,15,38,23,7,0,0,0,0,0,0,7,7,7,7,7,28
801766.SI,影视院线,38,26,10,15,15,15,15,10,0,0,0,0,0,0,5,5,0,5,5,5,5,15,26,36,36,36,21,36,63
801765.SI,广告营销,21,10,7,7,3,3,7,7,3,3,3,3,3,10,10,7,7,7,7,3,7,7,17,14,10,3,3,3,17
801764.SI,游戏Ⅱ,11,3,3,3,7,3,7,7,7,0,11,11,7,15,30,23,30,38,30,38,48,46,42,38,50,46,42,42,61
801104.SI,软件开发,10,11,8,6,7,12,14,13,11,13,16,16,15,17,23,26,15,12,9,11,13,21,19,18,15,9,16,19,25
801103.SI,IT服务Ⅱ,12,10,10,7,8,7,11,13,8,7,14,18,16,22,30,23,23,16,14,11,16,25,21,22,15,10,12,18,27
801101.SI,计算机设备,7,7,7,9,11,7,7,8,7,5,10,22,33,36,33,39,33,29,20,17,29,30,23,25,26,20,25,26,29
801745.SI,军工电子Ⅱ,9,11,11,12,11,14,14,12,17,19,32,38,40,40,38,33,38,40,37,35,54,59,43,62,46,30,20,29,48
801744.SI,航海装备Ⅱ,0,0,0,0,10,10,10,10,10,10,20,20,30,20,30,10,40,10,10,10,10,10,20,70,70,40,30,30,50
801743.SI,地面兵装Ⅱ,16,16,16,25,16,8,16,16,16,16,33,25,16,16,25,16,16,16,16,8,16,16,25,25,33,25,8,8,41
801742.SI,航空装备Ⅱ,6,2,2,0,0,0,0,2,2,26,27,26,26,35,33,15,24,13,15,17,33,42,24,66,33,13,8,13,26
801741.SI,航天装备Ⅱ,0,0,0,0,0,11,22,11,0,33,33,33,11,33,11,11,11,0,33,22,44,55,44,88,55,44,11,33,100
