代码,名称,2026-05-22,2026-05-25,2026-05-26,2026-05-27,2026-05-28,2026-05-29,2026-06-01,2026-06-02,2026-06-03,2026-06-04,2026-06-05,2026-06-08,2026-06-09,2026-06-10,2026-06-11,2026-06-12,2026-06-15,2026-06-16,2026-06-17,2026-06-18,2026-06-22,2026-06-23,2026-06-24,2026-06-25,2026-06-26,2026-06-29,2026-06-30,2026-07-01,2026-07-02
801983.SI,医疗美容,33,33,33,33,33,33,33,33,33,0,0,0,0,0,0,33,0,0,0,0,33,33,33,33,0,33,33,33,66
801982.SI,化妆品,21,14,14,14,0,14,14,14,14,14,14,7,7,7,7,14,14,14,14,7,0,7,14,0,7,7,7,28,35
801981.SI,个护用品,0,0,0,0,0,16,25,8,0,0,0,0,0,0,8,25,41,33,25,25,25,25,25,16,16,25,16,25,33
801972.SI,环保设备Ⅱ,51,55,37,29,25,22,14,14,14,11,11,14,22,25,22,25,29,33,33,29,33,48,48,44,29,29,33,33,33
801971.SI,环境治理,25,20,22,14,16,12,18,17,17,18,18,9,9,12,10,16,22,23,20,20,25,29,22,18,12,8,12,18,19
801963.SI,炼化及贸易,16,13,13,6,13,10,6,6,13,10,10,6,6,6,3,13,26,23,26,13,33,30,26,23,16,16,13,23,26
801962.SI,油服工程,0,0,0,0,0,7,7,7,7,0,0,0,0,0,0,0,7,15,23,15,23,23,15,15,15,15,15,15,15
801961.SI,油气开采Ⅱ,0,0,0,0,0,0,0,0,25,25,25,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801952.SI,焦炭Ⅱ,0,0,0,0,14,14,85,71,85,100,85,85,28,0,0,0,14,14,0,0,0,14,0,0,0,0,0,0,0
801951.SI,煤炭开采,10,33,13,23,36,73,96,90,100,93,90,70,56,40,43,50,30,20,10,3,10,6,6,6,6,6,6,6,6
801102.SI,通信设备,53,57,40,27,35,29,27,27,29,31,38,29,37,32,27,22,40,51,55,52,54,47,44,38,28,29,37,35,20
801223.SI,通信服务,44,39,23,13,10,10,15,18,18,13,15,5,5,13,5,5,10,15,13,23,34,28,28,28,10,7,15,29,26
801995.SI,电视广播Ⅱ,28,35,21,28,14,14,14,14,7,7,14,0,0,0,0,0,0,7,7,0,21,21,7,0,0,0,0,0,0
801769.SI,出版,6,6,3,0,0,6,17,3,3,3,3,6,13,24,10,20,20,13,10,17,17,13,6,3,0,0,3,6,13
801768.SI,社交Ⅱ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801767.SI,数字媒体,21,21,14,21,14,14,28,21,21,14,21,30,28,21,7,14,21,14,15,15,38,23,7,0,0,0,0,0,0
801766.SI,影视院线,36,26,31,42,31,31,38,26,10,15,15,15,15,10,0,0,0,0,0,0,5,5,0,5,5,5,5,15,26
801765.SI,广告营销,21,21,17,14,14,10,21,10,7,7,3,3,7,7,3,3,3,3,3,10,10,7,7,7,7,3,7,7,17
801764.SI,游戏Ⅱ,19,19,11,11,11,3,11,3,3,3,7,3,7,7,7,0,11,11,7,15,30,23,30,38,30,38,48,46,42
801104.SI,软件开发,30,36,24,21,17,6,10,11,8,6,7,12,14,13,11,13,16,16,15,17,23,26,15,12,9,11,13,21,19
801103.SI,IT服务Ⅱ,28,29,21,10,15,4,12,10,10,7,8,7,11,13,8,7,14,18,16,22,30,23,23,16,14,11,16,25,21
801101.SI,计算机设备,33,33,26,19,16,4,7,7,7,9,11,7,7,8,7,5,10,22,33,36,33,39,33,29,20,17,29,30,23
801745.SI,军工电子Ⅱ,37,41,29,19,25,11,9,11,11,12,11,14,14,12,17,19,32,38,40,40,38,33,38,40,37,35,54,59,43
801744.SI,航海装备Ⅱ,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,20,20,30,20,30,10,40,10,10,10,10,10,20
801743.SI,地面兵装Ⅱ,25,25,25,16,16,25,16,16,16,25,16,8,16,16,16,16,33,25,16,16,25,16,16,16,16,8,16,16,25
801742.SI,航空装备Ⅱ,26,41,19,10,10,4,6,2,2,0,0,0,0,2,2,26,27,26,26,35,33,15,24,13,15,17,33,42,24
801741.SI,航天装备Ⅱ,33,33,11,11,11,11,0,0,0,0,0,11,22,11,0,33,33,33,11,33,11,11,11,0,33,22,44,55,44
801078.SI,自动化设备,81,83,72,58,56,31,22,27,34,35,39,37,41,27,22,18,39,51,55,62,51,53,51,49,39,37,49,50,41
801077.SI,工程机械,42,39,28,14,14,7,7,10,10,14,14,25,28,17,14,21,32,32,35,35,42,35,28,10,14,14,21,28,42
801076.SI,轨交设备Ⅱ,23,10,16,3,9,9,12,12,9,12,16,9,16,16,9,19,25,25,35,25,35,45,29,25,25,19,22,29,29
801074.SI,专用设备,40,38,29,18,20,12,14,14,14,18,19,15,16,17,14,16,22,27,29,34,31,30,30,27,25,18,26,31,27
801072.SI,通用设备,54,53,43,28,33,18,15,19,17,22,27,24,29,24,22,19,29,36,38,45,39,42,38,35,30,29,38,40,41
801738.SI,电网设备,42,43,26,25,33,32,29,20,18,12,12,8,8,4,4,4,7,17,16,16,25,21,17,15,8,11,15,17,16
801737.SI,电池,45,32,34,25,26,22,20,20,19,17,15,10,19,16,14,18,28,49,51,44,62,47,45,39,18,18,38,40,39
801736.SI,风电设备,20,31,20,13,17,3,6,6,3,3,0,0,0,3,3,3,6,6,10,10,17,13,10,10,13,10,20,24,24
801735.SI,光伏设备,40,35,28,26,26,20,20,17,18,21,14,10,17,12,17,17,18,26,28,28,26,23,23,25,25,28,34,34,28
801733.SI,其他电源设备Ⅱ,55,48,44,34,44,31,31,31,34,41,37,24,30,20,23,16,36,40,40,50,50,40,33,36,26,30,40,26,10
