代码,名称,2026-07-15,2026-07-16,2026-07-17,2026-07-20,2026-07-21,2026-07-22,2026-07-23,2026-07-24,2026-07-27,2026-07-28,2026-07-29,2026-07-30,2026-07-31,2026-08-03,2026-08-04,2026-08-05,2026-08-06,2026-08-07,2026-08-10,2026-08-11,2026-08-12,2026-08-13,2026-08-14,2026-08-17,2026-08-18,2026-08-19,2026-08-20,2026-08-21,2026-08-24
801983.SI,医疗美容,66,66,66,66,66,66,66,66,66,66,66,66,100,100,100,100,100,100,100,100,66,66,33,33,33,33,33,33,33
801982.SI,化妆品,71,71,35,46,46,53,53,16,66,66,83,83,76,76,84,76,69,76,92,84,84,69,53,53,53,7,46,23,7
801981.SI,个护用品,75,75,66,75,66,58,50,25,50,58,75,83,83,91,91,91,83,83,91,75,66,58,41,58,62,41,75,50,25
801972.SI,环保设备Ⅱ,18,18,14,15,11,7,23,15,15,23,28,15,38,61,69,69,73,92,92,96,96,96,92,92,88,61,69,73,57
801971.SI,环境治理,39,42,30,29,25,21,35,26,33,32,48,45,56,70,79,86,88,84,92,90,89,82,78,81,77,55,68,62,53
801963.SI,炼化及贸易,36,36,26,36,30,40,56,30,33,33,60,50,73,83,83,86,96,96,96,96,93,76,80,86,93,76,83,83,80
801962.SI,油服工程,46,46,38,69,61,69,76,76,75,75,75,75,83,84,92,84,84,69,76,76,61,46,38,61,84,69,69,76,61
801961.SI,油气开采Ⅱ,75,75,75,75,75,75,75,75,50,50,50,50,50,75,75,50,75,75,75,100,100,50,50,75,75,50,75,75,75
801952.SI,焦炭Ⅱ,57,85,28,71,42,71,85,71,85,85,100,71,85,100,100,100,100,100,100,100,100,85,100,85,85,100,71,71,85
801951.SI,煤炭开采,80,60,50,88,76,96,96,80,88,65,92,84,84,69,61,61,92,84,96,100,92,73,84,88,80,84,84,88,96
801102.SI,通信设备,9,11,9,8,10,11,14,10,14,16,23,21,26,32,48,60,74,84,85,89,94,91,94,94,91,52,67,72,60
801223.SI,通信服务,15,23,15,24,27,27,35,16,21,35,45,40,56,75,86,91,97,91,94,94,97,94,94,91,91,35,37,32,27
801995.SI,电视广播Ⅱ,57,78,50,50,64,42,71,28,71,78,100,100,100,100,100,100,100,100,100,100,100,92,71,71,35,7,21,7,7
801769.SI,出版,72,79,68,62,58,41,58,37,51,65,89,89,96,96,96,93,82,72,79,68,68,65,62,62,62,41,37,31,13
801768.SI,社交Ⅱ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801767.SI,数字媒体,35,42,28,50,57,28,42,0,50,50,64,64,85,85,100,100,100,100,100,100,100,92,92,92,75,21,35,28,14
801766.SI,影视院线,42,84,42,31,31,15,5,5,15,26,47,36,84,78,89,89,84,84,100,100,100,94,78,73,73,5,15,21,10
801765.SI,广告营销,28,42,28,28,28,17,37,11,44,55,59,57,85,89,92,96,92,92,96,96,96,89,92,89,80,21,32,28,17
801764.SI,游戏Ⅱ,50,57,11,26,30,19,23,0,15,15,61,42,73,76,100,100,96,96,100,96,100,92,88,76,69,34,34,23,7
801104.SI,软件开发,23,32,13,23,32,30,33,10,24,37,47,50,78,83,92,93,93,93,95,96,96,96,86,83,73,29,34,33,19
801103.SI,IT服务Ⅱ,15,26,11,18,29,28,33,15,27,35,43,40,66,75,88,97,96,95,95,95,96,95,86,86,80,27,31,23,15
801101.SI,计算机设备,21,25,14,19,24,23,25,18,29,31,48,41,62,70,81,83,91,93,91,93,93,85,82,86,81,37,50,52,35
801745.SI,军工电子Ⅱ,4,4,4,3,6,8,11,9,14,13,14,8,21,36,43,70,75,87,93,90,93,93,91,95,93,35,32,41,19
801744.SI,航海装备Ⅱ,10,10,0,0,10,10,40,40,60,50,70,70,80,80,90,90,90,100,100,100,90,80,80,80,70,10,10,30,10
801743.SI,地面兵装Ⅱ,8,8,8,8,8,16,41,50,58,50,66,66,83,83,83,91,100,100,100,100,100,100,100,100,83,33,25,33,25
801742.SI,航空装备Ⅱ,11,6,2,11,20,15,28,22,24,24,40,48,48,68,82,84,91,95,97,93,93,84,86,88,75,22,22,31,24
801741.SI,航天装备Ⅱ,0,11,11,11,11,11,11,11,11,11,22,0,22,22,33,55,66,88,100,77,88,88,100,100,100,22,11,11,0
801078.SI,自动化设备,8,7,5,3,5,3,3,3,6,7,12,12,27,41,53,72,81,94,91,97,98,93,91,94,92,59,62,60,54
801077.SI,工程机械,39,32,14,32,32,32,39,39,39,46,50,57,64,75,75,85,78,75,85,66,70,62,55,59,59,25,25,37,25
801076.SI,轨交设备Ⅱ,29,29,16,20,16,16,20,16,16,20,43,36,60,80,90,90,86,80,93,86,86,83,76,83,83,56,70,66,46
801074.SI,专用设备,14,19,7,7,9,8,14,9,15,19,28,32,45,62,74,81,85,92,95,95,96,92,90,93,89,55,65,62,51
801072.SI,通用设备,13,12,6,3,5,4,7,5,11,13,21,19,34,48,57,71,80,89,89,89,95,93,94,95,94,56,62,64,52
801738.SI,电网设备,10,8,8,9,15,15,37,30,45,39,53,48,58,75,88,91,93,95,96,94,97,91,86,92,78,37,42,44,36
801737.SI,电池,7,5,3,2,5,3,11,6,20,17,31,29,39,48,62,82,82,92,96,96,97,90,91,96,82,46,42,49,53
801736.SI,风电设备,0,0,0,6,10,3,33,10,36,46,53,53,63,83,86,90,90,100,100,96,100,93,73,80,64,30,23,26,13
801735.SI,光伏设备,3,0,0,0,1,3,9,3,6,6,19,31,48,65,69,78,83,92,89,98,100,95,92,96,87,40,45,63,44
801733.SI,其他电源设备Ⅱ,6,6,3,3,6,6,9,3,12,12,18,15,25,40,62,62,68,87,87,90,96,96,96,96,84,53,56,62,50
801731.SI,电机Ⅱ,3,3,0,0,3,0,3,3,7,7,19,19,42,73,88,92,92,96,96,100,100,100,96,96,96,34,46,46,30
801726.SI,工程咨询服务Ⅱ,39,48,19,15,12,7,15,10,17,22,55,40,77,85,85,92,97,95,95,95,97,90,90,92,84,65,77,67,62
801724.SI,专业工程,34,36,23,24,27,21,37,16,35,35,45,51,62,70,70,72,75,78,83,81,81,70,67,75,70,40,56,48,40
801723.SI,基础建设,48,53,35,39,34,31,51,29,51,51,63,63,78,85,85,87,85,77,77,72,75,72,65,67,47,32,37,37,30
801722.SI,装修装饰Ⅱ,18,27,4,4,4,4,13,9,13,18,22,27,36,54,68,77,81,77,86,90,90,90,90,95,100,68,72,77,59
801721.SI,房屋建设Ⅱ,62,62,62,75,62,62,75,50,75,75,75,75,75,75,87,87,62,50,50,50,75,62,37,75,25,25,50,25,25
801713.SI,装修建材,20,25,11,8,5,8,25,11,14,31,40,31,48,68,71,82,88,85,94,91,94,91,88,88,86,65,68,62,68
801712.SI,玻璃玻纤,0,0,0,0,0,0,0,0,0,0,25,25,31,50,56,62,81,93,100,93,100,87,93,93,93,56,50,62,25
801711.SI,水泥,42,47,33,38,33,23,52,19,33,38,61,61,80,90,90,85,95,80,85,80,85,76,66,71,70,42,52,52,42
801231.SI,综合Ⅱ,60,60,46,30,20,25,50,15,35,40,80,70,80,80,90,95,90,85,95,100,100,100,100,95,95,70,80,75,70
801191.SI,多元金融,50,42,30,41,58,41,54,33,45,45,83,83,87,91,91,91,87,79,87,70,83,75,45,58,46,16,25,25,29
801194.SI,保险Ⅱ,100,100,80,100,100,100,100,80,80,80,80,80,80,60,40,40,40,40,0,0,0,0,0,0,0,0,0,20,20
801193.SI,证券Ⅱ,68,52,32,54,66,40,70,12,26,8,52,58,68,70,76,74,44,34,42,28,44,52,20,34,14,0,2,2,8
801786.SI,其他银行Ⅱ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801785.SI,农商行Ⅱ,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,80,70,20,10,0,0,10,10,10,20,20,30,40,80
801784.SI,城商行Ⅱ,100,100,100,100,100,100,100,100,100,100,100,100,100,100,88,76,76,29,47,41,29,35,29,29,41,64,76,76,82
801783.SI,股份制银行Ⅱ,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,88,77,44,77,22,11,33,22,11,11,33,33,22,66
801782.SI,国有大型银行Ⅱ,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33,0,0,0,0,0,0,16,0,0,50,83,83,83,100
801994.SI,教育,33,46,20,17,23,29,47,29,47,52,76,82,94,94,94,94,100,100,100,100,100,94,88,88,92,41,35,35,18
801993.SI,旅游及景区,54,79,41,28,24,28,52,8,48,68,72,76,84,92,96,96,96,92,100,96,100,92,84,76,76,44,80,68,52
