代码,名称,2026-07-06,2026-07-07,2026-07-08,2026-07-09,2026-07-10,2026-07-13,2026-07-14,2026-07-15,2026-07-16,2026-07-17,2026-07-20,2026-07-21,2026-07-22,2026-07-23,2026-07-24,2026-07-27,2026-07-28,2026-07-29,2026-07-30,2026-07-31,2026-08-03,2026-08-04,2026-08-05,2026-08-06,2026-08-07,2026-08-10,2026-08-11,2026-08-12,2026-08-13
801983.SI,医疗美容,100,0,0,0,0,0,0,66,66,66,66,66,66,66,66,66,66,66,66,100,100,100,100,100,100,100,100,66,66
801982.SI,化妆品,42,28,35,21,42,14,21,71,71,35,46,46,53,53,16,66,66,83,83,76,76,84,76,69,76,92,84,84,69
801981.SI,个护用品,50,41,41,33,33,33,50,75,75,66,75,66,58,50,25,50,58,75,83,83,91,91,91,83,83,91,75,66,58
801972.SI,环保设备Ⅱ,22,22,18,18,25,14,18,18,18,14,15,11,7,23,15,15,23,28,15,38,61,69,69,73,92,92,96,96,96
801971.SI,环境治理,32,24,24,20,22,15,33,39,42,30,29,25,21,35,26,33,32,48,45,56,70,79,86,88,84,92,90,89,82
801963.SI,炼化及贸易,40,23,16,23,20,23,40,36,36,26,36,30,40,56,30,33,33,60,50,73,83,83,86,96,96,96,96,93,76
801962.SI,油服工程,15,7,15,15,23,30,69,46,46,38,69,61,69,76,76,75,75,75,75,83,84,92,84,84,69,76,76,61,46
801961.SI,油气开采Ⅱ,25,0,25,25,25,75,75,75,75,75,75,75,75,75,75,50,50,50,50,50,75,75,50,75,75,75,100,100,50
801952.SI,焦炭Ⅱ,0,0,0,0,0,0,42,57,85,28,71,42,71,85,71,85,85,100,71,85,100,100,100,100,100,100,100,100,85
801951.SI,煤炭开采,33,23,33,20,20,30,63,80,60,50,88,76,96,96,80,88,65,92,84,84,69,61,61,92,84,96,100,92,73
801102.SI,通信设备,12,11,12,17,20,10,14,9,11,9,8,10,11,14,10,14,16,23,21,26,32,48,60,74,84,85,89,94,91
801223.SI,通信服务,23,10,15,15,34,26,13,15,23,15,24,27,27,35,16,21,35,45,40,56,75,86,91,97,91,94,94,97,94
801995.SI,电视广播Ⅱ,7,0,0,0,35,0,7,57,78,50,50,64,42,71,28,71,78,100,100,100,100,100,100,100,100,100,100,100,92
801769.SI,出版,31,13,20,27,34,31,34,72,79,68,62,58,41,58,37,51,65,89,89,96,96,96,93,82,72,79,68,68,65
801768.SI,社交Ⅱ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
