代码,名称,2026-07-06,2026-07-07,2026-07-08,2026-07-09,2026-07-10,2026-07-13,2026-07-14,2026-07-15,2026-07-16,2026-07-17,2026-07-20,2026-07-21,2026-07-22,2026-07-23,2026-07-24,2026-07-27,2026-07-28,2026-07-29,2026-07-30,2026-07-31,2026-08-03,2026-08-04,2026-08-05,2026-08-06,2026-08-07,2026-08-10,2026-08-11,2026-08-12,2026-08-13
801767.SI,数字媒体,7,7,7,7,28,0,7,35,42,28,50,57,28,42,0,50,50,64,64,85,85,100,100,100,100,100,100,100,92
801766.SI,影视院线,36,36,21,36,63,21,15,42,84,42,31,31,15,5,5,15,26,47,36,84,78,89,89,84,84,100,100,100,94
801765.SI,广告营销,10,3,3,3,17,3,7,28,42,28,28,28,17,37,11,44,55,59,57,85,89,92,96,92,92,96,96,96,89
801764.SI,游戏Ⅱ,50,46,42,42,61,26,19,50,57,11,26,30,19,23,0,15,15,61,42,73,76,100,100,96,96,100,96,100,92
801104.SI,软件开发,15,9,16,19,25,15,15,23,32,13,23,32,30,33,10,24,37,47,50,78,83,92,93,93,93,95,96,96,96
801103.SI,IT服务Ⅱ,15,10,12,18,27,15,13,15,26,11,18,29,28,33,15,27,35,43,40,66,75,88,97,96,95,95,95,96,95
801101.SI,计算机设备,26,20,25,26,29,19,15,21,25,14,19,24,23,25,18,29,31,48,41,62,70,81,83,91,93,91,93,93,85
801745.SI,军工电子Ⅱ,46,30,20,29,48,16,6,4,4,4,3,6,8,11,9,14,13,14,8,21,36,43,70,75,87,93,90,93,93
801744.SI,航海装备Ⅱ,70,40,30,30,50,20,10,10,10,0,0,10,10,40,40,60,50,70,70,80,80,90,90,90,100,100,100,90,80
801743.SI,地面兵装Ⅱ,33,25,8,8,41,8,8,8,8,8,8,8,16,41,50,58,50,66,66,83,83,83,91,100,100,100,100,100,100
801742.SI,航空装备Ⅱ,33,13,8,13,26,4,8,11,6,2,11,20,15,28,22,24,24,40,48,48,68,82,84,91,95,97,93,93,84
801741.SI,航天装备Ⅱ,55,44,11,33,100,66,22,0,11,11,11,11,11,11,11,11,11,22,0,22,22,33,55,66,88,100,77,88,88
801078.SI,自动化设备,39,29,11,20,16,2,3,8,7,5,3,5,3,3,3,6,7,12,12,27,41,53,72,81,94,91,97,98,93
801077.SI,工程机械,50,42,25,14,17,10,14,39,32,14,32,32,32,39,39,39,46,50,57,64,75,75,85,78,75,85,66,70,62
801076.SI,轨交设备Ⅱ,32,16,13,10,26,23,25,29,29,16,20,16,16,20,16,16,20,43,36,60,80,90,90,86,80,93,86,86,83
801074.SI,专用设备,36,24,17,20,17,10,10,14,19,7,7,9,8,14,9,15,19,28,32,45,62,74,81,85,92,95,95,96,92
801072.SI,通用设备,43,31,20,21,25,7,9,13,12,6,3,5,4,7,5,11,13,21,19,34,48,57,71,80,89,89,89,95,93
801738.SI,电网设备,14,9,8,8,12,6,8,10,8,8,9,15,15,37,30,45,39,53,48,58,75,88,91,93,95,96,94,97,91
801737.SI,电池,24,20,4,9,5,2,5,7,5,3,2,5,3,11,6,20,17,31,29,39,48,62,82,82,92,96,96,97,90
801736.SI,风电设备,24,6,3,3,10,3,3,0,0,0,6,10,3,33,10,36,46,53,53,63,83,86,90,90,100,100,96,100,93
801735.SI,光伏设备,17,12,12,7,6,1,1,3,0,0,0,1,3,9,3,6,6,19,31,48,65,69,78,83,92,89,98,100,95
801733.SI,其他电源设备Ⅱ,17,6,10,13,17,3,10,6,6,3,3,6,6,9,3,12,12,18,15,25,40,62,62,68,87,87,90,96,96
801731.SI,电机Ⅱ,46,30,3,7,7,7,7,3,3,0,0,3,0,3,3,7,7,19,19,42,73,88,92,92,96,96,100,100,100
801726.SI,工程咨询服务Ⅱ,29,19,21,19,24,12,26,39,48,19,15,12,7,15,10,17,22,55,40,77,85,85,92,97,95,95,95,97,90
801724.SI,专业工程,25,20,17,20,31,15,18,34,36,23,24,27,21,37,16,35,35,45,51,62,70,70,72,75,78,83,81,81,70
801723.SI,基础建设,28,22,17,15,24,13,35,48,53,35,39,34,31,51,29,51,51,63,63,78,85,85,87,85,77,77,72,75,72
801722.SI,装修装饰Ⅱ,31,13,13,9,9,4,13,18,27,4,4,4,4,13,9,13,18,22,27,36,54,68,77,81,77,86,90,90,90
801721.SI,房屋建设Ⅱ,0,0,14,14,25,37,50,62,62,62,75,62,62,75,50,75,75,75,75,75,75,87,87,62,50,50,50,75,62
801713.SI,装修建材,22,20,14,11,14,8,8,20,25,11,8,5,8,25,11,14,31,40,31,48,68,71,82,88,85,94,91,94,91
801712.SI,玻璃玻纤,18,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,31,50,56,62,81,93,100,93,100,87
801711.SI,水泥,28,19,14,19,23,9,9,42,47,33,38,33,23,52,19,33,38,61,61,80,90,90,85,95,80,85,80,85,76
801231.SI,综合Ⅱ,20,13,6,20,20,20,46,60,60,46,30,20,25,50,15,35,40,80,70,80,80,90,95,90,85,95,100,100,100
801191.SI,多元金融,34,26,26,19,34,7,23,50,42,30,41,58,41,54,33,45,45,83,83,87,91,91,91,87,79,87,70,83,75
801194.SI,保险Ⅱ,60,60,60,60,60,40,80,100,100,80,100,100,100,100,80,80,80,80,80,80,60,40,40,40,40,0,0,0,0
801193.SI,证券Ⅱ,92,68,54,66,36,22,30,68,52,32,54,66,40,70,12,26,8,52,58,68,70,76,74,44,34,42,28,44,52
801786.SI,其他银行Ⅱ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801785.SI,农商行Ⅱ,40,20,40,10,10,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,80,70,20,10,0,0,10
801784.SI,城商行Ⅱ,29,17,35,29,23,76,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,88,76,76,29,47,41,29,35
801783.SI,股份制银行Ⅱ,22,22,33,22,55,88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,88,77,44,77,22,11,33
801782.SI,国有大型银行Ⅱ,0,16,83,16,83,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33,0,0,0,0,0,0,16
801994.SI,教育,33,13,13,0,20,13,20,33,46,20,17,23,29,47,29,47,52,76,82,94,94,94,94,100,100,100,100,100,94
801993.SI,旅游及景区,39,8,25,4,8,4,25,54,79,41,28,24,28,52,8,48,68,72,76,84,92,96,96,96,92,100,96,100,92
801219.SI,酒店餐饮,33,0,0,0,0,0,22,55,66,55,66,44,44,66,11,88,88,88,88,88,100,100,100,100,88,100,100,100,100
801218.SI,专业服务,30,10,3,3,6,3,16,20,30,16,20,17,17,24,13,20,27,41,48,62,65,82,89,93,89,93,93,93,93
801217.SI,本地生活服务Ⅱ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801216.SI,体育Ⅱ,0,0,0,0,0,0,0,0,0,0,0,0,0,100,50,50,50,100,100,100,100,100,100,100,100,100,100,100,100
801207.SI,旅游零售Ⅱ,0,0,0,0,0,0,0,50,100,0,50,50,100,100,50,100,100,100,100,100,100,100,100,100,100,100,50,50,50
801206.SI,互联网电商,44,22,22,22,27,22,22,61,66,38,33,38,33,50,22,61,50,61,55,77,77,77,83,94,94,94,88,94,94
801204.SI,专业连锁Ⅱ,14,14,14,0,14,14,14,28,85,57,42,57,42,57,14,42,42,85,100,100,100,100,100,100,85,85,100,100,71
801203.SI,一般零售,25,8,15,8,30,20,45,67,83,52,53,40,33,53,11,35,58,85,83,85,93,91,93,91,85,96,95,98,88
801202.SI,贸易Ⅱ,16,8,0,8,8,0,0,25,58,8,16,16,16,41,25,50,50,83,83,91,91,100,100,100,91,91,91,91,83
801183.SI,房地产服务,18,9,9,9,18,9,27,36,72,36,25,25,25,41,16,50,58,83,75,83,91,91,100,91,91,100,91,100,83
801181.SI,房地产开发,23,15,11,17,32,18,34,52,64,34,34,24,31,48,16,51,56,71,66,75,79,82,91,92,89,91,90,95,92
801992.SI,航运港口,55,32,35,20,35,41,61,70,64,61,67,70,70,85,76,88,88,91,94,94,97,97,97,91,64,76,61,67,58
801991.SI,航空机场,25,16,16,8,8,8,8,33,33,33,33,41,33,66,41,58,66,100,100,100,100,100,100,91,66,66,25,33,16
801179.SI,铁路公路,39,30,33,30,39,51,78,87,87,84,84,81,72,78,54,69,75,90,87,93,93,87,72,63,42,60,42,54,36
801178.SI,物流,65,42,44,34,42,42,53,68,70,53,36,40,34,42,25,40,53,70,68,80,82,82,82,80,78,87,82,82,80
801163.SI,燃气Ⅱ,35,14,17,13,17,34,58,62,62,55,60,53,53,64,50,57,46,64,57,75,82,85,92,85,67,92,85,71,67
801161.SI,电力,8,5,5,7,7,9,17,26,30,47,70,70,77,85,55,70,61,85,69,85,88,89,87,80,73,77,69,66,55
801156.SI,医疗服务,78,52,43,43,76,62,78,90,92,60,62,54,50,52,27,49,47,49,37,47,47,72,82,74,98,100,98,98,96
801153.SI,医疗器械,68,38,32,25,49,30,53,69,74,44,43,32,29,31,17,30,29,43,44,59,71,79,83,75,89,87,86,88,90
801154.SI,医药商业,65,34,37,28,53,62,81,87,96,84,81,59,46,62,25,53,50,65,62,78,87,90,68,65,81,87,90,84,90
801152.SI,生物制品,90,58,54,49,78,72,82,92,94,54,62,52,47,39,15,29,27,31,33,35,45,64,64,43,90,94,94,92,94
801155.SI,中药Ⅱ,81,50,59,48,71,84,89,89,92,77,69,66,66,69,42,59,54,66,54,77,81,83,57,46,78,80,80,75,80
801151.SI,化学制药,88,62,58,55,76,66,80,92,92,57,49,38,36,40,10,26,16,29,22,34,43,55,56,52,87,88,91,91,94
801145.SI,文娱用品,9,4,4,9,9,4,18,31,50,22,30,25,5,30,5,20,20,60,50,65,85,90,95,95,90,100,95,95,95
801142.SI,家居用品,41,30,25,26,29,22,27,37,50,29,20,13,15,23,12,17,24,49,41,60,69,84,90,90,84,90,88,93,88
801141.SI,包装印刷,26,26,19,14,17,12,24,34,36,21,15,15,10,20,12,22,35,40,40,55,72,85,92,90,95,92,92,95,90
801143.SI,造纸,52,30,26,30,34,26,34,39,43,21,21,17,17,30,17,39,30,52,52,78,82,91,95,86,78,91,86,86,86
801133.SI,饰品,50,20,33,26,40,20,33,66,60,20,33,40,40,60,26,53,60,66,80,78,80,73,86,86,80,86,86,73,66
801132.SI,服装家纺,44,28,25,22,28,15,27,35,47,29,25,18,15,16,10,20,37,49,50,64,76,77,81,83,81,86,91,89,88
801131.SI,纺织制造,53,34,34,31,37,21,34,56,53,46,34,31,21,40,31,34,40,62,56,71,84,84,90,93,93,93,93,93,84
801129.SI,调味发酵品Ⅱ,50,28,50,14,28,35,71,78,78,64,64,57,50,50,42,42,64,78,78,85,92,92,100,92,78,92,78,78,71
801128.SI,休闲食品,40,9,18,4,18,27,59,72,72,63,45,27,27,31,4,13,45,81,77,86,86,81,90,90,86,95,95,95,90
801127.SI,饮料乳品,30,23,26,23,23,23,38,80,80,73,53,38,34,46,23,38,65,80,76,84,92,92,92,88,84,96,88,92,80
801126.SI,非白酒,31,6,12,6,31,31,56,68,75,62,68,56,56,62,56,56,62,75,75,93,87,87,93,81,75,81,75,81,68
801125.SI,白酒Ⅱ,21,5,5,0,15,10,31,78,78,73,73,73,78,78,52,68,84,94,100,100,100,100,100,94,94,100,89,94,89
801124.SI,食品加工,52,20,20,16,36,44,60,76,76,64,48,36,32,36,24,28,40,68,76,80,83,84,84,72,72,80,72,72,72
801117.SI,其他家电Ⅱ,33,33,0,0,0,0,33,33,33,33,33,0,0,66,0,66,100,100,100,100,100,100,100,100,100,100,100,100,100
801116.SI,家电零部件Ⅱ,53,36,16,20,30,13,16,23,23,16,13,10,6,10,3,6,10,31,24,44,55,65,82,86,93,93,93,93,86
801115.SI,照明设备Ⅱ,25,8,0,8,8,8,8,16,25,8,0,8,0,8,0,16,8,25,41,50,58,75,83,83,75,91,91,91,75
801114.SI,厨卫电器,44,22,22,22,37,0,50,50,62,44,44,22,11,22,0,22,33,55,77,88,88,88,88,77,66,88,88,88,100
801113.SI,小家电,30,15,10,10,25,10,25,45,50,45,40,30,25,30,5,25,35,65,70,80,80,85,85,85,90,90,95,95,80
801112.SI,黑色家电,40,30,20,30,40,30,30,30,40,10,11,22,22,22,11,22,22,33,44,55,55,77,77,66,66,77,88,100,88
801111.SI,白色家电,60,60,40,30,40,40,40,60,50,50,36,45,45,45,36,54,81,81,72,81,81,81,81,81,72,100,63,54,45
801096.SI,商用车,53,38,30,30,46,7,30,84,76,38,46,53,46,76,53,69,84,92,100,100,100,92,100,76,61,76,53,53,46
801095.SI,乘用车,12,12,12,12,12,12,12,50,50,50,62,50,50,75,62,75,87,100,100,100,100,87,75,75,62,62,25,37,25
801881.SI,摩托车及其他,50,31,37,31,31,25,43,68,75,68,37,50,31,56,31,62,62,75,75,81,75,81,87,82,88,88,82,76,76
801092.SI,汽车服务,40,0,10,10,30,20,60,80,80,40,44,33,22,44,11,44,55,88,88,77,88,100,100,100,100,100,100,100,66
801093.SI,汽车零部件,39,27,16,13,20,9,13,21,25,10,9,11,9,16,9,17,21,35,35,53,64,76,83,85,88,91,92,95,92
801086.SI,电子化学品Ⅱ,58,50,23,52,23,20,20,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,51,85,85,85,94,94
801085.SI,消费电子,31,15,15,17,21,14,8,11,17,12,12,12,9,12,9,15,16,24,17,27,35,43,59,69,89,86,87,90,89
801082.SI,其他电子Ⅱ,33,24,15,27,21,6,3,3,3,3,0,3,0,0,0,9,9,12,15,21,24,33,51,66,87,87,93,100,96
801084.SI,光学光电子,26,14,10,17,18,4,6,3,2,0,0,2,1,0,1,2,4,8,5,12,29,40,61,72,90,89,92,94,96
801083.SI,元件,18,10,3,10,5,0,6,5,8,1,3,1,1,3,1,5,3,5,1,5,8,19,36,72,91,93,93,93,96
801081.SI,半导体,70,68,63,80,55,27,24,11,7,1,2,6,6,3,4,5,1,3,0,1,0,2,11,25,55,70,77,87,82
801056.SI,能源金属,30,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,72,100,100,100,100,100,100,100
801054.SI,小金属,26,19,3,0,0,0,0,3,7,0,3,7,7,11,0,3,3,11,11,22,29,66,92,100,100,100,100,100,88
801053.SI,贵金属,45,9,27,18,45,18,45,27,36,9,36,36,72,100,54,72,54,81,81,100,100,100,100,100,100,100,100,100,100
801055.SI,工业金属,15,6,1,3,6,6,20,23,23,13,22,27,35,50,30,45,38,59,52,64,77,89,96,96,98,100,98,96,81
801051.SI,金属新材料,28,25,15,12,12,3,3,9,6,0,0,0,0,0,0,3,3,12,12,21,40,50,75,90,100,100,100,100,96
801045.SI,特钢Ⅱ,33,16,8,0,8,8,25,41,41,25,50,50,50,58,33,66,66,75,75,75,75,75,100,91,75,75,66,66,58
801044.SI,普钢,34,4,8,0,21,21,47,78,69,69,77,72,81,90,59,86,77,100,95,100,100,100,100,86,63,77,45,63,31
801043.SI,冶钢原料,11,22,11,11,11,11,44,55,44,33,33,44,44,55,44,55,66,66,66,77,88,100,88,88,88,100,100,100,66
801039.SI,非金属材料Ⅱ,14,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,37,50,50,62,100,100,100,100,100
801038.SI,农化制品,41,12,8,8,10,6,25,51,51,31,33,33,44,62,45,55,57,71,79,81,86,89,96,96,89,100,86,86,64
801037.SI,橡胶,52,29,17,17,5,0,5,23,29,11,5,0,0,11,0,17,17,29,29,47,64,64,82,82,100,100,100,100,100
801036.SI,塑料,35,22,13,13,18,13,19,16,17,9,4,5,4,6,4,8,9,9,12,26,38,48,63,76,87,91,93,98,94
801032.SI,化学纤维,25,14,3,11,11,7,11,18,22,3,7,11,11,30,7,23,26,61,53,65,76,80,96,96,96,96,96,92,76
801034.SI,化学制品,37,21,12,10,10,7,10,14,15,9,10,9,11,15,8,14,18,30,29,39,55,66,76,87,95,95,95,96,91
801033.SI,化学原料,33,14,12,15,15,8,21,29,31,24,33,29,36,54,35,47,49,57,64,70,77,80,89,91,92,96,87,87,75
801019.SI,农业综合Ⅱ,50,50,50,50,50,50,0,50,50,50,50,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100
801018.SI,动物保健Ⅱ,90,90,70,50,60,40,70,90,90,60,55,44,22,33,11,22,11,33,33,66,66,66,77,77,88,100,100,100,100
801017.SI,养殖业,91,78,65,60,82,69,73,82,82,52,59,40,40,50,18,22,22,31,31,54,77,63,77,72,72,100,95,86,86
801012.SI,农产品加工,36,18,18,18,40,31,59,72,72,36,39,34,43,47,21,52,65,78,65,91,86,91,91,100,95,100,100,95,95
801014.SI,饲料,70,58,41,47,64,41,41,82,76,52,55,55,44,38,16,22,33,38,38,55,72,61,66,61,61,94,88,88,88
801011.SI,林业Ⅱ,0,0,25,25,0,0,0,25,50,0,0,0,0,0,0,25,25,50,25,75,100,100,100,100,100,100,100,100,100
801015.SI,渔业,33,0,0,0,33,0,66,100,100,83,83,50,50,66,33,66,66,100,100,100,100,100,100,100,100,100,100,100,100
801016.SI,种植业,15,10,10,10,20,25,45,55,60,45,40,40,40,65,40,50,70,75,80,85,90,90,95,100,100,100,100,95,90
avg,行业平均,35,22,20,18,26,20,30,42,46,32,34,32,31,41,25,39,42,56,55,65,72,77,81,81,82,87,83,84,78
