代码,名称,2026-06-11,2026-06-12,2026-06-15,2026-06-16,2026-06-17,2026-06-18,2026-06-22,2026-06-23,2026-06-24,2026-06-25,2026-06-26,2026-06-29,2026-06-30,2026-07-01,2026-07-02,2026-07-03,2026-07-06,2026-07-07,2026-07-08,2026-07-09,2026-07-10,2026-07-13,2026-07-14,2026-07-15,2026-07-16,2026-07-17,2026-07-20,2026-07-21,2026-07-22
801983.SI,医疗美容,0,33,0,0,0,0,33,33,33,33,0,33,33,33,66,100,100,0,0,0,0,0,0,66,66,66,66,66,66
801982.SI,化妆品,7,14,14,14,14,7,0,7,14,0,7,7,7,28,35,35,42,28,35,21,42,14,21,71,71,35,46,46,53
801981.SI,个护用品,8,25,41,33,25,25,25,25,25,16,16,25,16,25,33,41,50,41,41,33,33,33,50,75,75,66,75,66,58
801972.SI,环保设备Ⅱ,22,25,29,33,33,29,33,48,48,44,29,29,33,33,33,48,22,22,18,18,25,14,18,18,18,14,15,11,7
801971.SI,环境治理,10,16,22,23,20,20,25,29,22,18,12,8,12,18,19,23,32,24,24,20,22,15,33,39,42,30,29,25,21
801963.SI,炼化及贸易,3,13,26,23,26,13,33,30,26,23,16,16,13,23,26,36,40,23,16,23,20,23,40,36,36,26,36,30,40
801962.SI,油服工程,0,0,7,15,23,15,23,23,15,15,15,15,15,15,15,15,15,7,15,15,23,30,69,46,46,38,69,61,69
801961.SI,油气开采Ⅱ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,25,25,75,75,75,75,75,75,75,75
801952.SI,焦炭Ⅱ,0,0,14,14,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,57,85,28,71,42,71
801951.SI,煤炭开采,43,50,30,20,10,3,10,6,6,6,6,6,6,6,6,13,33,23,33,20,20,30,63,80,60,50,88,76,96
801102.SI,通信设备,27,22,40,51,55,52,54,47,44,38,28,29,37,35,20,15,12,11,12,17,20,10,14,9,11,9,8,10,11
801223.SI,通信服务,5,5,10,15,13,23,34,28,28,28,10,7,15,29,26,28,23,10,15,15,34,26,13,15,23,15,24,27,27
801995.SI,电视广播Ⅱ,0,0,0,7,7,0,21,21,7,0,0,0,0,0,0,0,7,0,0,0,35,0,7,57,78,50,50,64,42
801769.SI,出版,10,20,20,13,10,17,17,13,6,3,0,0,3,6,13,13,31,13,20,27,34,31,34,72,79,68,62,58,41
801768.SI,社交Ⅱ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801767.SI,数字媒体,7,14,21,14,15,15,38,23,7,0,0,0,0,0,0,7,7,7,7,7,28,0,7,35,42,28,50,57,28
801766.SI,影视院线,0,0,0,0,0,0,5,5,0,5,5,5,5,15,26,36,36,36,21,36,63,21,15,42,84,42,31,31,15
