代码,名称,2026-06-05_换手,2026-06-05_成交额拥挤,2026-06-08_换手,2026-06-08_成交额拥挤,2026-06-09_换手,2026-06-09_成交额拥挤,2026-06-10_换手,2026-06-10_成交额拥挤,2026-06-11_换手,2026-06-11_成交额拥挤,2026-06-12_换手,2026-06-12_成交额拥挤,2026-06-15_换手,2026-06-15_成交额拥挤,2026-06-16_换手,2026-06-16_成交额拥挤,2026-06-17_换手,2026-06-17_成交额拥挤,2026-06-18_换手,2026-06-18_成交额拥挤,2026-06-22_换手,2026-06-22_成交额拥挤,2026-06-23_换手,2026-06-23_成交额拥挤,2026-06-24_换手,2026-06-24_成交额拥挤,2026-06-25_换手,2026-06-25_成交额拥挤,2026-06-26_换手,2026-06-26_成交额拥挤,2026-06-29_换手,2026-06-29_成交额拥挤,2026-06-30_换手,2026-06-30_成交额拥挤,2026-07-01_换手,2026-07-01_成交额拥挤,2026-07-02_换手,2026-07-02_成交额拥挤,2026-07-03_换手,2026-07-03_成交额拥挤,2026-07-06_换手,2026-07-06_成交额拥挤,2026-07-07_换手,2026-07-07_成交额拥挤,2026-07-08_换手,2026-07-08_成交额拥挤,2026-07-09_换手,2026-07-09_成交额拥挤,2026-07-10_换手,2026-07-10_成交额拥挤,2026-07-13_换手,2026-07-13_成交额拥挤,2026-07-14_换手,2026-07-14_成交额拥挤,2026-07-15_换手,2026-07-15_成交额拥挤,2026-07-16_换手,2026-07-16_成交额拥挤
801102.SI,通信设备,98.0,100.0,95.0,100.0,91.0,100.0,86.0,99.0,82.0,100.0,89.0,99.0,89.0,99.0,94.0,99.0,90.0,99.0,87.0,98.0,94.0,98.0,89.0,99.0,84.0,98.0,89.0,99.0,88.0,99.0,85.0,97.0,84.0,97.0,88.0,97.0,82.0,96.0,78.0,95.0,84.0,96.0,76.0,97.0,79.0,98.0,91.0,99.0,95.0,99.0,85.0,97.0,84.0,99.0,76.0,98.0,78.0,98.0
801223.SI,通信服务,87.0,70.0,86.0,71.0,84.0,68.0,87.0,74.0,85.0,72.0,83.0,68.0,84.0,70.0,87.0,69.0,87.0,69.0,90.0,71.0,95.0,73.0,91.0,70.0,90.0,71.0,91.0,70.0,87.0,67.0,80.0,62.0,81.0,67.0,90.0,74.0,87.0,72.0,78.0,67.0,83.0,68.0,75.0,64.0,76.0,70.0,79.0,68.0,82.0,70.0,85.0,73.0,78.0,71.0,68.0,66.0,79.0,69.0
801995.SI,电视广播Ⅱ,55.0,9.0,61.0,15.0,42.0,6.0,49.0,9.0,48.0,9.0,49.0,4.0,38.0,4.0,55.0,9.0,48.0,4.0,50.0,4.0,61.0,4.0,53.0,7.0,46.0,4.0,39.0,2.0,43.0,2.0,43.0,2.0,36.0,2.0,49.0,3.0,48.0,3.0,39.0,2.0,33.0,2.0,28.0,3.0,43.0,4.0,38.0,3.0,68.0,7.0,60.0,7.0,38.0,3.0,49.0,7.0,49.0,7.0
801769.SI,出版,57.0,9.0,64.0,14.0,58.0,13.0,65.0,22.0,64.0,13.0,72.0,12.0,63.0,12.0,49.0,6.0,48.0,5.0,50.0,7.0,57.0,7.0,50.0,5.0,44.0,4.0,40.0,2.0,42.0,2.0,38.0,1.0,35.0,1.0,60.0,4.0,57.0,8.0,45.0,6.0,38.0,3.0,32.0,3.0,26.0,2.0,42.0,8.0,58.0,8.0,46.0,6.0,38.0,4.0,46.0,7.0,49.0,9.0
801767.SI,数字媒体,87.0,42.0,94.0,54.0,94.0,57.0,94.0,63.0,90.0,47.0,93.0,39.0,88.0,29.0,86.0,25.0,82.0,14.0,85.0,18.0,91.0,21.0,83.0,11.0,82.0,11.0,70.0,7.0,65.0,5.0,85.0,11.0,77.0,9.0,81.0,7.0,89.0,18.0,85.0,18.0,85.0,18.0,68.0,11.0,57.0,7.0,63.0,7.0,85.0,14.0,69.0,9.0,61.0,7.0,67.0,11.0,75.0,21.0
801766.SI,影视院线,86.0,6.0,86.0,12.0,84.0,9.0,87.0,14.0,85.0,14.0,86.0,5.0,80.0,3.0,72.0,1.0,71.0,1.0,61.0,1.0,80.0,2.0,83.0,6.0,78.0,3.0,78.0,2.0,76.0,2.0,70.0,1.0,58.0,1.0,76.0,2.0,74.0,3.0,71.0,2.0,70.0,3.0,78.0,11.0,72.0,11.0,84.0,8.0,94.0,14.0,93.0,16.0,77.0,6.0,85.0,11.0,96.0,32.0
801765.SI,广告营销,77.0,21.0,68.0,16.0,72.0,37.0,77.0,35.0,65.0,15.0,70.0,16.0,63.0,16.0,63.0,14.0,55.0,7.0,63.0,16.0,74.0,18.0,69.0,23.0,50.0,5.0,61.0,9.0,61.0,9.0,63.0,14.0,55.0,11.0,68.0,11.0,87.0,39.0,87.0,42.0,72.0,20.0,52.0,14.0,48.0,11.0,67.0,15.0,91.0,49.0,73.0,26.0,51.0,11.0,61.0,18.0,79.0,45.0
801764.SI,游戏Ⅱ,45.0,3.0,49.0,3.0,36.0,2.0,40.0,2.0,42.0,4.0,48.0,10.0,39.0,4.0,38.0,2.0,36.0,1.0,49.0,5.0,72.0,7.0,54.0,3.0,52.0,4.0,64.0,7.0,67.0,7.0,66.0,7.0,53.0,5.0,66.0,5.0,71.0,21.0,56.0,9.0,49.0,8.0,82.0,55.0,73.0,41.0,70.0,32.0,82.0,34.0,73.0,25.0,54.0,13.0,68.0,40.0,64.0,50.0
801104.SI,软件开发,58.0,18.0,65.0,21.0,62.0,21.0,66.0,25.0,57.0,22.0,67.0,23.0,64.0,25.0,53.0,16.0,47.0,12.0,52.0,13.0,77.0,28.0,70.0,27.0,64.0,21.0,66.0,20.0,62.0,17.0,53.0,12.0,47.0,13.0,70.0,23.0,67.0,21.0,47.0,14.0,51.0,15.0,41.0,15.0,55.0,31.0,60.0,29.0,71.0,25.0,65.0,27.0,51.0,21.0,48.0,26.0,46.0,27.0
801103.SI,IT服务Ⅱ,62.0,18.0,64.0,20.0,62.0,23.0,72.0,31.0,59.0,20.0,65.0,15.0,63.0,16.0,61.0,15.0,56.0,14.0,60.0,16.0,76.0,20.0,64.0,15.0,61.0,15.0,64.0,13.0,61.0,13.0,53.0,6.0,53.0,12.0,67.0,17.0,67.0,18.0,51.0,13.0,46.0,13.0,35.0,14.0,51.0,35.0,62.0,34.0,75.0,36.0,64.0,39.0,57.0,32.0,43.0,22.0,50.0,36.0
801101.SI,计算机设备,60.0,29.0,68.0,34.0,53.0,19.0,55.0,31.0,52.0,20.0,55.0,12.0,56.0,20.0,60.0,24.0,67.0,39.0,69.0,35.0,84.0,35.0,73.0,32.0,77.0,43.0,74.0,58.0,73.0,50.0,69.0,36.0,71.0,60.0,78.0,51.0,69.0,33.0,59.0,31.0,58.0,38.0,51.0,44.0,60.0,62.0,71.0,80.0,81.0,85.0,70.0,72.0,57.0,66.0,52.0,52.0,56.0,63.0
801745.SI,军工电子Ⅱ,88.0,88.0,85.0,86.0,80.0,82.0,80.0,82.0,78.0,82.0,88.0,78.0,78.0,71.0,86.0,85.0,89.0,87.0,83.0,79.0,86.0,75.0,72.0,58.0,77.0,63.0,82.0,69.0,90.0,82.0,87.0,81.0,88.0,86.0,87.0,79.0,83.0,82.0,85.0,86.0,87.0,89.0,74.0,85.0,69.0,86.0,76.0,82.0,96.0,95.0,91.0,94.0,80.0,87.0,58.0,69.0,55.0,65.0
801744.SI,航海装备Ⅱ,58.0,22.0,58.0,26.0,45.0,24.0,47.0,22.0,40.0,15.0,62.0,22.0,50.0,29.0,38.0,15.0,57.0,27.0,52.0,24.0,57.0,24.0,43.0,20.0,62.0,20.0,57.0,18.0,57.0,22.0,63.0,20.0,51.0,18.0,61.0,27.0,53.0,25.0,71.0,54.0,76.0,54.0,66.0,50.0,64.0,65.0,62.0,48.0,85.0,66.0,88.0,80.0,71.0,61.0,58.0,42.0,50.0,46.0
801743.SI,地面兵装Ⅱ,64.0,19.0,61.0,16.0,50.0,13.0,70.0,27.0,57.0,16.0,71.0,23.0,66.0,19.0,64.0,23.0,57.0,13.0,63.0,20.0,79.0,41.0,71.0,35.0,66.0,23.0,72.0,27.0,75.0,27.0,67.0,16.0,61.0,20.0,77.0,23.0,74.0,20.0,74.0,20.0,76.0,23.0,57.0,20.0,53.0,20.0,70.0,16.0,85.0,27.0,77.0,27.0,63.0,13.0,42.0,4.0,37.0,4.0
801742.SI,航空装备Ⅱ,59.0,29.0,60.0,37.0,41.0,26.0,49.0,35.0,58.0,43.0,83.0,58.0,76.0,52.0,73.0,48.0,65.0,44.0,69.0,44.0,73.0,35.0,73.0,43.0,71.0,37.0,66.0,26.0,68.0,43.0,73.0,41.0,70.0,37.0,71.0,29.0,63.0,20.0,77.0,42.0,67.0,30.0,51.0,22.0,45.0,16.0,53.0,15.0,83.0,47.0,72.0,36.0,60.0,23.0,44.0,17.0,38.0,9.0
801741.SI,航天装备Ⅱ,85.0,73.0,85.0,72.0,73.0,58.0,72.0,46.0,74.0,51.0,85.0,60.0,87.0,49.0,78.0,46.0,74.0,42.0,79.0,44.0,79.0,37.0,63.0,31.0,58.0,28.0,61.0,24.0,92.0,68.0,79.0,53.0,80.0,60.0,88.0,54.0,75.0,46.0,90.0,68.0,88.0,63.0,70.0,51.0,64.0,40.0,64.0,40.0,95.0,71.0,99.0,97.0,79.0,54.0,84.0,70.0,71.0,54.0
801078.SI,自动化设备,96.0,100.0,94.0,100.0,91.0,100.0,91.0,100.0,84.0,99.0,90.0,98.0,90.0,99.0,92.0,99.0,91.0,100.0,92.0,100.0,94.0,99.0,91.0,99.0,90.0,99.0,94.0,99.0,91.0,99.0,92.0,99.0,88.0,100.0,92.0,99.0,91.0,99.0,94.0,100.0,92.0,100.0,83.0,99.0,76.0,98.0,78.0,98.0,84.0,98.0,77.0,97.0,70.0,97.0,65.0,97.0,70.0,97.0
801077.SI,工程机械,69.0,15.0,81.0,57.0,69.0,25.0,79.0,31.0,81.0,37.0,83.0,23.0,75.0,11.0,67.0,4.0,64.0,2.0,79.0,4.0,86.0,11.0,79.0,9.0,69.0,6.0,72.0,3.0,64.0,1.0,73.0,5.0,67.0,9.0,76.0,5.0,77.0,17.0,89.0,38.0,83.0,25.0,75.0,44.0,61.0,15.0,63.0,4.0,69.0,2.0,64.0,4.0,52.0,2.0,54.0,11.0,45.0,5.0
801076.SI,轨交设备Ⅱ,69.0,44.0,78.0,48.0,74.0,51.0,76.0,51.0,73.0,48.0,72.0,40.0,76.0,44.0,82.0,48.0,84.0,51.0,82.0,48.0,82.0,44.0,80.0,51.0,81.0,48.0,78.0,40.0,77.0,40.0,75.0,40.0,71.0,40.0,78.0,44.0,84.0,54.0,76.0,40.0,58.0,29.0,54.0,33.0,47.0,29.0,49.0,22.0,56.0,22.0,56.0,25.0,43.0,15.0,46.0,25.0,39.0,19.0
801074.SI,专用设备,83.0,21.0,84.0,24.0,77.0,25.0,79.0,33.0,74.0,19.0,84.0,18.0,78.0,14.0,79.0,17.0,79.0,16.0,79.0,14.0,88.0,16.0,83.0,19.0,86.0,19.0,88.0,18.0,86.0,16.0,89.0,20.0,81.0,17.0,85.0,15.0,82.0,11.0,85.0,16.0,82.0,20.0,72.0,19.0,67.0,16.0,77.0,17.0,81.0,14.0,76.0,15.0,67.0,10.0,58.0,7.0,59.0,10.0
801072.SI,通用设备,94.0,95.0,94.0,97.0,91.0,98.0,89.0,97.0,81.0,93.0,87.0,90.0,85.0,91.0,88.0,93.0,87.0,93.0,91.0,96.0,95.0,94.0,90.0,93.0,88.0,95.0,90.0,93.0,88.0,91.0,91.0,91.0,89.0,94.0,92.0,93.0,93.0,96.0,95.0,98.0,94.0,98.0,88.0,99.0,83.0,96.0,85.0,91.0,91.0,93.0,86.0,92.0,78.0,84.0,72.0,85.0,67.0,84.0
801738.SI,电网设备,86.0,70.0,85.0,76.0,75.0,64.0,76.0,64.0,69.0,54.0,77.0,48.0,80.0,60.0,84.0,67.0,80.0,59.0,78.0,49.0,90.0,68.0,82.0,55.0,78.0,40.0,78.0,29.0,79.0,40.0,77.0,29.0,70.0,16.0,81.0,29.0,79.0,22.0,80.0,34.0,80.0,44.0,67.0,34.0,60.0,25.0,69.0,29.0,72.0,12.0,72.0,26.0,67.0,18.0,61.0,16.0,64.0,24.0
801737.SI,电池,83.0,80.0,79.0,82.0,77.0,85.0,74.0,80.0,76.0,86.0,88.0,91.0,87.0,90.0,94.0,97.0,91.0,93.0,89.0,91.0,95.0,95.0,88.0,90.0,88.0,90.0,89.0,86.0,89.0,88.0,85.0,82.0,83.0,81.0,88.0,86.0,83.0,81.0,80.0,80.0,81.0,81.0,77.0,85.0,77.0,87.0,78.0,83.0,76.0,77.0,74.0,79.0,65.0,75.0,58.0,73.0,59.0,71.0
801736.SI,风电设备,74.0,64.0,71.0,69.0,59.0,61.0,71.0,67.0,63.0,57.0,71.0,64.0,64.0,55.0,64.0,59.0,64.0,48.0,63.0,51.0,73.0,53.0,64.0,48.0,63.0,43.0,69.0,45.0,80.0,76.0,74.0,63.0,71.0,68.0,81.0,77.0,74.0,63.0,80.0,74.0,75.0,67.0,63.0,66.0,56.0,53.0,61.0,53.0,78.0,72.0,74.0,69.0,65.0,55.0,60.0,45.0,55.0,43.0
801735.SI,光伏设备,84.0,73.0,78.0,69.0,72.0,69.0,79.0,74.0,74.0,72.0,85.0,74.0,74.0,67.0,78.0,70.0,78.0,68.0,78.0,65.0,86.0,72.0,73.0,65.0,72.0,62.0,75.0,63.0,83.0,71.0,81.0,71.0,77.0,73.0,88.0,79.0,81.0,69.0,74.0,64.0,70.0,62.0,56.0,62.0,57.0,64.0,61.0,63.0,72.0,63.0,63.0,61.0,48.0,60.0,43.0,58.0,36.0,56.0
801733.SI,其他电源设备Ⅱ,74.0,26.0,71.0,29.0,96.0,40.0,91.0,39.0,85.0,31.0,87.0,26.0,85.0,24.0,89.0,29.0,85.0,37.0,85.0,27.0,86.0,24.0,75.0,23.0,82.0,21.0,86.0,25.0,85.0,31.0,83.0,27.0,77.0,28.0,84.0,25.0,73.0,17.0,66.0,18.0,74.0,23.0,70.0,24.0,86.0,21.0,88.0,26.0,89.0,28.0,80.0,25.0,71.0,26.0,63.0,24.0,60.0,19.0
801731.SI,电机Ⅱ,90.0,82.0,87.0,83.0,73.0,75.0,75.0,77.0,66.0,72.0,67.0,64.0,56.0,58.0,65.0,67.0,63.0,62.0,65.0,64.0,81.0,62.0,69.0,53.0,63.0,53.0,72.0,55.0,62.0,48.0,63.0,41.0,65.0,51.0,63.0,45.0,83.0,70.0,93.0,84.0,87.0,86.0,74.0,79.0,60.0,72.0,56.0,58.0,61.0,55.0,49.0,50.0,34.0,37.0,28.0,34.0,35.0,41.0
801726.SI,工程咨询服务Ⅱ,68.0,83.0,72.0,78.0,61.0,74.0,64.0,80.0,59.0,82.0,66.0,82.0,69.0,77.0,70.0,82.0,73.0,82.0,66.0,81.0,78.0,84.0,68.0,77.0,63.0,69.0,68.0,42.0,79.0,94.0,81.0,94.0,73.0,91.0,77.0,92.0,73.0,91.0,73.0,93.0,71.0,92.0,76.0,93.0,73.0,92.0,73.0,89.0,80.0,92.0,80.0,88.0,75.0,89.0,68.0,84.0,64.0,82.0
801724.SI,专业工程,71.0,15.0,58.0,10.0,43.0,3.0,69.0,35.0,61.0,20.0,81.0,31.0,78.0,28.0,85.0,37.0,88.0,59.0,93.0,52.0,88.0,25.0,72.0,16.0,80.0,25.0,87.0,25.0,85.0,37.0,82.0,35.0,87.0,47.0,86.0,25.0,85.0,28.0,78.0,22.0,66.0,13.0,59.0,16.0,53.0,10.0,71.0,26.0,74.0,15.0,77.0,26.0,66.0,20.0,71.0,22.0,60.0,11.0
801723.SI,基础建设,76.0,13.0,79.0,18.0,72.0,17.0,72.0,16.0,67.0,13.0,70.0,8.0,65.0,9.0,74.0,11.0,76.0,25.0,73.0,14.0,77.0,11.0,70.0,13.0,67.0,8.0,70.0,7.0,67.0,5.0,68.0,3.0,64.0,3.0,70.0,3.0,67.0,2.0,64.0,2.0,64.0,2.0,66.0,6.0,58.0,4.0,59.0,3.0,64.0,2.0,61.0,2.0,56.0,1.0,53.0,4.0,54.0,4.0
801722.SI,装修装饰Ⅱ,60.0,18.0,77.0,18.0,74.0,18.0,64.0,10.0,78.0,30.0,67.0,10.0,71.0,10.0,73.0,10.0,75.0,18.0,72.0,10.0,79.0,6.0,86.0,10.0,82.0,15.0,85.0,22.0,84.0,15.0,78.0,10.0,68.0,6.0,67.0,3.0,63.0,6.0,64.0,6.0,58.0,3.0,62.0,10.0,90.0,23.0,77.0,10.0,86.0,15.0,80.0,18.0,82.0,23.0,74.0,18.0,44.0,6.0
801721.SI,房屋建设Ⅱ,59.0,0.0,62.0,0.0,59.0,0.0,58.0,1.0,61.0,2.0,54.0,1.0,55.0,1.0,52.0,0.0,50.0,0.0,48.0,0.0,62.0,0.0,56.0,0.0,48.0,0.0,47.0,0.0,64.0,0.0,55.0,0.0,57.0,0.0,61.0,0.0,50.0,0.0,42.0,0.0,37.0,0.0,38.0,0.0,48.0,1.0,40.0,0.0,66.0,1.0,69.0,2.0,77.0,2.0,68.0,2.0,78.0,8.0
801713.SI,装修建材,76.0,3.0,87.0,9.0,84.0,10.0,70.0,5.0,75.0,8.0,87.0,8.0,88.0,8.0,94.0,5.0,93.0,6.0,94.0,6.0,96.0,3.0,88.0,3.0,88.0,4.0,85.0,2.0,76.0,0.0,78.0,0.0,79.0,1.0,78.0,0.0,74.0,0.0,66.0,0.0,77.0,0.0,81.0,6.0,73.0,3.0,77.0,2.0,74.0,0.0,70.0,2.0,76.0,0.0,73.0,1.0,63.0,1.0
801712.SI,玻璃玻纤,99.0,100.0,97.0,99.0,99.0,100.0,98.0,100.0,99.0,100.0,99.0,100.0,96.0,100.0,98.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,100.0,98.0,100.0,97.0,100.0,98.0,100.0,93.0,100.0,97.0,100.0,95.0,99.0,90.0,99.0,92.0,100.0,92.0,100.0,83.0,100.0,80.0,100.0,87.0,100.0,90.0,99.0,86.0,99.0,86.0,100.0,81.0,99.0,75.0,99.0
801711.SI,水泥,34.0,0.0,33.0,0.0,23.0,1.0,65.0,1.0,29.0,1.0,49.0,0.0,44.0,1.0,33.0,0.0,46.0,1.0,54.0,1.0,56.0,1.0,50.0,1.0,51.0,1.0,52.0,1.0,43.0,1.0,46.0,1.0,37.0,1.0,53.0,1.0,41.0,1.0,47.0,1.0,49.0,1.0,58.0,1.0,39.0,0.0,35.0,1.0,52.0,1.0,47.0,1.0,34.0,1.0,35.0,3.0,20.0,1.0
801231.SI,综合Ⅱ,71.0,8.0,68.0,7.0,77.0,21.0,78.0,18.0,83.0,18.0,79.0,11.0,73.0,8.0,67.0,8.0,72.0,21.0,67.0,11.0,79.0,11.0,78.0,9.0,78.0,13.0,78.0,9.0,75.0,5.0,74.0,3.0,66.0,2.0,78.0,15.0,76.0,18.0,66.0,8.0,63.0,9.0,59.0,9.0,54.0,8.0,63.0,15.0,70.0,9.0,65.0,16.0,71.0,18.0,66.0,9.0,62.0,7.0
801191.SI,多元金融,51.0,1.0,48.0,2.0,31.0,0.0,45.0,2.0,39.0,2.0,58.0,3.0,63.0,7.0,58.0,2.0,47.0,1.0,49.0,1.0,77.0,6.0,69.0,5.0,52.0,1.0,55.0,1.0,55.0,1.0,44.0,0.0,36.0,0.0,64.0,2.0,49.0,0.0,36.0,0.0,33.0,0.0,33.0,1.0,40.0,4.0,39.0,1.0,44.0,1.0,38.0,1.0,30.0,0.0,53.0,5.0,43.0,5.0
801194.SI,保险Ⅱ,80.0,12.0,68.0,6.0,52.0,3.0,83.0,21.0,78.0,12.0,88.0,22.0,86.0,20.0,71.0,6.0,65.0,3.0,90.0,36.0,95.0,31.0,86.0,17.0,77.0,11.0,89.0,18.0,85.0,15.0,76.0,7.0,76.0,6.0,95.0,29.0,85.0,11.0,74.0,6.0,82.0,13.0,67.0,7.0,54.0,2.0,67.0,3.0,74.0,3.0,69.0,6.0,83.0,21.0,90.0,39.0,72.0,17.0
801193.SI,证券Ⅱ,24.0,0.0,34.0,2.0,16.0,0.0,28.0,2.0,27.0,2.0,63.0,9.0,73.0,25.0,57.0,7.0,40.0,2.0,42.0,2.0,79.0,33.0,83.0,46.0,71.0,25.0,81.0,37.0,73.0,21.0,58.0,11.0,49.0,6.0,79.0,36.0,68.0,18.0,53.0,9.0,48.0,10.0,38.0,11.0,28.0,3.0,43.0,6.0,43.0,3.0,35.0,3.0,33.0,4.0,54.0,16.0,35.0,5.0
801785.SI,农商行Ⅱ,10.0,1.0,16.0,2.0,25.0,4.0,38.0,8.0,16.0,2.0,39.0,4.0,37.0,8.0,20.0,2.0,7.0,1.0,21.0,2.0,23.0,2.0,32.0,5.0,29.0,2.0,8.0,1.0,12.0,0.0,19.0,1.0,15.0,2.0,10.0,1.0,21.0,1.0,12.0,1.0,34.0,5.0,15.0,2.0,19.0,5.0,22.0,2.0,13.0,1.0,45.0,9.0,40.0,9.0,41.0,9.0,30.0,5.0
801784.SI,城商行Ⅱ,34.0,7.0,46.0,19.0,52.0,29.0,66.0,38.0,54.0,27.0,64.0,23.0,61.0,23.0,39.0,10.0,34.0,9.0,56.0,16.0,53.0,12.0,56.0,12.0,50.0,13.0,34.0,7.0,38.0,7.0,44.0,10.0,43.0,16.0,39.0,6.0,50.0,16.0,38.0,9.0,55.0,16.0,39.0,14.0,41.0,14.0,39.0,9.0,39.0,8.0,61.0,34.0,57.0,32.0,56.0,32.0,43.0,26.0
