代码,名称,2026-05-29_换手,2026-05-29_成交额拥挤,2026-06-01_换手,2026-06-01_成交额拥挤,2026-06-02_换手,2026-06-02_成交额拥挤,2026-06-03_换手,2026-06-03_成交额拥挤,2026-06-04_换手,2026-06-04_成交额拥挤,2026-06-05_换手,2026-06-05_成交额拥挤,2026-06-08_换手,2026-06-08_成交额拥挤,2026-06-09_换手,2026-06-09_成交额拥挤,2026-06-10_换手,2026-06-10_成交额拥挤,2026-06-11_换手,2026-06-11_成交额拥挤,2026-06-12_换手,2026-06-12_成交额拥挤,2026-06-15_换手,2026-06-15_成交额拥挤,2026-06-16_换手,2026-06-16_成交额拥挤,2026-06-17_换手,2026-06-17_成交额拥挤,2026-06-18_换手,2026-06-18_成交额拥挤,2026-06-22_换手,2026-06-22_成交额拥挤,2026-06-23_换手,2026-06-23_成交额拥挤,2026-06-24_换手,2026-06-24_成交额拥挤,2026-06-25_换手,2026-06-25_成交额拥挤,2026-06-26_换手,2026-06-26_成交额拥挤,2026-06-29_换手,2026-06-29_成交额拥挤,2026-06-30_换手,2026-06-30_成交额拥挤,2026-07-01_换手,2026-07-01_成交额拥挤,2026-07-02_换手,2026-07-02_成交额拥挤,2026-07-03_换手,2026-07-03_成交额拥挤,2026-07-06_换手,2026-07-06_成交额拥挤,2026-07-07_换手,2026-07-07_成交额拥挤,2026-07-08_换手,2026-07-08_成交额拥挤,2026-07-09_换手,2026-07-09_成交额拥挤
801983.SI,医疗美容,50.0,98.0,22.0,88.0,10.0,25.0,14.0,26.0,14.0,88.0,13.0,27.0,21.0,89.0,6.0,28.0,13.0,29.0,19.0,89.0,39.0,89.0,16.0,89.0,8.0,29.0,4.0,29.0,7.0,30.0,19.0,31.0,23.0,90.0,17.0,32.0,30.0,90.0,12.0,32.0,38.0,91.0,11.0,33.0,26.0,91.0,22.0,33.0,20.0,91.0,16.0,91.0,15.0,91.0,1.0,33.0,5.0,33.0
801982.SI,化妆品,70.0,12.0,78.0,30.0,77.0,17.0,71.0,12.0,69.0,17.0,70.0,12.0,67.0,12.0,55.0,8.0,53.0,8.0,50.0,4.0,64.0,13.0,67.0,8.0,54.0,4.0,52.0,2.0,60.0,4.0,71.0,8.0,68.0,4.0,67.0,4.0,69.0,4.0,67.0,4.0,76.0,8.0,77.0,8.0,83.0,8.0,86.0,13.0,84.0,18.0,78.0,13.0,68.0,13.0,64.0,13.0,62.0,4.0
801981.SI,个护用品,55.0,8.0,62.0,8.0,53.0,9.0,42.0,2.0,50.0,9.0,51.0,9.0,53.0,9.0,43.0,9.0,40.0,2.0,42.0,2.0,64.0,9.0,65.0,9.0,56.0,9.0,53.0,2.0,60.0,2.0,64.0,2.0,61.0,9.0,65.0,9.0,62.0,9.0,53.0,2.0,72.0,9.0,58.0,9.0,57.0,2.0,55.0,2.0,49.0,3.0,52.0,3.0,63.0,9.0,69.0,18.0,71.0,9.0
801972.SI,环保设备Ⅱ,79.0,56.0,76.0,56.0,79.0,71.0,85.0,82.0,70.0,74.0,84.0,85.0,81.0,82.0,82.0,84.0,81.0,80.0,80.0,82.0,88.0,74.0,84.0,74.0,81.0,64.0,83.0,82.0,84.0,74.0,94.0,74.0,82.0,64.0,90.0,80.0,95.0,89.0,92.0,82.0,91.0,86.0,89.0,80.0,90.0,77.0,83.0,67.0,85.0,67.0,77.0,56.0,66.0,56.0,60.0,50.0,61.0,50.0
801971.SI,环境治理,72.0,7.0,77.0,14.0,64.0,8.0,61.0,5.0,57.0,8.0,63.0,4.0,75.0,9.0,58.0,5.0,59.0,5.0,57.0,5.0,71.0,5.0,71.0,7.0,64.0,5.0,66.0,3.0,66.0,2.0,83.0,8.0,77.0,12.0,78.0,9.0,76.0,6.0,70.0,3.0,74.0,3.0,56.0,1.0,72.0,2.0,68.0,3.0,65.0,7.0,70.0,13.0,61.0,14.0,55.0,10.0,62.0,4.0
801963.SI,炼化及贸易,76.0,2.0,72.0,9.0,64.0,7.0,58.0,3.0,61.0,3.0,81.0,10.0,79.0,12.0,64.0,7.0,58.0,2.0,64.0,6.0,79.0,15.0,80.0,19.0,66.0,5.0,63.0,2.0,63.0,1.0,74.0,1.0,74.0,4.0,81.0,5.0,81.0,4.0,77.0,8.0,72.0,2.0,68.0,5.0,73.0,2.0,75.0,2.0,71.0,5.0,78.0,11.0,71.0,12.0,62.0,7.0,72.0,4.0
801962.SI,油服工程,74.0,6.0,63.0,9.0,82.0,16.0,87.0,20.0,80.0,24.0,75.0,6.0,87.0,31.0,88.0,34.0,72.0,16.0,83.0,24.0,86.0,20.0,76.0,13.0,75.0,6.0,66.0,4.0,81.0,4.0,81.0,4.0,82.0,6.0,74.0,4.0,69.0,2.0,67.0,1.0,70.0,2.0,69.0,1.0,70.0,1.0,67.0,2.0,59.0,1.0,63.0,2.0,79.0,6.0,93.0,39.0,98.0,50.0
801961.SI,油气开采Ⅱ,38.0,6.0,48.0,14.0,42.0,15.0,87.0,37.0,70.0,23.0,68.0,24.0,73.0,39.0,71.0,35.0,59.0,25.0,66.0,30.0,71.0,32.0,65.0,38.0,57.0,16.0,58.0,26.0,55.0,14.0,63.0,18.0,63.0,28.0,64.0,18.0,69.0,37.0,62.0,19.0,57.0,14.0,54.0,15.0,47.0,6.0,28.0,17.0,68.0,34.0,69.0,39.0,58.0,40.0,73.0,51.0,89.0,54.0
801952.SI,焦炭Ⅱ,73.0,6.0,89.0,19.0,89.0,19.0,90.0,15.0,97.0,33.0,98.0,28.0,94.0,24.0,90.0,20.0,84.0,10.0,82.0,10.0,85.0,11.0,71.0,6.0,71.0,6.0,69.0,2.0,65.0,2.0,61.0,0.0,63.0,2.0,71.0,2.0,57.0,2.0,50.0,0.0,43.0,0.0,40.0,0.0,60.0,0.0,53.0,0.0,40.0,0.0,40.0,0.0,38.0,0.0,37.0,0.0,39.0,0.0
801951.SI,煤炭开采,86.0,24.0,96.0,57.0,98.0,63.0,98.0,50.0,97.0,60.0,97.0,41.0,96.0,47.0,93.0,40.0,91.0,34.0,87.0,25.0,88.0,30.0,84.0,35.0,86.0,22.0,83.0,16.0,83.0,15.0,80.0,11.0,85.0,18.0,86.0,18.0,76.0,10.0,71.0,7.0,66.0,8.0,67.0,10.0,62.0,4.0,79.0,18.0,69.0,12.0,77.0,20.0,71.0,17.0,71.0,19.0,63.0,8.0
