排名,代码,名称,综合得分,价格趋势(35%),宽度趋势(35%),拥挤度趋势(30%),3天前得分
1,801783.SI,股份制银行Ⅱ,96.6,91.5,100.0,98.5,84.4
2,801193.SI,证券Ⅱ,89.3,92.3,86.9,88.5,33.4
3,801785.SI,农商行Ⅱ,87.1,93.8,96.9,67.7,50.2
4,801782.SI,国有大型银行Ⅱ,83.8,99.2,99.2,47.7,81.4
5,801111.SI,白色家电,81.6,89.2,93.1,59.2,41.7
6,801784.SI,城商行Ⅱ,80.8,96.9,98.5,41.5,55.0
7,801194.SI,保险Ⅱ,77.9,90.0,97.7,40.8,46.8
8,801018.SI,动物保健Ⅱ,76.5,86.2,63.8,80.0,52.6
9,801043.SI,冶钢原料,76.4,86.9,85.4,53.8,56.9
10,801981.SI,个护用品,76.0,68.5,71.5,90.0,29.8
11,801993.SI,旅游及景区,74.3,78.5,90.8,50.0,42.6
12,801991.SI,航空机场,74.2,84.6,87.7,46.2,40.6
13,801129.SI,调味发酵品Ⅱ,73.1,90.8,89.2,33.8,40.8
14,801012.SI,农产品加工,72.9,74.6,77.7,65.4,35.6
15,801016.SI,种植业,71.5,71.5,62.3,82.3,29.3
16,801051.SI,金属新材料,71.5,94.6,88.5,24.6,69.4
17,801032.SI,化学纤维,71.3,76.9,84.6,49.2,55.2
18,801056.SI,能源金属,70.9,98.5,95.4,10.0,19.6
19,801054.SI,小金属,70.5,100.0,96.2,6.2,35.3
20,801045.SI,特钢Ⅱ,70.3,55.4,72.3,85.4,45.3
21,801982.SI,化妆品,69.3,73.8,43.1,94.6,52.7
22,801126.SI,非白酒,68.7,83.1,73.1,46.9,62.2
23,801128.SI,休闲食品,68.4,46.9,70.0,91.5,46.6
24,801034.SI,化学制品,67.8,93.1,76.2,28.5,46.2
25,801086.SI,电子化学品Ⅱ,67.5,97.7,94.6,0.8,56.7
26,801154.SI,医药商业,66.4,63.1,59.2,78.5,47.3
27,801133.SI,饰品,65.2,57.7,64.6,74.6,36.6
28,801724.SI,专业工程,65.1,80.0,58.5,55.4,55.1
29,801124.SI,食品加工,64.2,70.8,50.8,72.3,70.3
30,801132.SI,服装家纺,63.1,60.8,56.2,73.8,64.6
31,801971.SI,环境治理,62.9,50.8,49.2,93.1,55.9
32,801039.SI,非金属材料Ⅱ,62.8,96.2,78.5,5.4,67.3
33,801951.SI,煤炭开采,62.5,56.2,90.0,37.7,68.8
34,801712.SI,玻璃玻纤,62.4,95.4,81.5,1.5,67.3
35,801151.SI,化学制药,62.1,66.2,41.5,81.5,41.4
