排名,代码,名称,综合得分,价格趋势(35%),宽度趋势(35%),拥挤度趋势(30%),3天前得分
1,801191.SI,多元金融,81.5,63.1,90.0,93.1,42.7
2,801733.SI,其他电源设备Ⅱ,75.4,92.3,77.7,53.1,63.3
3,801193.SI,证券Ⅱ,73.8,89.2,100.0,25.4,64.8
4,801131.SI,纺织制造,72.8,56.9,68.5,96.2,54.6
5,801051.SI,金属新材料,72.4,90.8,96.2,23.1,70.1
6,801103.SI,IT服务Ⅱ,72.0,72.3,48.5,99.2,56.4
7,801086.SI,电子化学品Ⅱ,69.4,99.2,99.2,0.0,68.2
8,801082.SI,其他电子Ⅱ,69.3,97.7,93.1,8.5,67.0
9,801054.SI,小金属,69.0,96.9,96.9,3.8,66.0
10,801081.SI,半导体,68.8,96.2,98.5,2.3,65.2
11,801712.SI,玻璃玻纤,68.3,100.0,94.6,0.8,69.2
12,801034.SI,化学制品,68.3,86.9,83.8,28.5,60.1
13,801783.SI,股份制银行Ⅱ,67.6,38.5,81.5,85.4,68.5
14,801039.SI,非金属材料Ⅱ,67.4,98.5,91.5,3.1,66.6
15,801963.SI,炼化及贸易,67.3,43.1,65.4,97.7,56.7
16,801083.SI,元件,67.2,95.4,95.4,1.5,69.4
17,801101.SI,计算机设备,66.7,81.5,75.4,39.2,58.1
18,801084.SI,光学光电子,66.7,93.1,90.8,7.7,67.6
19,801036.SI,塑料,66.5,93.8,92.3,4.6,59.1
20,801218.SI,专业服务,66.4,87.7,76.9,29.2,57.2
21,801037.SI,橡胶,65.9,83.8,88.5,18.5,43.3
22,801156.SI,医疗服务,65.3,84.6,85.4,19.2,30.0
23,801102.SI,通信设备,65.3,94.6,86.2,6.9,65.7
24,801992.SI,航运港口,64.5,73.8,62.3,56.2,58.2
25,801724.SI,专业工程,63.9,80.0,63.8,45.4,65.0
26,801151.SI,化学制药,63.9,53.8,78.5,58.5,26.1
27,801085.SI,消费电子,63.8,90.0,83.1,10.8,60.2
28,801194.SI,保险Ⅱ,63.3,50.8,93.8,42.3,75.3
29,801072.SI,通用设备,63.1,91.5,80.8,9.2,58.2
30,801104.SI,软件开发,63.1,76.2,55.4,56.9,44.6
31,801078.SI,自动化设备,62.7,85.4,89.2,5.4,62.5
32,801152.SI,生物制品,62.2,49.2,79.2,57.7,27.1
33,801737.SI,电池,61.7,83.1,84.6,10.0,61.3
34,801202.SI,贸易Ⅱ,61.4,40.0,52.3,96.9,56.6
35,801045.SI,特钢Ⅱ,61.1,75.4,53.1,53.8,71.6
36,801764.SI,游戏Ⅱ,61.0,66.2,46.2,72.3,24.6
37,801076.SI,轨交设备Ⅱ,61.0,71.5,82.3,23.8,50.0
38,801722.SI,装修装饰Ⅱ,60.8,52.3,73.8,55.4,41.6
39,801056.SI,能源金属,60.7,86.2,74.6,14.6,69.3
40,801155.SI,中药Ⅱ,60.2,28.5,66.9,89.2,27.6
41,801074.SI,专用设备,60.1,80.8,63.1,32.3,62.3
42,801124.SI,食品加工,60.0,53.1,49.2,80.8,37.7
43,801972.SI,环保设备Ⅱ,59.8,70.8,86.9,15.4,36.6
44,801077.SI,工程机械,59.7,61.5,71.5,43.8,72.2
45,801032.SI,化学纤维,59.4,65.4,61.5,50.0,69.9
46,801745.SI,军工电子Ⅱ,59.4,78.5,70.0,24.6,59.5
47,801206.SI,互联网电商,59.4,51.5,43.1,87.7,64.7
48,801115.SI,照明设备Ⅱ,59.1,70.0,87.7,13.1,63.4
49,801112.SI,黑色家电,58.8,44.6,37.7,100.0,81.1
50,801141.SI,包装印刷,58.6,60.8,72.3,40.0,43.9
51,801018.SI,动物保健Ⅱ,57.9,57.7,76.2,36.9,64.1
52,801033.SI,化学原料,57.0,73.1,80.0,11.5,29.6
53,801132.SI,服装家纺,56.6,42.3,41.5,90.8,69.5
54,801744.SI,航海装备Ⅱ,56.4,76.9,16.9,78.5,73.2
55,801971.SI,环境治理,56.2,62.3,60.0,44.6,55.7
56,801055.SI,工业金属,56.2,82.3,73.1,6.2,62.8
57,801231.SI,综合Ⅱ,56.1,74.6,54.6,36.2,61.5
58,801784.SI,城商行Ⅱ,56.1,27.7,60.8,83.8,66.5
59,801129.SI,调味发酵品Ⅱ,56.0,60.0,57.7,49.2,42.0
60,801181.SI,房地产开发,55.9,43.8,35.4,93.8,58.1
61,801881.SI,摩托车及其他,55.8,29.2,67.7,73.1,35.4
62,801767.SI,数字媒体,55.6,67.7,47.7,50.8,33.4
63,801111.SI,白色家电,55.2,32.3,64.6,70.8,55.4
