排名,代码,名称,综合得分,价格趋势(35%),宽度趋势(35%),拥挤度趋势(30%),3天前得分
1,801193.SI,证券Ⅱ,91.9,92.3,98.5,83.8,75.6
2,801881.SI,摩托车及其他,81.3,80.8,72.3,92.3,67.1
3,801764.SI,游戏Ⅱ,81.1,86.9,86.9,67.7,58.1
4,801983.SI,医疗美容,79.5,56.9,84.6,100.0,59.8
5,801111.SI,白色家电,72.7,78.5,96.9,37.7,43.2
6,801991.SI,航空机场,70.3,76.2,70.0,63.8,35.0
7,801081.SI,半导体,70.2,98.5,100.0,2.3,71.0
8,801017.SI,养殖业,69.9,90.8,66.2,50.0,33.2
9,801156.SI,医疗服务,69.7,97.7,95.4,6.9,60.5
10,801086.SI,电子化学品Ⅱ,69.4,99.2,99.2,0.0,69.0
11,801712.SI,玻璃玻纤,68.9,100.0,92.3,5.4,66.0
12,801019.SI,农业综合Ⅱ,68.3,17.7,93.1,98.5,25.2
13,801981.SI,个护用品,67.9,76.9,71.5,53.1,53.7
14,801151.SI,化学制药,67.2,94.6,90.8,7.7,53.0
15,801101.SI,计算机设备,67.2,83.8,55.4,61.5,64.6
16,801083.SI,元件,67.0,93.1,97.7,0.8,62.6
17,801037.SI,橡胶,66.7,96.9,79.2,16.9,69.5
18,801039.SI,非金属材料Ⅱ,66.4,90.0,90.0,11.5,66.8
19,801084.SI,光学光电子,66.1,96.2,91.5,1.5,61.1
20,801724.SI,专业工程,66.0,88.5,76.2,27.7,57.5
21,801741.SI,航天装备Ⅱ,65.6,91.5,66.9,33.8,26.9
22,801152.SI,生物制品,65.5,89.2,94.6,3.8,40.8
23,801153.SI,医疗器械,65.5,67.7,75.4,51.5,55.3
24,801082.SI,其他电子Ⅱ,65.4,93.8,89.2,4.6,70.2
25,801735.SI,光伏设备,65.2,82.3,77.7,30.8,46.8
26,801133.SI,饰品,65.0,39.2,65.4,94.6,43.8
27,801745.SI,军工电子Ⅱ,64.9,86.2,85.4,16.2,62.0
28,801054.SI,小金属,64.5,87.7,93.8,3.1,66.7
29,801018.SI,动物保健Ⅱ,64.2,80.0,87.7,18.5,62.0
30,801155.SI,中药Ⅱ,64.0,75.4,60.0,55.4,53.5
31,801014.SI,饲料,63.8,85.4,68.5,33.1,38.4
