排名,代码,名称,综合得分,价格趋势(35%),宽度趋势(35%),拥挤度趋势(30%),3天前得分
1,801193.SI,证券Ⅱ,76.7,91.5,100.0,32.3,78.9
2,801764.SI,游戏Ⅱ,75.8,76.9,82.3,66.9,48.7
3,801101.SI,计算机设备,70.9,87.7,74.6,46.9,57.7
4,801156.SI,医疗服务,70.6,96.2,88.5,20.0,62.2
5,801081.SI,半导体,70.4,99.2,99.2,3.1,67.0
6,801881.SI,摩托车及其他,69.5,68.5,66.2,74.6,52.5
7,801983.SI,医疗美容,69.4,42.3,76.9,92.3,56.0
8,801086.SI,电子化学品Ⅱ,69.2,98.5,98.5,0.8,67.4
9,801191.SI,多元金融,69.1,62.3,69.2,76.9,61.5
10,801726.SI,工程咨询服务Ⅱ,68.9,90.0,55.4,60.0,55.7
11,801085.SI,消费电子,68.8,92.3,87.7,19.2,61.4
12,801712.SI,玻璃玻纤,68.7,100.0,93.1,3.8,69.6
13,801111.SI,白色家电,68.6,55.4,75.4,76.2,53.0
14,801039.SI,非金属材料Ⅱ,68.6,96.9,94.6,5.4,64.2
15,801082.SI,其他电子Ⅱ,68.6,97.7,92.3,6.9,65.6
16,801218.SI,专业服务,67.8,82.3,64.6,54.6,74.2
17,801083.SI,元件,67.6,95.4,97.7,0.0,63.2
18,801991.SI,航空机场,66.2,80.0,95.4,16.2,36.7
19,801054.SI,小金属,66.1,93.8,93.8,1.5,70.9
20,801992.SI,航运港口,65.9,83.8,56.9,55.4,70.1
21,801745.SI,军工电子Ⅱ,65.6,79.2,84.6,27.7,53.8
22,801051.SI,金属新材料,65.5,83.1,96.9,8.5,66.8
23,801084.SI,光学光电子,65.3,93.1,91.5,2.3,59.9
24,801037.SI,橡胶,65.2,90.8,73.8,25.4,64.3
25,801018.SI,动物保健Ⅱ,65.1,77.7,90.0,21.5,37.0
26,801019.SI,农业综合Ⅱ,64.9,12.3,90.8,96.2,30.9
27,801102.SI,通信设备,64.8,94.6,80.8,11.5,67.5
28,801078.SI,自动化设备,64.3,89.2,89.2,6.2,61.9
29,801151.SI,化学制药,64.2,84.6,73.1,30.0,41.8
30,801129.SI,调味发酵品Ⅱ,64.1,78.5,45.4,69.2,50.1
31,801152.SI,生物制品,64.1,72.3,79.2,36.9,39.0
32,801033.SI,化学原料,63.5,86.2,76.2,22.3,58.6
33,801036.SI,塑料,62.9,86.9,86.2,7.7,63.4
34,801131.SI,纺织制造,62.8,73.8,60.0,53.1,47.7
35,801034.SI,化学制品,62.5,85.4,83.8,10.8,59.6
36,801032.SI,化学纤维,62.3,81.5,85.4,13.1,55.3
37,801072.SI,通用设备,61.4,88.5,78.5,10.0,57.0
38,801092.SI,汽车服务,61.0,54.6,57.7,72.3,46.1
39,801711.SI,水泥,59.6,51.5,46.2,84.6,47.6
40,801153.SI,医疗器械,59.5,59.2,54.6,65.4,54.3
41,801206.SI,互联网电商,59.4,65.4,50.8,62.3,52.0
42,801155.SI,中药Ⅱ,59.2,50.8,43.8,86.9,33.3
43,801178.SI,物流,59.0,46.9,40.0,95.4,36.1
44,801722.SI,装修装饰Ⅱ,58.9,70.8,77.7,23.1,56.3
45,801737.SI,电池,58.5,71.5,83.1,14.6,63.3
46,801124.SI,食品加工,58.1,66.2,38.5,71.5,55.9
47,801074.SI,专用设备,58.1,80.8,70.0,17.7,58.2
48,801733.SI,其他电源设备Ⅱ,57.9,67.7,80.0,20.8,73.3
49,801981.SI,个护用品,57.5,56.2,50.0,67.7,53.3
50,801045.SI,特钢Ⅱ,57.5,63.1,66.9,40.0,46.6
51,801972.SI,环保设备Ⅱ,57.4,73.1,86.9,4.6,38.7
52,801724.SI,专业工程,57.2,76.2,71.5,18.5,64.2
53,801231.SI,综合Ⅱ,57.0,75.4,58.5,33.8,56.2
54,801038.SI,农化制品,56.2,74.6,61.5,28.5,64.7
55,801056.SI,能源金属,56.2,64.6,81.5,16.9,69.5
56,801141.SI,包装印刷,55.7,66.9,59.2,38.5,57.5
57,801735.SI,光伏设备,55.1,52.3,67.7,43.8,50.6
58,801014.SI,饲料,54.2,53.8,23.8,90.0,47.8
59,801104.SI,软件开发,53.9,57.7,40.8,64.6,63.4
60,801971.SI,环境治理,53.6,63.8,53.8,41.5,52.7
61,801132.SI,服装家纺,53.4,69.2,39.2,51.5,38.9
62,801103.SI,IT服务Ⅱ,53.2,43.8,51.5,66.2,66.0
63,801963.SI,炼化及贸易,52.6,60.8,63.1,30.8,63.4
64,801743.SI,地面兵装Ⅱ,51.7,56.9,49.2,48.5,57.6
65,801112.SI,黑色家电,51.6,60.0,35.4,60.8,34.2
66,801076.SI,轨交设备Ⅱ,50.8,50.0,65.4,34.6,63.3
67,801744.SI,航海装备Ⅱ,50.7,48.5,33.1,73.8,83.0
68,801127.SI,饮料乳品,50.4,53.1,36.9,63.1,40.6
69,801116.SI,家电零部件Ⅱ,50.3,46.2,63.8,39.2,42.0
70,801142.SI,家居用品,49.3,39.2,60.8,47.7,32.0
71,801128.SI,休闲食品,49.2,28.5,42.3,81.5,28.1
72,801738.SI,电网设备,49.1,61.5,48.5,35.4,54.7
73,801194.SI,保险Ⅱ,48.8,31.5,96.2,13.8,46.1
74,801742.SI,航空装备Ⅱ,48.5,40.8,43.1,63.8,68.2
75,801179.SI,铁路公路,48.3,38.5,19.2,93.8,50.5
76,801713.SI,装修建材,47.8,47.7,68.5,23.8,36.3
77,801133.SI,饰品,47.4,25.4,26.2,97.7,61.2
78,801961.SI,油气开采Ⅱ,46.8,70.0,13.1,59.2,49.2
79,801994.SI,教育,46.7,3.1,44.6,100.0,42.1
80,801784.SI,城商行Ⅱ,46.0,49.2,2.3,93.1,50.1
81,801785.SI,农商行Ⅱ,44.7,41.5,7.7,91.5,40.3
82,801769.SI,出版,44.4,23.8,18.5,98.5,70.5
83,801114.SI,厨卫电器,44.4,36.2,62.3,33.1,28.8
84,801043.SI,冶钢原料,43.5,40.0,36.2,56.2,57.8
85,801093.SI,汽车零部件,43.2,33.1,46.9,50.8,44.6
86,801219.SI,酒店餐饮,42.1,23.1,12.3,99.2,35.3
87,801723.SI,基础建设,41.8,36.9,37.7,52.3,50.1
88,801995.SI,电视广播Ⅱ,41.5,30.0,5.4,96.9,63.9
89,801731.SI,电机Ⅱ,41.4,19.2,56.2,50.0,40.0
90,801736.SI,风电设备,41.0,35.4,32.3,57.7,56.7
91,801223.SI,通信服务,40.7,37.7,70.8,9.2,48.8
92,801113.SI,小家电,39.8,15.4,23.1,87.7,32.2
93,801962.SI,油服工程,39.4,14.6,47.7,58.5,41.9
94,801154.SI,医药商业,39.3,45.4,30.0,43.1,41.0
95,801053.SI,贵金属,39.1,0.0,53.1,68.5,75.3
96,801181.SI,房地产开发,38.9,43.1,29.2,45.4,43.7
97,801015.SI,渔业,38.6,18.5,10.8,94.6,38.3
98,801012.SI,农产品加工,38.3,10.0,30.8,80.0,48.6
99,801017.SI,养殖业,38.3,10.8,20.8,90.8,40.8
100,801993.SI,旅游及景区,38.2,20.8,14.6,86.2,35.2
101,801721.SI,房屋建设Ⅱ,38.0,21.5,13.8,85.4,39.3
102,801203.SI,一般零售,37.6,20.0,34.6,61.5,24.8
103,801145.SI,文娱用品,35.8,13.1,20.0,80.8,28.6
104,801096.SI,商用车,34.7,9.2,25.4,75.4,64.3
105,801782.SI,国有大型银行Ⅱ,34.6,58.5,15.4,29.2,27.6
106,801117.SI,其他家电Ⅱ,34.5,24.6,6.2,79.2,61.5
107,801783.SI,股份制银行Ⅱ,34.3,34.6,0.8,73.1,37.6
108,801044.SI,普钢,34.1,27.7,3.1,77.7,54.8
109,801126.SI,非白酒,33.5,3.8,16.2,88.5,9.7
