排名,代码,名称,综合得分,价格趋势(35%),宽度趋势(35%),拥挤度趋势(30%),3天前得分
1,801783.SI,股份制银行Ⅱ,82.8,61.5,99.2,88.5,97.4
2,801018.SI,动物保健Ⅱ,78.9,75.4,85.4,75.4,65.8
3,801193.SI,证券Ⅱ,76.9,88.5,93.1,44.6,37.7
4,801981.SI,个护用品,75.7,59.2,80.0,90.0,35.1
5,801043.SI,冶钢原料,75.1,83.1,90.0,48.5,38.6
6,801191.SI,多元金融,73.3,72.3,65.4,83.8,39.5
7,801111.SI,白色家电,73.1,36.9,86.2,100.0,63.5
8,801992.SI,航运港口,72.2,83.8,81.5,47.7,42.8
9,801194.SI,保险Ⅱ,71.9,80.0,98.5,31.5,44.3
10,801785.SI,农商行Ⅱ,71.9,54.6,95.4,64.6,93.4
11,801744.SI,航海装备Ⅱ,71.8,73.1,46.9,99.2,60.5
12,801051.SI,金属新材料,71.7,95.4,88.5,24.6,56.7
13,801991.SI,航空机场,71.0,86.2,91.5,29.2,44.0
14,801993.SI,旅游及景区,70.7,46.9,83.8,83.1,53.1
15,801056.SI,能源金属,70.3,94.6,97.7,10.0,25.4
16,801053.SI,贵金属,70.2,90.0,90.8,23.1,13.7
17,801032.SI,化学纤维,70.1,82.3,77.7,46.9,47.3
18,801054.SI,小金属,69.7,99.2,94.6,6.2,32.6
19,801733.SI,其他电源设备Ⅱ,69.7,71.5,76.9,59.2,22.0
20,801784.SI,城商行Ⅱ,69.2,68.5,96.9,37.7,82.4
21,801086.SI,电子化学品Ⅱ,68.1,97.7,96.2,0.8,53.1
22,801133.SI,饰品,67.9,70.8,60.0,73.8,33.0
23,801712.SI,玻璃玻纤,67.8,100.0,92.3,1.5,56.5
24,801782.SI,国有大型银行Ⅱ,67.5,69.2,100.0,27.7,79.0
25,801132.SI,服装家纺,67.4,65.4,54.6,84.6,59.1
26,801083.SI,元件,67.3,98.5,93.8,0.0,44.3
27,801971.SI,环境治理,67.1,57.7,52.3,95.4,61.2
28,801034.SI,化学制品,66.0,89.2,76.2,26.9,56.9
29,801045.SI,特钢Ⅱ,65.3,73.8,73.8,45.4,41.9
30,801039.SI,非金属材料Ⅱ,65.0,96.9,82.3,7.7,70.0
