排名,代码,名称,综合得分,价格趋势(35%),宽度趋势(35%),拥挤度趋势(30%),3天前得分
1,801783.SI,股份制银行Ⅱ,96.6,91.5,100.0,98.5,84.4
2,801193.SI,证券Ⅱ,89.3,92.3,86.9,88.5,33.4
3,801785.SI,农商行Ⅱ,87.3,93.8,96.9,68.5,50.2
4,801784.SI,城商行Ⅱ,85.9,96.9,99.2,57.7,56.4
5,801782.SI,国有大型银行Ⅱ,84.9,99.2,98.5,52.3,82.5
6,801111.SI,白色家电,81.1,89.2,92.3,58.5,41.7
7,801194.SI,保险Ⅱ,79.8,90.0,97.7,46.9,46.8
8,801018.SI,动物保健Ⅱ,76.5,86.2,63.8,80.0,52.6
9,801981.SI,个护用品,76.3,68.5,72.3,90.0,29.8
10,801043.SI,冶钢原料,75.3,86.9,85.4,50.0,57.6
11,801129.SI,调味发酵品Ⅱ,74.8,90.8,90.0,38.5,41.3
12,801126.SI,非白酒,73.8,83.1,73.8,63.1,62.2
13,801012.SI,农产品加工,73.2,74.6,77.7,66.2,35.6
14,801016.SI,种植业,71.8,71.5,62.3,83.1,29.3
15,801051.SI,金属新材料,71.5,94.6,88.5,24.6,69.4
16,801993.SI,旅游及景区,71.3,78.5,90.8,40.0,42.6
17,801056.SI,能源金属,71.1,98.5,96.2,10.0,19.6
18,801991.SI,航空机场,70.9,84.6,87.7,35.4,40.6
19,801045.SI,特钢Ⅱ,70.6,55.4,73.1,85.4,45.3
20,801054.SI,小金属,70.2,100.0,95.4,6.2,35.3
21,801982.SI,化妆品,69.3,73.8,43.1,94.6,52.7
22,801032.SI,化学纤维,68.5,76.9,83.8,40.8,54.8
23,801128.SI,休闲食品,68.4,46.9,70.0,91.5,46.6
24,801034.SI,化学制品,68.3,93.1,76.9,29.2,48.8
25,801086.SI,电子化学品Ⅱ,67.5,97.7,94.6,0.8,56.7
26,801951.SI,煤炭开采,67.1,56.2,91.5,51.5,68.8
27,801133.SI,饰品,66.5,57.7,66.9,76.2,36.6
28,801724.SI,专业工程,65.5,80.0,58.5,56.9,55.1
29,801154.SI,医药商业,65.1,63.1,56.9,76.9,47.3
30,801124.SI,食品加工,63.2,70.8,47.7,72.3,70.0
31,801132.SI,服装家纺,63.1,60.8,56.2,73.8,64.6
32,801151.SI,化学制药,63.0,66.2,43.8,81.5,41.4
33,801971.SI,环境治理,62.9,50.8,49.2,93.1,55.9
34,801039.SI,非金属材料Ⅱ,62.8,96.2,78.5,5.4,67.3
35,801712.SI,玻璃玻纤,62.4,95.4,81.5,1.5,67.3
