排名,代码,名称,综合得分,价格趋势(35%),宽度趋势(35%),拥挤度趋势(30%),3天前得分
1,801231.SI,综合Ⅱ,78.1,80.0,60.0,96.9,35.3
2,801112.SI,黑色家电,78.0,62.3,76.2,98.5,31.2
3,801103.SI,IT服务Ⅱ,75.9,76.9,60.8,92.3,40.4
4,801733.SI,其他电源设备Ⅱ,73.6,90.8,89.2,35.4,46.2
5,801051.SI,金属新材料,73.0,93.8,97.7,20.0,46.8
6,801744.SI,航海装备Ⅱ,72.9,70.8,57.7,93.1,70.2
7,801045.SI,特钢Ⅱ,72.7,81.5,85.4,47.7,51.4
8,801101.SI,计算机设备,71.0,85.4,83.1,40.0,41.0
9,801039.SI,非金属材料Ⅱ,70.2,98.5,96.2,6.9,38.1
10,801074.SI,专用设备,70.1,86.2,79.2,40.8,43.2
11,801082.SI,其他电子Ⅱ,70.0,96.9,93.8,10.8,38.0
12,801086.SI,电子化学品Ⅱ,69.6,97.7,100.0,1.5,59.5
13,801083.SI,元件,69.4,99.2,99.2,0.0,50.4
14,801092.SI,汽车服务,69.2,63.1,56.9,90.8,48.8
15,801018.SI,动物保健Ⅱ,69.0,71.5,75.4,58.5,82.1
16,801054.SI,小金属,68.9,94.6,96.9,6.2,65.9
17,801081.SI,半导体,68.8,96.2,98.5,2.3,34.7
18,801712.SI,玻璃玻纤,68.6,100.0,95.4,0.8,64.5
19,801037.SI,橡胶,68.3,83.8,73.8,43.8,35.9
20,801971.SI,环境治理,68.1,65.4,58.5,82.3,69.4
21,801202.SI,贸易Ⅱ,67.9,45.4,66.9,95.4,51.6
22,801131.SI,纺织制造,67.7,55.4,53.1,99.2,63.3
23,801102.SI,通信设备,67.5,95.4,90.8,7.7,46.1
24,801193.SI,证券Ⅱ,67.1,74.6,67.7,57.7,80.9
25,801742.SI,航空装备Ⅱ,67.0,73.8,81.5,42.3,47.0
26,801115.SI,照明设备Ⅱ,66.9,88.5,86.9,18.5,38.7
27,801078.SI,自动化设备,66.8,92.3,94.6,4.6,33.6
28,801056.SI,能源金属,65.8,79.2,92.3,19.2,67.6
29,801085.SI,消费电子,65.7,89.2,90.0,10.0,32.3
30,801036.SI,塑料,65.7,93.1,91.5,3.8,59.4
31,801084.SI,光学光电子,65.5,91.5,93.1,3.1,32.4
32,801218.SI,专业服务,65.5,86.9,82.3,20.8,53.5
33,801132.SI,服装家纺,65.4,53.1,59.2,86.9,70.5
34,801104.SI,软件开发,65.0,68.5,50.0,78.5,39.4
35,801034.SI,化学制品,64.9,78.5,80.0,31.5,61.6
36,801152.SI,生物制品,64.7,57.7,54.6,84.6,44.9
37,801745.SI,军工电子Ⅱ,64.0,87.7,84.6,12.3,50.0
38,801072.SI,通用设备,63.8,90.0,87.7,5.4,39.0
39,801724.SI,专业工程,63.5,83.1,83.8,16.9,56.4
40,801156.SI,医疗服务,61.9,80.8,72.3,27.7,33.2
41,801141.SI,包装印刷,61.8,69.2,68.5,45.4,39.4
42,801737.SI,电池,61.7,82.3,86.2,9.2,34.8
43,801032.SI,化学纤维,61.6,70.0,77.7,33.1,66.0
