排名,代码,名称,综合得分,价格趋势(35%),宽度趋势(35%),拥挤度趋势(30%),3天前得分
1,801783.SI,股份制银行Ⅱ,95.2,91.5,96.9,97.7,84.1
2,801193.SI,证券Ⅱ,89.5,92.3,86.9,89.2,33.4
3,801785.SI,农商行Ⅱ,88.1,93.8,99.2,68.5,50.2
4,801782.SI,国有大型银行Ⅱ,86.8,99.2,100.0,56.9,83.0
5,801129.SI,调味发酵品Ⅱ,83.1,90.8,93.1,62.3,42.5
6,801784.SI,城商行Ⅱ,80.4,96.9,98.5,40.0,54.6
7,801194.SI,保险Ⅱ,77.5,90.0,97.7,39.2,46.8
8,801981.SI,个护用品,76.0,68.5,71.5,90.0,29.8
9,801018.SI,动物保健Ⅱ,76.0,86.2,63.1,79.2,52.6
10,801043.SI,冶钢原料,74.1,86.9,84.6,46.9,57.0
11,801111.SI,白色家电,73.1,89.2,90.0,34.6,41.7
12,801012.SI,农产品加工,72.9,74.6,77.7,65.4,35.6
13,801991.SI,航空机场,72.5,84.6,87.7,40.8,40.6
14,801032.SI,化学纤维,72.5,76.9,85.4,52.3,55.3
15,801016.SI,种植业,71.5,71.5,62.3,82.3,29.3
16,801051.SI,金属新材料,71.2,94.6,88.5,23.8,69.4
17,801056.SI,能源金属,71.1,98.5,96.2,10.0,19.6
18,801045.SI,特钢Ⅱ,71.1,55.4,73.8,86.2,45.3
19,801054.SI,小金属,70.2,100.0,95.4,6.2,35.3
20,801126.SI,非白酒,69.2,83.1,73.1,48.5,62.2
21,801982.SI,化妆品,68.7,73.8,41.5,94.6,52.5
22,801993.SI,旅游及景区,68.1,78.5,89.2,31.5,42.6
23,801034.SI,化学制品,68.0,93.1,76.2,29.2,49.2
24,801128.SI,休闲食品,67.9,46.9,69.2,90.8,46.6
25,801086.SI,电子化学品Ⅱ,67.5,97.7,94.6,0.8,56.7
26,801154.SI,医药商业,66.4,63.1,59.2,78.5,47.3
27,801724.SI,专业工程,65.8,80.0,58.5,57.7,55.1
28,801133.SI,饰品,65.2,57.7,64.6,74.6,36.6
29,801124.SI,食品加工,65.1,70.8,53.1,72.3,70.5
30,801151.SI,化学制药,63.0,66.2,43.8,81.5,41.4
31,801132.SI,服装家纺,62.8,60.8,55.4,73.8,64.6
32,801951.SI,煤炭开采,62.8,56.2,90.8,37.7,68.8
33,801971.SI,环境治理,62.4,50.8,47.7,93.1,55.9
34,801742.SI,航空装备Ⅱ,62.4,82.3,76.9,22.3,21.3
35,801039.SI,非金属材料Ⅱ,62.3,96.2,78.5,3.8,67.3
36,801036.SI,塑料,62.1,88.5,86.2,3.1,62.4
37,801712.SI,玻璃玻纤,62.1,95.4,80.8,1.5,67.3
38,801083.SI,元件,60.5,79.2,93.8,0.0,67.8
39,801114.SI,厨卫电器,60.3,58.5,30.8,96.9,31.7
40,801992.SI,航运港口,59.5,66.9,57.7,53.1,49.2
41,801096.SI,商用车,59.3,16.9,79.2,85.4,36.2
42,801155.SI,中药Ⅱ,59.1,65.4,46.2,66.9,49.9
43,801202.SI,贸易Ⅱ,58.8,5.4,80.0,96.2,28.6
44,801055.SI,工业金属,57.0,85.4,70.8,7.7,19.5
45,801179.SI,铁路公路,57.0,53.1,34.6,87.7,78.4
46,801033.SI,化学原料,56.9,83.8,66.2,14.6,38.7
47,801081.SI,半导体,56.7,77.7,82.3,2.3,48.1
48,801142.SI,家居用品,56.4,40.8,44.6,88.5,56.2
49,801191.SI,多元金融,56.0,59.2,31.5,80.8,34.8
50,801713.SI,装修建材,55.8,42.3,81.5,41.5,44.9
51,801722.SI,装修装饰Ⅱ,55.6,3.8,74.6,93.8,18.0
52,801125.SI,白酒Ⅱ,55.4,75.4,16.2,77.7,56.3
