排名,代码,名称,综合得分,价格趋势(35%),宽度趋势(35%),拥挤度趋势(30%),3天前得分
1,801178.SI,物流,93.6,94.6,88.5,98.5,53.8
2,801193.SI,证券Ⅱ,90.5,77.7,98.5,96.2,76.8
3,801881.SI,摩托车及其他,88.5,90.0,79.2,97.7,80.9
4,801111.SI,白色家电,88.3,91.5,96.2,75.4,60.1
5,801014.SI,饲料,82.3,97.7,93.8,50.8,64.7
6,801017.SI,养殖业,78.2,99.2,99.2,29.2,72.8
7,801744.SI,航海装备Ⅱ,78.1,100.0,86.2,43.1,46.7
8,801096.SI,商用车,78.0,57.7,85.4,93.1,36.3
9,801155.SI,中药Ⅱ,77.9,83.1,90.8,56.9,66.9
10,801191.SI,多元金融,77.8,76.9,67.7,90.8,56.6
11,801179.SI,铁路公路,77.5,83.8,76.9,70.8,36.3
12,801784.SI,城商行Ⅱ,76.7,90.8,45.4,96.9,41.9
13,801783.SI,股份制银行Ⅱ,75.6,86.2,60.0,81.5,38.4
14,801154.SI,医药商业,75.2,87.7,82.3,52.3,44.6
15,801132.SI,服装家纺,75.2,80.0,71.5,73.8,63.8
16,801785.SI,农商行Ⅱ,73.8,84.6,53.1,85.4,38.2
17,801194.SI,保险Ⅱ,73.2,80.8,95.4,38.5,45.2
18,801077.SI,工程机械,71.5,96.9,87.7,23.1,55.1
19,801981.SI,个护用品,71.1,75.4,86.9,47.7,59.7
20,801018.SI,动物保健Ⅱ,69.9,98.5,100.0,1.5,59.4
21,801093.SI,汽车零部件,69.4,86.9,68.5,50.0,44.2
22,801151.SI,化学制药,69.2,96.2,96.9,5.4,71.7
23,801152.SI,生物制品,69.2,93.8,94.6,10.8,72.1
24,801153.SI,医疗器械,68.0,62.3,84.6,55.4,65.7
25,801764.SI,游戏Ⅱ,67.9,95.4,90.0,10.0,68.4
26,801129.SI,调味发酵品Ⅱ,66.4,68.5,69.2,60.8,47.9
27,801992.SI,航运港口,65.4,56.2,80.0,59.2,30.0
28,801156.SI,医疗服务,64.0,89.2,93.1,0.8,72.0
29,801133.SI,饰品,63.6,66.9,52.3,73.1,65.8
30,801741.SI,航天装备Ⅱ,63.5,64.6,89.2,32.3,70.0
31,801971.SI,环境治理,62.8,69.2,64.6,53.1,46.1
