排名,代码,名称,综合得分,价格趋势(35%),宽度趋势(35%),拥挤度趋势(30%),3天前得分
1,801193.SI,证券Ⅱ,88.8,91.5,96.2,76.9,44.3
2,801194.SI,保险Ⅱ,85.5,63.1,100.0,94.6,50.7
3,801991.SI,航空机场,83.2,80.0,83.1,86.9,47.9
4,801045.SI,特钢Ⅱ,82.7,79.2,79.2,90.8,38.0
5,801018.SI,动物保健Ⅱ,78.7,78.5,77.7,80.0,53.3
6,801032.SI,化学纤维,72.6,84.6,84.6,44.6,47.9
7,801051.SI,金属新材料,72.5,96.9,93.8,19.2,43.7
8,801054.SI,小金属,70.0,99.2,95.4,6.2,47.9
9,801733.SI,其他电源设备Ⅱ,69.5,86.2,76.9,41.5,29.5
10,801053.SI,贵金属,69.4,85.4,75.4,43.8,27.5
11,801039.SI,非金属材料Ⅱ,69.3,97.7,92.3,9.2,46.3
12,801082.SI,其他电子Ⅱ,69.1,94.6,87.7,17.7,30.2
13,801083.SI,元件,68.9,98.5,98.5,0.0,38.4
14,801783.SI,股份制银行Ⅱ,68.8,49.2,99.2,56.2,93.9
15,801981.SI,个护用品,68.8,58.5,71.5,77.7,39.9
16,801191.SI,多元金融,68.8,73.1,61.5,72.3,33.8
17,801056.SI,能源金属,68.3,89.2,94.6,13.1,35.9
18,801141.SI,包装印刷,68.2,56.2,66.2,84.6,41.1
19,801712.SI,玻璃玻纤,67.8,100.0,93.1,0.8,52.7
20,801086.SI,电子化学品Ⅱ,67.8,95.4,96.9,1.5,68.6
21,801077.SI,工程机械,66.8,47.7,70.0,85.4,40.1
22,801132.SI,服装家纺,66.6,68.5,50.0,83.8,65.0
23,801784.SI,城商行Ⅱ,66.6,45.4,91.5,62.3,82.5
24,801782.SI,国有大型银行Ⅱ,66.3,51.5,97.7,46.9,85.1
25,801963.SI,炼化及贸易,66.0,57.7,56.9,86.2,50.7
26,801971.SI,环境治理,65.9,62.3,55.4,82.3,57.8
27,801129.SI,调味发酵品Ⅱ,65.5,53.8,50.8,96.2,76.4
28,801081.SI,半导体,65.4,92.3,90.0,5.4,38.3
29,801036.SI,塑料,65.3,96.2,88.5,2.3,42.3
30,801074.SI,专用设备,65.0,82.3,64.6,45.4,45.5
31,801034.SI,化学制品,64.9,83.1,78.5,27.7,54.3
32,801115.SI,照明设备Ⅱ,64.4,93.8,72.3,20.8,47.1
33,801744.SI,航海装备Ⅱ,64.0,76.2,49.2,66.9,49.8
34,801218.SI,专业服务,63.4,88.5,80.0,14.6,45.3
35,801084.SI,光学光电子,63.2,87.7,86.9,6.9,19.4
36,801078.SI,自动化设备,63.1,90.8,85.4,4.6,27.6
37,801724.SI,专业工程,62.9,81.5,73.8,28.5,55.4
38,801102.SI,通信设备,62.8,93.1,83.8,3.1,38.6
39,801055.SI,工业金属,62.5,83.8,86.2,10.0,16.3
40,801153.SI,医疗器械,60.2,40.8,45.4,100.0,57.2
41,801737.SI,电池,60.1,86.9,81.5,3.8,20.7
42,801072.SI,通用设备,59.9,90.0,74.6,7.7,43.3
