排名,代码,名称,综合得分,价格趋势(35%),宽度趋势(35%),拥挤度趋势(30%),3天前得分
1,801783.SI,股份制银行Ⅱ,91.3,92.3,99.2,80.8,86.1
2,801782.SI,国有大型银行Ⅱ,84.4,97.7,100.0,50.8,76.0
3,801785.SI,农商行Ⅱ,83.1,91.5,98.5,55.4,49.7
4,801784.SI,城商行Ⅱ,78.0,96.9,97.7,33.1,54.8
5,801111.SI,白色家电,77.6,96.2,94.6,36.2,52.5
6,801194.SI,保险Ⅱ,75.8,85.4,96.2,40.8,53.8
7,801043.SI,冶钢原料,74.9,86.9,82.3,52.3,62.3
8,801129.SI,调味发酵品Ⅱ,74.7,94.6,89.2,34.6,41.1
9,801721.SI,房屋建设Ⅱ,73.9,78.5,60.0,84.6,68.9
10,801743.SI,地面兵装Ⅱ,73.2,58.5,72.3,91.5,45.9
11,801017.SI,养殖业,71.6,63.1,62.3,92.3,54.7
12,801034.SI,化学制品,71.6,88.5,83.8,37.7,42.0
13,801193.SI,证券Ⅱ,71.4,79.2,75.4,57.7,49.7
14,801951.SI,煤炭开采,71.3,69.2,92.3,49.2,74.1
15,801032.SI,化学纤维,70.8,81.5,80.0,47.7,46.2
16,801051.SI,金属新材料,69.9,93.1,90.8,18.5,61.7
17,801114.SI,厨卫电器,69.8,72.3,53.8,85.4,34.4
18,801086.SI,电子化学品Ⅱ,69.4,100.0,96.9,1.5,32.8
19,801231.SI,综合Ⅱ,69.0,80.0,76.9,46.9,28.0
20,801039.SI,非金属材料Ⅱ,68.4,98.5,91.5,6.2,42.2
21,801054.SI,小金属,68.3,93.8,95.4,6.9,29.1
22,801724.SI,专业工程,68.1,83.8,69.2,48.5,51.6
23,801712.SI,玻璃玻纤,67.8,99.2,93.8,0.8,49.8
24,801155.SI,中药Ⅱ,67.8,71.5,70.8,60.0,51.7
25,801018.SI,动物保健Ⅱ,67.5,76.2,46.9,81.5,42.4
26,801181.SI,房地产开发,67.3,53.8,55.4,96.9,54.9
