排名,代码,名称,综合得分,价格趋势(35%),宽度趋势(35%),拥挤度趋势(30%),3天前得分
1,801112.SI,黑色家电,77.9,62.3,74.6,100.0,35.8
2,801231.SI,综合Ⅱ,77.8,80.0,59.2,96.9,34.6
3,801733.SI,其他电源设备Ⅱ,76.1,90.8,89.2,43.8,49.6
4,801103.SI,IT服务Ⅱ,75.9,76.9,60.8,92.3,40.6
5,801101.SI,计算机设备,73.7,85.4,83.1,49.2,41.0
6,801051.SI,金属新材料,73.0,93.8,97.7,20.0,47.0
7,801744.SI,航海装备Ⅱ,71.9,70.8,56.2,91.5,70.0
8,801039.SI,非金属材料Ⅱ,70.5,98.5,96.2,7.7,38.1
9,801082.SI,其他电子Ⅱ,70.0,96.9,93.8,10.8,38.0
10,801092.SI,汽车服务,69.9,63.1,56.9,93.1,48.8
11,801086.SI,电子化学品Ⅱ,69.6,97.7,100.0,1.5,59.5
12,801083.SI,元件,69.4,99.2,99.2,0.0,50.4
13,801018.SI,动物保健Ⅱ,69.2,71.5,75.4,59.2,81.8
14,801054.SI,小金属,68.9,94.6,96.9,6.2,65.9
15,801081.SI,半导体,68.8,96.2,98.5,2.3,34.7
16,801712.SI,玻璃玻纤,68.6,100.0,95.4,0.8,64.5
17,801971.SI,环境治理,67.8,65.4,58.5,81.5,69.4
18,801074.SI,专用设备,67.6,86.2,79.2,32.3,42.6
19,801131.SI,纺织制造,67.5,55.4,53.1,98.5,63.3
20,801045.SI,特钢Ⅱ,67.4,81.5,85.4,30.0,49.1
21,801193.SI,证券Ⅱ,67.4,74.6,68.5,57.7,78.6
22,801202.SI,贸易Ⅱ,67.4,45.4,66.2,94.6,52.5
23,801102.SI,通信设备,67.0,95.4,90.0,6.9,46.1
24,801115.SI,照明设备Ⅱ,67.0,88.5,87.7,17.7,38.7
25,801078.SI,自动化设备,66.3,92.3,94.6,3.1,33.6
26,801085.SI,消费电子,66.0,89.2,90.8,10.0,32.3
27,801036.SI,塑料,66.0,93.1,91.5,4.6,59.4
28,801037.SI,橡胶,65.8,83.8,73.8,35.4,35.0
29,801056.SI,能源金属,65.8,79.2,92.3,19.2,67.6
30,801084.SI,光学光电子,65.7,91.5,93.1,3.8,32.4
31,801132.SI,服装家纺,65.7,53.1,60.0,86.9,70.5
32,801034.SI,化学制品,65.6,78.5,80.0,33.8,61.6
33,801218.SI,专业服务,65.5,86.9,82.3,20.8,53.8
34,801742.SI,航空装备Ⅱ,65.4,73.8,80.8,37.7,47.0
35,801104.SI,软件开发,65.3,68.5,50.8,78.5,41.7
36,801152.SI,生物制品,64.7,57.7,54.6,84.6,44.9
37,801745.SI,军工电子Ⅱ,64.0,87.7,84.6,12.3,50.0
38,801724.SI,专业工程,63.5,83.1,83.8,16.9,53.4
39,801072.SI,通用设备,63.5,90.0,86.9,5.4,38.7
40,801077.SI,工程机械,63.4,60.8,81.5,45.4,55.2
41,801156.SI,医疗服务,62.2,80.8,73.1,27.7,34.4
42,801737.SI,电池,61.7,82.3,86.2,9.2,35.0
43,801981.SI,个护用品,60.6,42.3,66.9,74.6,78.5
44,801032.SI,化学纤维,60.0,70.0,76.9,28.5,65.1
45,801141.SI,包装印刷,60.0,69.2,69.2,38.5,38.9
46,801151.SI,化学制药,59.4,52.3,51.5,76.9,55.3
47,801055.SI,工业金属,59.1,73.1,88.5,8.5,59.4
48,801741.SI,航天装备Ⅱ,59.0,66.9,78.5,26.9,33.1
49,801142.SI,家居用品,58.2,33.8,55.4,90.0,44.4
50,801093.SI,汽车零部件,57.6,60.0,63.8,47.7,48.7
51,801053.SI,贵金属,57.1,66.2,70.0,31.5,66.3
52,801726.SI,工程咨询服务Ⅱ,57.1,84.6,64.6,16.2,38.0
53,801972.SI,环保设备Ⅱ,56.6,77.7,72.3,13.8,47.2
54,801076.SI,轨交设备Ⅱ,56.4,75.4,65.4,23.8,50.8
55,801111.SI,白色家电,56.0,10.0,76.2,86.2,73.4
56,801765.SI,广告营销,55.7,43.8,31.5,97.7,33.0
57,801992.SI,航运港口,55.7,63.8,53.8,48.5,72.1
58,801713.SI,装修建材,55.3,50.8,71.5,41.5,48.6
59,801206.SI,互联网电商,55.1,46.9,48.5,72.3,59.4
60,801722.SI,装修装饰Ⅱ,54.1,61.5,61.5,36.9,39.2
61,801961.SI,油气开采Ⅱ,54.1,67.7,13.8,85.4,45.9
62,801181.SI,房地产开发,53.6,40.0,35.4,90.8,57.5
63,801769.SI,出版,53.0,40.8,50.0,70.8,53.2
64,801191.SI,多元金融,52.0,49.2,45.4,63.1,83.0
65,801738.SI,电网设备,51.0,76.2,47.7,25.4,24.9
66,801735.SI,光伏设备,50.8,58.5,70.8,18.5,28.1
67,801991.SI,航空机场,49.9,46.2,14.6,95.4,69.6
68,801767.SI,数字媒体,49.6,56.9,44.6,46.9,39.9
69,801881.SI,摩托车及其他,48.9,31.5,52.3,65.4,62.4
70,801153.SI,医疗器械,48.9,47.7,57.7,40.0,49.4
71,801012.SI,农产品加工,48.6,39.2,38.5,71.5,65.0
72,801124.SI,食品加工,48.5,41.5,46.9,58.5,45.6
73,801743.SI,地面兵装Ⅱ,47.5,64.6,46.2,29.2,63.9
74,801711.SI,水泥,46.9,35.4,40.0,68.5,28.9
75,801095.SI,乘用车,46.8,26.2,36.9,82.3,48.7
76,801764.SI,游戏Ⅱ,46.7,34.6,41.5,66.9,33.5
77,801723.SI,基础建设,46.7,54.6,43.8,40.8,54.0
78,801223.SI,通信服务,46.5,59.2,62.3,13.1,15.2
79,801155.SI,中药Ⅱ,46.1,36.2,36.2,69.2,55.4
80,801116.SI,家电零部件Ⅱ,45.8,50.0,67.7,15.4,38.8
81,801982.SI,化妆品,44.9,38.5,24.6,76.2,66.6
82,801133.SI,饰品,44.6,43.1,40.8,50.8,81.2
83,801731.SI,电机Ⅱ,44.5,72.3,33.8,24.6,39.2
84,801203.SI,一般零售,44.5,24.6,26.2,89.2,42.5
85,801044.SI,普钢,43.3,51.5,20.8,60.0,74.1
86,801096.SI,商用车,42.5,6.2,63.1,60.8,67.4
87,801736.SI,风电设备,42.3,53.8,30.8,42.3,22.2
88,801154.SI,医药商业,42.0,37.7,27.7,63.8,62.2
89,801114.SI,厨卫电器,41.2,15.4,33.1,80.8,46.6
90,801784.SI,城商行Ⅱ,41.1,29.2,13.1,87.7,74.5
91,801113.SI,小家电,40.0,20.8,22.3,83.1,26.0
92,801963.SI,炼化及贸易,39.6,10.8,37.7,75.4,63.8
93,801129.SI,调味发酵品Ⅱ,39.4,56.2,25.4,36.2,62.7
94,801995.SI,电视广播Ⅱ,39.4,44.6,10.0,67.7,30.6
95,801033.SI,化学原料,38.5,48.5,42.3,22.3,56.1
96,801016.SI,种植业,36.8,26.9,30.0,56.2,66.3
97,801128.SI,休闲食品,35.9,3.1,19.2,93.8,50.9
98,801783.SI,股份制银行Ⅱ,35.9,30.8,3.8,79.2,82.1
99,801127.SI,饮料乳品,35.9,12.3,23.8,77.7,45.2
100,801163.SI,燃气Ⅱ,35.7,33.1,49.2,23.1,33.0
