排名,代码,名称,综合得分,价格趋势(35%),宽度趋势(35%),拥挤度趋势(30%),3天前得分
1,801193.SI,证券Ⅱ,85.6,90.0,100.0,63.8,91.9
2,801881.SI,摩托车及其他,82.0,68.5,80.0,100.0,65.3
3,801155.SI,中药Ⅱ,78.5,80.8,90.0,62.3,42.0
4,801017.SI,养殖业,78.1,98.5,97.7,31.5,51.2
5,801178.SI,物流,77.0,90.8,70.0,69.2,51.4
6,801741.SI,航天装备Ⅱ,75.5,95.4,81.5,45.4,48.4
7,801764.SI,游戏Ⅱ,75.2,86.9,78.5,57.7,82.8
8,801153.SI,医疗器械,74.0,73.1,83.1,64.6,47.8
9,801981.SI,个护用品,73.8,71.5,66.9,84.6,60.9
10,801218.SI,专业服务,72.6,82.3,72.3,61.5,51.0
11,801132.SI,服装家纺,72.1,89.2,56.2,70.8,47.5
12,801014.SI,饲料,72.0,96.2,93.1,19.2,43.1
13,801018.SI,动物保健Ⅱ,71.8,75.4,95.4,40.0,34.7
14,801111.SI,白色家电,70.9,60.8,91.5,58.5,71.0
15,801151.SI,化学制药,70.0,100.0,96.2,4.6,42.1
16,801206.SI,互联网电商,70.0,84.6,86.9,33.1,39.5
17,801133.SI,饰品,69.8,83.8,71.5,51.5,53.1
18,801037.SI,橡胶,69.8,99.2,88.5,13.8,49.8
19,801152.SI,生物制品,69.7,93.1,96.9,10.8,50.7
20,801012.SI,农产品加工,69.3,69.2,56.9,83.8,21.0
21,801086.SI,电子化学品Ⅱ,68.9,97.7,99.2,0.0,68.6
22,801156.SI,医疗服务,68.0,93.8,94.6,6.9,66.9
23,801983.SI,医疗美容,67.5,14.6,93.8,98.5,53.1
24,801745.SI,军工电子Ⅱ,67.0,87.7,80.8,26.9,62.7
25,801722.SI,装修装饰Ⅱ,65.8,62.3,63.1,73.1,60.4
26,801084.SI,光学光电子,65.4,96.9,89.2,0.8,65.9
27,801726.SI,工程咨询服务Ⅱ,64.9,92.3,46.2,54.6,65.9
28,801131.SI,纺织制造,64.7,81.5,86.2,20.0,36.2
29,801116.SI,家电零部件Ⅱ,64.4,88.5,73.1,26.2,33.7
30,801034.SI,化学制品,63.5,94.6,82.3,5.4,56.9
31,801033.SI,化学原料,62.9,79.2,84.6,18.5,42.7
32,801081.SI,半导体,62.4,77.7,98.5,2.3,69.1
33,801051.SI,金属新材料,62.1,83.1,87.7,7.7,52.1
