排名,代码,名称,综合得分,价格趋势(35%),宽度趋势(35%),拥挤度趋势(30%),3天前得分
1,801074.SI,专用设备,87.2,86.2,79.2,97.7,44.2
2,801218.SI,专业服务,85.5,86.9,82.3,87.7,53.8
3,801101.SI,计算机设备,84.4,85.4,83.1,84.6,46.3
4,801037.SI,橡胶,81.0,83.8,73.8,86.2,39.6
5,801741.SI,航天装备Ⅱ,79.9,66.9,76.9,98.5,33.3
6,801156.SI,医疗服务,79.5,80.8,73.1,85.4,33.9
7,801077.SI,工程机械,79.3,60.8,80.8,99.2,49.9
8,801742.SI,航空装备Ⅱ,78.8,73.8,80.0,83.1,47.2
9,801083.SI,元件,77.1,99.2,99.2,25.4,50.4
10,801081.SI,半导体,76.7,96.2,98.5,28.5,34.3
11,801141.SI,包装印刷,76.6,69.2,68.5,94.6,41.7
12,801726.SI,工程咨询服务Ⅱ,75.5,84.6,64.6,77.7,36.2
13,801112.SI,黑色家电,75.4,62.3,75.4,90.8,34.4
14,801086.SI,电子化学品Ⅱ,74.5,97.7,100.0,17.7,59.5
15,801735.SI,光伏设备,74.1,58.5,70.8,96.2,27.4
16,801039.SI,非金属材料Ⅱ,73.9,98.5,96.2,19.2,38.1
17,801051.SI,金属新材料,73.7,93.8,97.7,22.3,46.4
18,801078.SI,自动化设备,73.7,92.3,94.6,27.7,33.1
19,801738.SI,电网设备,72.7,76.2,48.5,96.9,26.1
20,801712.SI,玻璃玻纤,72.1,100.0,95.4,12.3,64.5
21,801036.SI,塑料,72.0,93.1,91.5,24.6,59.4
22,801116.SI,家电零部件Ⅱ,71.7,50.0,69.2,100.0,37.5
23,801231.SI,综合Ⅱ,71.2,80.0,56.2,78.5,28.1
24,801722.SI,装修装饰Ⅱ,70.2,61.5,63.1,88.5,42.5
25,801084.SI,光学光电子,69.5,91.5,93.1,16.2,32.0
26,801085.SI,消费电子,69.5,89.2,90.8,21.5,32.1
27,801082.SI,其他电子Ⅱ,69.1,96.9,93.8,7.7,37.1
28,801054.SI,小金属,67.7,94.6,96.9,2.3,65.9
29,801115.SI,照明设备Ⅱ,67.7,88.5,87.7,20.0,38.0
30,801103.SI,IT服务Ⅱ,67.1,76.9,60.8,63.1,42.0
31,801093.SI,汽车零部件,67.1,60.0,63.8,79.2,48.5
32,801053.SI,贵金属,67.0,66.2,70.0,64.6,69.3
33,801202.SI,贸易Ⅱ,66.9,45.4,65.4,93.8,46.5
34,801092.SI,汽车服务,66.8,63.1,59.2,80.0,49.5
35,801131.SI,纺织制造,66.3,55.4,52.3,95.4,62.9
36,801072.SI,通用设备,66.3,90.0,86.9,14.6,38.0
37,801971.SI,环境治理,66.2,65.4,57.7,76.9,68.2
38,801132.SI,服装家纺,65.1,53.1,58.5,86.9,70.1
39,801102.SI,通信设备,64.9,95.4,90.0,0.0,45.6
40,801152.SI,生物制品,64.0,57.7,55.4,81.5,44.7
41,801733.SI,其他电源设备Ⅱ,63.2,90.8,89.2,0.8,42.2
42,801056.SI,能源金属,63.0,79.2,92.3,10.0,69.7
43,801724.SI,专业工程,63.0,83.1,83.8,15.4,54.1
44,801018.SI,动物保健Ⅱ,62.9,71.5,74.6,39.2,80.8
45,801034.SI,化学制品,62.9,78.5,81.5,23.1,62.1
46,801193.SI,证券Ⅱ,61.4,74.6,67.7,38.5,76.5
47,801992.SI,航运港口,61.2,63.8,53.8,66.9,77.6
48,801745.SI,军工电子Ⅱ,60.8,87.7,84.6,1.5,48.4
49,801055.SI,工业金属,60.5,73.1,88.5,13.1,59.8
50,801723.SI,基础建设,60.4,54.6,41.5,89.2,55.1
51,801737.SI,电池,60.1,82.3,86.2,3.8,34.6
52,801744.SI,航海装备Ⅱ,59.9,70.8,56.9,50.8,72.3
53,801743.SI,地面兵装Ⅱ,59.6,64.6,46.9,68.5,63.2
54,801045.SI,特钢Ⅱ,59.3,81.5,85.4,3.1,51.9
55,801731.SI,电机Ⅱ,59.3,72.3,34.6,73.1,38.3
56,801033.SI,化学原料,59.2,48.5,42.3,91.5,56.4
57,801142.SI,家居用品,58.6,33.8,54.6,92.3,43.5
58,801032.SI,化学纤维,58.2,70.0,78.5,20.8,69.2
59,801104.SI,软件开发,57.5,68.5,51.5,51.5,44.2
60,801981.SI,个护用品,57.4,42.3,66.9,63.8,77.6
61,801151.SI,化学制药,55.4,52.3,49.2,66.2,55.3
62,801181.SI,房地产开发,54.6,40.0,36.2,93.1,56.6
63,801111.SI,白色家电,54.4,10.0,76.2,80.8,72.3
64,801972.SI,环保设备Ⅱ,53.9,77.7,72.3,4.6,46.7
