排名,代码,名称,综合得分,价格趋势(35%),宽度趋势(35%),拥挤度趋势(30%),3天前得分
1,801218.SI,专业服务,77.2,85.4,77.7,66.9,59.7
2,801193.SI,证券Ⅱ,76.4,94.6,100.0,27.7,83.9
3,801191.SI,多元金融,73.6,71.5,89.2,57.7,47.1
4,801881.SI,摩托车及其他,71.3,51.5,67.7,98.5,41.7
5,801156.SI,医疗服务,70.1,93.8,85.4,24.6,44.3
6,801085.SI,消费电子,70.1,86.9,83.8,34.6,63.6
7,801081.SI,半导体,70.0,97.7,98.5,4.6,67.1
8,801992.SI,航运港口,70.0,83.8,61.5,63.8,58.9
9,801086.SI,电子化学品Ⅱ,69.9,99.2,99.2,1.5,69.2
10,801726.SI,工程咨询服务Ⅱ,69.3,89.2,55.4,62.3,54.6
11,801082.SI,其他电子Ⅱ,68.9,98.5,93.8,5.4,65.8
12,801712.SI,玻璃玻纤,68.8,100.0,94.6,2.3,69.2
13,801051.SI,金属新材料,68.3,93.1,96.2,6.9,67.6
14,801101.SI,计算机设备,68.1,77.7,75.4,48.5,63.4
15,801037.SI,橡胶,67.7,92.3,88.5,14.6,46.1
16,801054.SI,小金属,67.6,96.2,96.9,0.0,64.2
17,801733.SI,其他电源设备Ⅱ,67.1,79.2,76.2,42.3,60.7
18,801039.SI,非金属材料Ⅱ,67.1,96.9,91.5,3.8,72.1
19,801102.SI,通信设备,66.9,95.4,84.6,13.1,68.2
20,801036.SI,塑料,66.6,91.5,92.3,7.7,60.5
21,801131.SI,纺织制造,65.4,80.0,68.5,44.6,36.6
22,801783.SI,股份制银行Ⅱ,65.2,50.8,81.5,63.1,71.7
23,801083.SI,元件,65.1,90.0,95.4,0.8,69.4
24,801764.SI,游戏Ⅱ,65.1,57.7,48.5,93.1,36.4
25,801784.SI,城商行Ⅱ,64.6,53.8,60.8,81.5,77.1
26,801084.SI,光学光电子,64.5,90.8,90.8,3.1,67.6
27,801972.SI,环保设备Ⅱ,63.9,70.0,86.9,30.0,39.6
28,801033.SI,化学原料,63.3,87.7,80.0,15.4,33.8
29,801151.SI,化学制药,63.3,84.6,78.5,20.8,35.6
30,801782.SI,国有大型银行Ⅱ,63.1,70.8,97.7,13.8,31.4
31,801129.SI,调味发酵品Ⅱ,63.0,80.8,56.9,49.2,45.7
32,801076.SI,轨交设备Ⅱ,63.0,68.5,83.1,33.1,48.6
33,801078.SI,自动化设备,62.8,81.5,90.0,9.2,65.2
34,801104.SI,软件开发,62.6,74.6,56.2,56.2,52.6
35,801034.SI,化学制品,62.3,88.5,82.3,8.5,55.9
36,801983.SI,医疗美容,62.2,25.4,70.0,96.2,26.7
37,801072.SI,通用设备,62.1,86.2,80.8,12.3,60.7
38,801745.SI,军工电子Ⅱ,61.8,62.3,70.8,50.8,60.2
39,801737.SI,电池,61.6,75.4,86.2,16.9,62.4
40,801124.SI,食品加工,61.5,63.8,49.2,73.1,40.7
41,801018.SI,动物保健Ⅱ,61.3,82.3,76.9,18.5,50.5
42,801724.SI,专业工程,61.3,67.7,64.6,50.0,63.9
43,801152.SI,生物制品,61.3,76.9,79.2,22.3,33.1
44,801111.SI,白色家电,61.3,38.5,65.4,83.1,41.5
45,801981.SI,个护用品,60.6,56.9,51.5,75.4,60.5
46,801141.SI,包装印刷,60.4,73.8,72.3,30.8,40.5
47,801785.SI,农商行Ⅱ,60.2,49.2,39.2,97.7,57.5
48,801153.SI,医疗器械,59.8,52.3,59.2,69.2,52.8
49,801971.SI,环境治理,59.7,76.2,60.0,40.0,47.1
50,801045.SI,特钢Ⅱ,59.1,83.1,50.8,40.8,76.5
51,801103.SI,IT服务Ⅱ,58.9,66.2,45.4,66.2,51.5
52,801155.SI,中药Ⅱ,57.9,56.2,63.1,53.8,39.3
53,801074.SI,专用设备,57.4,78.5,63.8,25.4,63.2
54,801995.SI,电视广播Ⅱ,57.3,54.6,40.0,80.8,39.4
55,801769.SI,出版,55.9,48.5,30.0,94.6,39.7
56,801032.SI,化学纤维,55.1,61.5,62.3,39.2,64.6
57,801231.SI,综合Ⅱ,54.1,66.9,54.6,38.5,62.0
58,801092.SI,汽车服务,54.1,40.8,38.5,87.7,69.7
59,801206.SI,互联网电商,53.7,58.5,42.3,61.5,56.2
60,801115.SI,照明设备Ⅱ,53.5,45.4,87.7,23.1,66.4
61,801722.SI,装修装饰Ⅱ,53.3,60.8,73.1,21.5,43.6
62,801132.SI,服装家纺,53.3,63.1,43.8,53.1,56.6
63,801743.SI,地面兵装Ⅱ,52.9,72.3,34.6,51.5,64.1
64,801117.SI,其他家电Ⅱ,51.8,11.5,69.2,78.5,47.9
65,801056.SI,能源金属,50.0,53.1,74.6,17.7,71.6
66,801963.SI,炼化及贸易,49.9,36.9,66.9,45.4,48.9
67,801744.SI,航海装备Ⅱ,49.8,46.2,17.7,91.5,80.4
68,801178.SI,物流,49.4,32.3,23.8,99.2,44.3
69,801735.SI,光伏设备,49.4,55.4,46.2,46.2,57.1
70,801154.SI,医药商业,49.4,60.0,52.3,33.8,39.1
71,801179.SI,铁路公路,48.9,47.7,16.2,88.5,35.2
72,801738.SI,电网设备,48.6,73.1,40.8,29.2,48.9
73,801767.SI,数字媒体,48.5,69.2,46.9,26.2,26.7
74,801015.SI,渔业,47.8,46.9,9.2,93.8,48.6
75,801014.SI,饲料,47.1,43.1,20.8,82.3,28.1
76,801961.SI,油气开采Ⅱ,47.0,65.4,6.9,72.3,59.7
77,801038.SI,农化制品,46.9,59.2,43.1,36.9,43.0
78,801731.SI,电机Ⅱ,46.4,30.0,53.8,56.9,52.1
79,801133.SI,饰品,45.8,31.5,30.8,80.0,66.2
80,801711.SI,水泥,45.7,23.8,32.3,86.9,42.3
81,801194.SI,保险Ⅱ,44.8,18.5,93.1,19.2,71.6
82,801142.SI,家居用品,44.0,40.0,50.0,41.5,39.3
83,801077.SI,工程机械,44.0,23.1,71.5,36.2,65.8
84,801163.SI,燃气Ⅱ,43.9,64.6,33.1,32.3,27.2
85,801012.SI,农产品加工,43.1,13.8,41.5,79.2,37.5
86,801096.SI,商用车,42.9,3.1,47.7,83.8,53.6
87,801736.SI,风电设备,42.9,35.4,28.5,68.5,45.8
88,801202.SI,贸易Ⅱ,42.5,30.8,53.1,43.8,46.9
89,801219.SI,酒店餐饮,42.0,24.6,21.5,86.2,43.8
90,801016.SI,种植业,41.7,21.5,18.5,92.3,45.3
91,801112.SI,黑色家电,41.5,41.5,36.9,46.9,65.0
92,801093.SI,汽车零部件,41.4,29.2,37.7,60.0,58.0
93,801223.SI,通信服务,41.0,50.0,58.5,10.0,26.4
94,801181.SI,房地产开发,40.9,44.6,35.4,43.1,38.7
95,801994.SI,教育,40.7,8.5,24.6,96.9,56.9
96,801044.SI,普钢,40.7,37.7,5.4,85.4,53.1
97,801128.SI,休闲食品,40.7,12.3,26.9,90.0,39.8
98,801723.SI,基础建设,40.6,43.8,25.4,54.6,59.7
99,801713.SI,装修建材,39.9,42.3,57.7,16.2,52.6
100,801145.SI,文娱用品,39.7,10.8,26.2,89.2,30.1
101,801114.SI,厨卫电器,39.6,27.7,20.0,76.2,35.1
102,801993.SI,旅游及景区,39.4,34.6,14.6,73.8,25.9
103,801116.SI,家电零部件Ⅱ,39.3,19.2,66.2,31.5,46.6
104,801017.SI,养殖业,38.3,17.7,27.7,74.6,43.8
105,801742.SI,航空装备Ⅱ,37.7,33.1,33.8,47.7,69.0
106,801991.SI,航空机场,35.6,16.2,7.7,90.8,73.7
107,801055.SI,工业金属,35.5,22.3,73.8,6.2,64.6
108,801765.SI,广告营销,35.3,36.2,13.8,59.2,37.8
109,801204.SI,专业连锁Ⅱ,34.3,6.2,6.2,100.0,62.7
110,801127.SI,饮料乳品,34.0,33.8,13.1,58.5,43.8
111,801952.SI,焦炭Ⅱ,33.9,4.6,31.5,70.8,14.4
112,801962.SI,油服工程,33.6,26.9,44.6,28.5,43.5
113,801721.SI,房屋建设Ⅱ,33.3,28.5,0.0,77.7,48.3
114,801113.SI,小家电,31.4,6.9,16.9,76.9,18.9
115,801203.SI,一般零售,31.1,20.8,23.1,52.3,40.8
116,801019.SI,农业综合Ⅱ,30.5,3.8,1.5,95.4,39.3
117,801183.SI,房地产服务,30.2,15.4,15.4,64.6,39.7
118,801125.SI,白酒Ⅱ,29.1,26.2,0.8,65.4,40.2
119,801095.SI,乘用车,28.9,5.4,4.6,84.6,34.5
120,801741.SI,航天装备Ⅱ,28.2,1.5,19.2,70.0,37.5
121,801043.SI,冶钢原料,27.1,7.7,22.3,55.4,50.4
122,801143.SI,造纸,26.6,14.6,29.2,37.7,25.1
123,801982.SI,化妆品,25.8,10.0,11.5,60.8,59.5
124,801766.SI,影视院线,25.3,39.2,10.0,26.9,23.4
125,801126.SI,非白酒,24.1,2.3,8.5,67.7,24.3
126,801053.SI,贵金属,23.6,0.8,36.2,35.4,81.0
127,801011.SI,林业Ⅱ,22.5,0.0,3.1,71.5,34.7
128,801161.SI,电力,14.5,20.0,12.3,10.8,39.9
129,801951.SI,煤炭开采,14.1,9.2,10.8,23.8,28.1
130,801207.SI,旅游零售Ⅱ,12.7,16.9,2.3,20.0,21.7
131,801216.SI,体育Ⅱ,9.4,13.1,3.8,11.5,18.6
