排名,代码,名称,综合得分,价格趋势(35%),宽度趋势(35%),拥挤度趋势(30%),3天前得分
94,801125.SI,白酒Ⅱ,39.9,39.2,24.6,58.5,30.7
95,801128.SI,休闲食品,39.0,18.5,23.8,80.8,40.5
96,801126.SI,非白酒,38.7,12.3,19.2,92.3,19.6
97,801994.SI,教育,38.6,14.6,27.7,79.2,43.1
98,801096.SI,商用车,38.4,10.8,14.6,98.5,55.2
99,801962.SI,油服工程,37.8,5.4,53.8,56.9,29.1
100,801113.SI,小家电,37.0,7.7,25.4,84.6,30.6
101,801993.SI,旅游及景区,36.9,16.2,15.4,86.2,42.8
102,801765.SI,广告营销,36.4,13.1,30.8,70.0,31.6
103,801115.SI,照明设备Ⅱ,36.1,26.9,58.5,20.8,59.7
104,801767.SI,数字媒体,35.8,30.8,16.9,63.8,54.0
105,801183.SI,房地产服务,35.7,20.0,39.2,50.0,32.3
106,801738.SI,电网设备,35.5,36.9,36.9,32.3,54.3
107,801015.SI,渔业,35.1,9.2,10.0,94.6,44.9
108,801114.SI,厨卫电器,34.8,13.8,44.6,47.7,38.8
109,801721.SI,房屋建设Ⅱ,34.4,23.8,17.7,66.2,41.4
110,801154.SI,医药商业,33.0,15.4,21.5,66.9,52.5
111,801044.SI,普钢,32.6,25.4,3.8,74.6,38.4
112,801204.SI,专业连锁Ⅱ,32.5,0.8,16.2,88.5,35.2
113,801982.SI,化妆品,31.7,6.9,31.5,60.8,27.1
114,801207.SI,旅游零售Ⅱ,31.3,51.5,12.3,30.0,14.9
115,801782.SI,国有大型银行Ⅱ,29.6,60.0,0.8,27.7,63.2
116,801016.SI,种植业,29.5,1.5,11.5,83.1,46.7
117,801145.SI,文娱用品,29.3,10.0,7.7,76.9,44.2
118,801203.SI,一般零售,29.1,16.9,20.8,53.1,33.9
119,801223.SI,通信服务,29.1,27.7,41.5,16.2,45.2
120,801995.SI,电视广播Ⅱ,29.0,20.8,0.0,72.3,68.3
121,801095.SI,乘用车,29.0,2.3,10.8,81.5,30.9
122,801219.SI,酒店餐饮,28.9,17.7,1.5,73.8,47.0
123,801952.SI,焦炭Ⅱ,28.7,6.2,9.2,77.7,36.5
124,801055.SI,工业金属,28.6,4.6,64.6,14.6,36.6
125,801766.SI,影视院线,28.3,22.3,26.2,37.7,25.9
126,801163.SI,燃气Ⅱ,26.9,21.5,22.3,38.5,46.6
127,801216.SI,体育Ⅱ,26.3,47.7,3.1,28.5,7.6
128,801951.SI,煤炭开采,26.2,8.5,26.9,46.2,11.1
129,801011.SI,林业Ⅱ,25.6,3.1,5.4,75.4,16.2
130,801053.SI,贵金属,25.3,0.0,6.9,76.2,22.9
131,801161.SI,电力,23.0,38.5,20.0,8.5,23.1
