排名,代码,名称,综合得分,价格趋势(35%),宽度趋势(35%),拥挤度趋势(30%),3天前得分
1,801193.SI,证券Ⅱ,86.1,90.0,100.0,65.4,90.3
2,801881.SI,摩托车及其他,82.3,68.5,80.8,100.0,67.1
3,801155.SI,中药Ⅱ,78.2,80.8,89.2,62.3,42.0
4,801017.SI,养殖业,77.9,98.5,97.7,30.8,51.2
5,801178.SI,物流,77.3,90.8,70.0,70.0,52.5
6,801741.SI,航天装备Ⅱ,75.8,95.4,81.5,46.2,48.4
7,801764.SI,游戏Ⅱ,75.7,86.9,78.5,59.2,82.8
8,801981.SI,个护用品,74.8,71.5,66.9,87.7,60.7
9,801153.SI,医疗器械,73.8,73.1,82.3,64.6,47.8
10,801218.SI,专业服务,72.6,82.3,73.1,60.8,51.0
11,801014.SI,饲料,72.0,96.2,93.1,19.2,43.1
12,801132.SI,服装家纺,71.8,89.2,55.4,70.8,47.5
13,801018.SI,动物保健Ⅱ,71.5,75.4,95.4,39.2,34.7
14,801012.SI,农产品加工,70.9,69.2,56.9,89.2,21.0
15,801111.SI,白色家电,70.4,60.8,90.8,57.7,70.5
16,801151.SI,化学制药,70.0,100.0,96.2,4.6,42.1
17,801133.SI,饰品,69.6,83.8,71.5,50.8,54.0
18,801152.SI,生物制品,69.5,93.1,96.9,10.0,50.7
19,801037.SI,橡胶,69.4,99.2,88.5,12.3,49.8
20,801206.SI,互联网电商,69.2,84.6,85.4,32.3,39.5
21,801086.SI,电子化学品Ⅱ,68.9,97.7,99.2,0.0,68.6
22,801156.SI,医疗服务,67.8,93.8,94.6,6.2,66.9
23,801983.SI,医疗美容,67.5,14.6,93.8,98.5,53.1
24,801722.SI,装修装饰Ⅱ,66.8,62.3,65.4,73.8,60.6
25,801745.SI,军工电子Ⅱ,66.1,87.7,80.0,24.6,62.5
26,801084.SI,光学光电子,65.7,96.9,90.0,0.8,65.9
27,801131.SI,纺织制造,65.2,81.5,86.9,20.8,36.4
28,801726.SI,工程咨询服务Ⅱ,64.1,92.3,45.4,53.1,65.9
29,801034.SI,化学制品,63.8,94.6,83.1,5.4,56.9
30,801116.SI,家电零部件Ⅱ,63.4,88.5,72.3,23.8,33.4
31,801033.SI,化学原料,62.9,79.2,84.6,18.5,42.7
32,801081.SI,半导体,62.4,77.7,98.5,2.3,69.1
33,801051.SI,金属新材料,62.1,83.1,87.7,7.7,52.1
34,801019.SI,农业综合Ⅱ,61.1,5.4,86.2,96.9,68.3
35,801766.SI,影视院线,60.8,80.0,51.5,49.2,34.8
36,801982.SI,化妆品,60.0,86.2,70.8,16.9,31.3
37,801191.SI,多元金融,59.7,33.1,61.5,88.5,38.5
38,801231.SI,综合Ⅱ,58.6,91.5,38.5,43.8,30.4
39,801077.SI,工程机械,58.3,52.3,79.2,40.8,39.3
40,801142.SI,家居用品,58.3,72.3,64.6,34.6,47.2
41,801112.SI,黑色家电,58.1,74.6,76.2,17.7,43.6
42,801124.SI,食品加工,58.1,46.9,39.2,93.1,44.0
43,801044.SI,普钢,57.1,42.3,52.3,80.0,34.5
44,801054.SI,小金属,56.9,67.7,92.3,3.1,63.8
45,801072.SI,通用设备,56.7,78.5,77.7,6.9,52.2
46,801043.SI,冶钢原料,56.2,70.0,42.3,56.2,36.0
47,801994.SI,教育,56.0,61.5,20.8,90.8,64.5
48,801129.SI,调味发酵品Ⅱ,55.8,43.8,57.7,67.7,61.9
49,801194.SI,保险Ⅱ,55.5,50.0,91.5,20.0,65.9
50,801163.SI,燃气Ⅱ,55.0,76.2,30.8,58.5,34.7
51,801143.SI,造纸,54.6,66.2,50.8,45.4,45.3
52,801769.SI,出版,54.6,55.4,21.5,92.3,42.2
53,801113.SI,小家电,54.4,65.4,25.4,75.4,46.4
54,801103.SI,IT服务Ⅱ,53.9,54.6,40.8,68.5,42.2
55,801744.SI,航海装备Ⅱ,53.8,46.2,36.2,83.1,37.8
56,801743.SI,地面兵装Ⅱ,53.1,60.0,47.7,51.5,33.0
57,801731.SI,电机Ⅱ,53.0,73.8,54.6,26.9,37.0
58,801712.SI,玻璃玻纤,52.5,76.9,63.8,10.8,71.3
59,801045.SI,特钢Ⅱ,52.0,57.7,49.2,48.5,58.8
60,801993.SI,旅游及景区,51.6,53.1,13.8,93.8,49.2
61,801093.SI,汽车零部件,51.1,56.9,43.1,53.8,36.3
62,801961.SI,油气开采Ⅱ,51.0,59.2,1.5,99.2,74.7
63,801128.SI,休闲食品,50.5,58.5,19.2,77.7,62.8
64,801154.SI,医药商业,50.4,64.6,24.6,63.8,39.7
65,801076.SI,轨交设备Ⅱ,50.0,63.1,60.0,23.1,55.5
66,801971.SI,环境治理,49.9,53.8,34.6,63.1,36.3
67,801104.SI,软件开发,49.7,50.8,33.8,66.9,47.3
68,801032.SI,化学纤维,49.3,44.6,73.8,26.2,42.1
69,801713.SI,装修建材,49.1,36.9,58.5,52.3,35.7
70,801742.SI,航空装备Ⅱ,48.6,29.2,46.9,73.1,39.9
71,801114.SI,厨卫电器,48.2,63.8,41.5,37.7,39.9
72,801223.SI,通信服务,48.0,70.8,53.1,15.4,20.1
73,801015.SI,渔业,48.0,56.2,8.5,84.6,55.9
74,801096.SI,商用车,47.3,16.2,44.6,86.9,29.2
75,801141.SI,包装印刷,47.3,30.8,66.2,44.6,45.0
76,801101.SI,计算机设备,47.0,37.7,43.8,61.5,71.0
77,801011.SI,林业Ⅱ,46.6,0.8,50.0,96.2,23.5
78,801736.SI,风电设备,46.3,43.1,46.2,50.0,38.9
79,801963.SI,炼化及贸易,45.8,36.2,53.8,47.7,47.0
80,801765.SI,广告营销,45.2,85.4,30.0,16.2,32.4
81,801145.SI,文娱用品,45.0,40.0,11.5,90.0,45.0
82,801181.SI,房地产开发,44.9,49.2,31.5,55.4,41.0
83,801092.SI,汽车服务,44.8,16.9,62.3,56.9,27.6
84,801972.SI,环保设备Ⅱ,44.6,35.4,67.7,28.5,53.4
85,801711.SI,水泥,43.6,22.3,23.8,91.5,73.3
86,801203.SI,一般零售,43.1,66.9,20.0,42.3,43.8
87,801183.SI,房地产服务,43.0,39.2,32.3,60.0,42.8
88,801074.SI,专用设备,42.9,40.8,56.2,30.0,45.6
89,801204.SI,专业连锁Ⅱ,42.8,25.4,23.1,86.2,33.6
90,801126.SI,非白酒,42.7,51.5,9.2,71.5,56.4
91,801095.SI,乘用车,42.7,41.5,18.5,72.3,32.4
92,801737.SI,电池,41.5,21.5,75.4,25.4,27.6
93,801179.SI,铁路公路,41.1,31.5,15.4,82.3,64.0
94,801992.SI,航运港口,40.8,7.7,36.9,83.8,45.3
95,801127.SI,饮料乳品,40.6,47.7,35.4,38.5,63.5
96,801038.SI,农化制品,40.6,48.5,33.1,40.0,69.2
97,801724.SI,专业工程,40.4,28.5,68.5,21.5,69.9
98,801784.SI,城商行Ⅱ,40.2,45.4,2.3,78.5,66.6
99,801723.SI,基础建设,39.5,26.9,29.2,66.2,37.6
100,801056.SI,能源金属,39.0,13.8,60.8,43.1,40.2
101,801125.SI,白酒Ⅱ,39.0,33.8,12.3,76.2,53.2
102,801991.SI,航空机场,38.5,19.2,26.9,74.6,73.5
103,801016.SI,种植业,38.5,20.0,16.9,85.4,38.2
104,801783.SI,股份制银行Ⅱ,38.3,38.5,3.1,79.2,53.9
105,801785.SI,农商行Ⅱ,37.7,23.1,0.8,97.7,69.4
106,801995.SI,电视广播Ⅱ,36.7,12.3,10.8,95.4,52.0
107,801219.SI,酒店餐饮,36.5,32.3,6.2,76.9,57.1
108,801085.SI,消费电子,36.1,4.6,63.1,41.5,54.7
109,801962.SI,油服工程,36.1,17.7,26.2,69.2,46.7
110,801721.SI,房屋建设Ⅱ,36.0,27.7,5.4,81.5,52.7
111,801036.SI,塑料,35.6,23.8,74.6,3.8,50.8
112,801117.SI,其他家电Ⅱ,34.3,6.9,10.0,94.6,62.7
113,801078.SI,自动化设备,34.0,13.1,76.9,8.5,63.0
114,801735.SI,光伏设备,33.9,9.2,59.2,33.1,70.2
115,801202.SI,贸易Ⅱ,32.9,26.2,27.7,46.9,36.6
116,801952.SI,焦炭Ⅱ,31.2,15.4,4.6,80.8,49.8
117,801082.SI,其他电子Ⅱ,31.0,11.5,69.2,9.2,66.6
118,801083.SI,元件,30.6,2.3,83.8,1.5,67.3
119,801951.SI,煤炭开采,27.8,34.6,13.1,36.9,53.8
120,801055.SI,工业金属,26.8,10.0,37.7,33.8,31.7
121,801115.SI,照明设备Ⅱ,26.6,3.8,48.5,27.7,59.1
122,801733.SI,其他电源设备Ⅱ,23.7,3.1,17.7,54.6,62.1
123,801102.SI,通信设备,23.4,0.0,40.0,31.5,63.0
124,801738.SI,电网设备,23.0,6.2,28.5,36.2,39.0
125,801053.SI,贵金属,18.7,24.6,16.2,14.6,54.6
126,801782.SI,国有大型银行Ⅱ,18.4,18.5,3.8,35.4,53.4
127,801767.SI,数字媒体,17.1,30.0,7.7,13.1,35.6
128,801161.SI,电力,15.8,20.8,14.6,11.5,34.3
129,801207.SI,旅游零售Ⅱ,12.5,10.8,0.0,29.2,39.5
130,801039.SI,非金属材料Ⅱ,12.5,1.5,22.3,13.8,69.7
131,801216.SI,体育Ⅱ,12.1,8.5,6.9,22.3,49.1
