排名,代码,名称,综合得分,价格趋势(35%),宽度趋势(35%),拥挤度趋势(30%),3天前得分
1,801178.SI,物流,88.8,93.8,90.8,80.8,41.7
2,801193.SI,证券Ⅱ,85.3,83.1,99.2,71.5,67.0
3,801881.SI,摩托车及其他,83.9,94.6,77.7,78.5,74.2
4,801992.SI,航运港口,80.8,70.8,86.9,85.4,24.5
5,801155.SI,中药Ⅱ,80.3,90.0,95.4,51.5,46.9
6,801132.SI,服装家纺,79.2,86.2,71.5,80.0,41.8
7,801154.SI,医药商业,79.1,88.5,90.0,55.4,34.0
8,801744.SI,航海装备Ⅱ,78.8,99.2,92.3,39.2,49.5
9,801785.SI,农商行Ⅱ,78.7,76.9,65.4,96.2,28.6
10,801981.SI,个护用品,78.7,72.3,80.8,83.8,55.6
11,801014.SI,饲料,78.0,95.4,93.1,40.0,74.0
12,801128.SI,休闲食品,77.8,80.8,67.7,86.2,43.9
13,801153.SI,医疗器械,75.2,74.6,91.5,56.9,55.9
14,801124.SI,食品加工,75.1,67.7,82.3,75.4,39.6
15,801764.SI,游戏Ⅱ,74.2,62.3,79.2,82.3,71.3
16,801096.SI,商用车,73.6,63.1,84.6,73.1,32.5
17,801017.SI,养殖业,73.1,98.5,98.5,13.8,46.6
18,801129.SI,调味发酵品Ⅱ,72.7,70.0,76.9,70.8,30.4
19,801111.SI,白色家电,72.1,84.6,88.5,38.5,64.3
20,801018.SI,动物保健Ⅱ,71.3,97.7,96.9,10.8,41.8
21,801133.SI,饰品,71.2,85.4,78.5,46.2,55.1
22,801012.SI,农产品加工,70.7,56.9,60.0,99.2,47.3
23,801219.SI,酒店餐饮,70.3,68.5,49.2,96.9,39.1
24,801152.SI,生物制品,69.7,96.9,97.7,5.4,62.6
25,801983.SI,医疗美容,69.5,20.8,100.0,90.8,34.4
26,801151.SI,化学制药,68.9,100.0,96.2,0.8,59.6
27,801191.SI,多元金融,68.8,58.5,56.2,95.4,46.6
28,801179.SI,铁路公路,68.1,73.1,61.5,70.0,35.6
29,801126.SI,非白酒,67.9,71.5,45.4,90.0,39.0
30,801015.SI,渔业,67.8,66.2,47.7,93.1,41.6
31,801206.SI,互联网电商,66.7,41.5,73.1,88.5,67.3
32,801993.SI,旅游及景区,66.6,59.2,63.1,79.2,45.2
33,801156.SI,医疗服务,66.6,92.3,94.6,3.8,65.0
34,801784.SI,城商行Ⅱ,65.0,80.0,39.2,77.7,40.1
35,801163.SI,燃气Ⅱ,64.5,73.8,57.7,61.5,44.6
36,801116.SI,家电零部件Ⅱ,64.0,87.7,85.4,11.5,54.6
37,801093.SI,汽车零部件,63.7,90.8,62.3,33.8,46.4
38,801131.SI,纺织制造,63.4,82.3,83.8,17.7,39.3
39,801963.SI,炼化及贸易,63.3,89.2,64.6,31.5,42.0
40,801077.SI,工程机械,63.3,86.9,76.2,20.8,42.0
41,801731.SI,电机Ⅱ,62.6,93.1,74.6,13.1,45.9
42,801045.SI,特钢Ⅱ,62.6,54.6,53.1,83.1,54.7
43,801982.SI,化妆品,62.1,79.2,70.0,33.1,51.5
44,801194.SI,保险Ⅱ,62.0,66.9,89.2,24.6,56.8
45,801143.SI,造纸,61.5,78.5,81.5,18.5,42.4
46,801142.SI,家居用品,61.4,60.8,69.2,53.1,47.4
47,801741.SI,航天装备Ⅱ,61.1,77.7,86.2,12.3,70.7
48,801038.SI,农化制品,60.5,52.3,68.5,60.8,31.9
49,801113.SI,小家电,60.3,76.2,40.8,64.6,56.3
50,801994.SI,教育,60.2,65.4,50.0,66.2,49.4
51,801053.SI,贵金属,60.0,96.2,73.8,1.5,30.7
52,801951.SI,煤炭开采,59.6,91.5,48.5,35.4,34.7
53,801127.SI,饮料乳品,59.5,69.2,41.5,69.2,39.7
54,801769.SI,出版,59.4,42.3,43.1,98.5,33.1
55,801044.SI,普钢,58.9,38.5,55.4,86.9,36.8
56,801114.SI,厨卫电器,58.3,64.6,72.3,34.6,52.7
57,801019.SI,农业综合Ⅱ,57.6,5.4,80.0,92.3,58.0
58,801711.SI,水泥,54.7,56.2,36.9,73.8,45.2
59,801092.SI,汽车服务,54.0,26.2,66.2,72.3,36.2
