排名,代码,名称,综合得分,价格趋势(35%),宽度趋势(35%),拥挤度趋势(30%),3天前得分
1,801112.SI,黑色家电,77.7,62.3,74.6,99.2,32.3
2,801231.SI,综合Ⅱ,76.5,80.0,56.2,96.2,29.5
3,801103.SI,IT服务Ⅱ,75.9,76.9,60.8,92.3,40.6
4,801051.SI,金属新材料,73.0,93.8,97.7,20.0,47.0
5,801733.SI,其他电源设备Ⅱ,72.5,90.8,89.2,31.5,45.5
6,801744.SI,航海装备Ⅱ,72.1,70.8,56.9,91.5,70.0
7,801045.SI,特钢Ⅱ,71.8,81.5,85.4,44.6,50.7
8,801074.SI,专用设备,71.8,86.2,79.2,46.2,44.0
9,801092.SI,汽车服务,71.0,63.1,60.0,93.1,48.8
10,801039.SI,非金属材料Ⅱ,70.2,98.5,96.2,6.9,38.1
11,801101.SI,计算机设备,70.0,85.4,82.3,37.7,41.0
12,801082.SI,其他电子Ⅱ,70.0,96.9,93.8,10.8,38.0
13,801086.SI,电子化学品Ⅱ,69.6,97.7,100.0,1.5,59.5
14,801083.SI,元件,69.4,99.2,99.2,0.0,50.4
15,801018.SI,动物保健Ⅱ,69.2,71.5,76.2,58.5,82.1
16,801054.SI,小金属,68.9,94.6,96.9,6.2,65.9
17,801034.SI,化学制品,68.9,78.5,81.5,43.1,61.6
18,801081.SI,半导体,68.8,96.2,98.5,2.3,34.7
19,801712.SI,玻璃玻纤,68.6,100.0,95.4,0.8,64.5
20,801971.SI,环境治理,68.3,65.4,59.2,82.3,69.4
21,801037.SI,橡胶,67.8,83.8,73.8,42.3,35.4
22,801102.SI,通信设备,67.5,95.4,90.8,7.7,46.1
23,801202.SI,贸易Ⅱ,67.4,45.4,66.2,94.6,53.5
24,801131.SI,纺织制造,67.2,55.4,52.3,98.5,63.3
25,801115.SI,照明设备Ⅱ,67.2,88.5,87.7,18.5,38.7
26,801193.SI,证券Ⅱ,67.1,74.6,67.7,57.7,76.1
27,801078.SI,自动化设备,66.3,92.3,94.6,3.1,33.6
28,801742.SI,航空装备Ⅱ,66.1,73.8,80.8,40.0,47.0
29,801036.SI,塑料,66.0,93.1,91.5,4.6,59.4
30,801056.SI,能源金属,65.8,79.2,92.3,19.2,67.6
31,801085.SI,消费电子,65.7,89.2,90.0,10.0,32.3
32,801084.SI,光学光电子,65.7,91.5,93.1,3.8,32.4
33,801218.SI,专业服务,65.7,86.9,83.1,20.8,53.8
34,801104.SI,软件开发,65.5,68.5,51.5,78.5,44.9
35,801152.SI,生物制品,65.2,57.7,55.4,85.4,44.9
36,801132.SI,服装家纺,65.1,53.1,58.5,86.9,70.5
37,801745.SI,军工电子Ⅱ,64.0,87.7,84.6,12.3,50.0
38,801072.SI,通用设备,63.5,90.0,86.9,5.4,38.7
39,801724.SI,专业工程,63.5,83.1,83.8,16.9,53.9
40,801156.SI,医疗服务,61.9,80.8,72.3,27.7,37.1
41,801737.SI,电池,61.7,82.3,86.2,9.2,35.0
42,801032.SI,化学纤维,60.7,70.0,76.9,30.8,66.0
43,801981.SI,个护用品,60.6,42.3,66.9,74.6,78.5
44,801141.SI,包装印刷,60.0,69.2,69.2,38.5,38.2
45,801077.SI,工程机械,59.4,60.8,80.0,33.8,52.5
46,801055.SI,工业金属,59.1,73.1,88.5,8.5,59.4
47,801741.SI,航天装备Ⅱ,58.7,66.9,77.7,26.9,32.8
48,801151.SI,化学制药,58.1,52.3,49.2,75.4,55.1
49,801142.SI,家居用品,57.9,33.8,54.6,90.0,44.4
50,801053.SI,贵金属,57.6,66.2,70.0,33.1,66.3
51,801726.SI,工程咨询服务Ⅱ,57.1,84.6,64.6,16.2,38.0
52,801093.SI,汽车零部件,57.1,60.0,62.3,47.7,48.0
53,801972.SI,环保设备Ⅱ,56.9,77.7,73.1,13.8,47.2
54,801076.SI,轨交设备Ⅱ,56.2,75.4,65.4,23.1,50.8
55,801111.SI,白色家电,55.8,10.0,75.4,86.2,73.2
56,801765.SI,广告营销,55.7,43.8,31.5,97.7,33.0
57,801992.SI,航运港口,55.2,63.8,53.8,46.9,71.6
58,801722.SI,装修装饰Ⅱ,54.8,61.5,61.5,39.2,39.0
59,801206.SI,互联网电商,54.5,46.9,46.9,72.3,59.4
60,801181.SI,房地产开发,53.6,40.0,35.4,90.8,57.5
61,801769.SI,出版,53.3,40.8,50.8,70.8,53.2
62,801961.SI,油气开采Ⅱ,52.0,67.7,8.5,84.6,43.7
63,801713.SI,装修建材,51.6,50.8,70.8,30.0,46.9
64,801738.SI,电网设备,51.0,76.2,47.7,25.4,24.9
65,801191.SI,多元金融,51.0,49.2,42.3,63.1,83.0
66,801735.SI,光伏设备,50.8,58.5,71.5,17.7,28.1
67,801881.SI,摩托车及其他,49.5,31.5,53.1,66.2,62.4
68,801124.SI,食品加工,49.3,41.5,48.5,59.2,45.6
69,801991.SI,航空机场,49.1,46.2,12.3,95.4,69.6
70,801012.SI,农产品加工,48.6,39.2,38.5,71.5,65.0
71,801723.SI,基础建设,48.1,54.6,43.8,45.4,54.0
72,801764.SI,游戏Ⅱ,47.8,34.6,44.6,66.9,33.5
73,801743.SI,地面兵装Ⅱ,47.5,64.6,46.2,29.2,64.4
74,801153.SI,医疗器械,47.5,47.7,57.7,35.4,49.6
75,801711.SI,水泥,47.4,35.4,40.0,70.0,28.9
76,801223.SI,通信服务,46.7,59.2,63.1,13.1,15.2
77,801095.SI,乘用车,46.5,26.2,36.9,81.5,48.7
78,801116.SI,家电零部件Ⅱ,46.1,50.0,68.5,15.4,38.8
79,801155.SI,中药Ⅱ,46.1,36.2,36.2,69.2,55.4
80,801982.SI,化妆品,45.4,38.5,25.4,76.9,66.4
81,801767.SI,数字媒体,45.3,56.9,41.5,36.2,38.0
82,801133.SI,饰品,44.6,43.1,40.8,50.8,81.4
83,801203.SI,一般零售,44.5,24.6,26.2,89.2,39.8
84,801731.SI,电机Ⅱ,44.5,72.3,33.8,24.6,39.7
85,801044.SI,普钢,43.3,51.5,20.8,60.0,74.1
86,801736.SI,风电设备,43.3,53.8,32.3,43.8,21.7
87,801154.SI,医药商业,42.8,37.7,29.2,64.6,62.2
88,801096.SI,商用车,42.7,6.2,63.8,60.8,67.4
89,801114.SI,厨卫电器,41.0,15.4,33.1,80.0,46.6
90,801995.SI,电视广播Ⅱ,41.0,44.6,14.6,67.7,31.4
91,801113.SI,小家电,40.2,20.8,22.3,83.8,28.8
92,801963.SI,炼化及贸易,39.8,10.8,37.7,76.2,64.3
93,801033.SI,化学原料,39.6,48.5,45.4,22.3,56.1
94,801129.SI,调味发酵品Ⅱ,38.4,56.2,23.8,34.6,62.0
95,801784.SI,城商行Ⅱ,37.6,29.2,3.1,87.7,72.2
96,801019.SI,农业综合Ⅱ,37.3,5.4,15.4,100.0,28.5
97,801016.SI,种植业,36.8,26.9,30.0,56.2,66.3
98,801783.SI,股份制银行Ⅱ,36.4,30.8,5.4,79.2,81.9
99,801127.SI,饮料乳品,36.2,12.3,24.6,77.7,45.2
100,801163.SI,燃气Ⅱ,36.2,33.1,50.0,23.8,33.2
101,801128.SI,休闲食品,35.9,3.1,19.2,93.8,51.1
102,801117.SI,其他家电Ⅱ,35.9,11.5,78.5,14.6,31.2
103,801962.SI,油服工程,35.9,23.8,43.1,41.5,25.0
104,801143.SI,造纸,34.9,8.5,20.0,83.1,61.0
105,801994.SI,教育,34.8,16.2,39.2,51.5,45.8
106,801145.SI,文娱用品,34.5,7.7,7.7,96.9,50.0
107,801179.SI,铁路公路,34.3,32.3,16.9,56.9,48.3
108,801993.SI,旅游及景区,33.7,19.2,18.5,68.5,76.0
109,801017.SI,养殖业,33.4,13.1,27.7,63.8,62.2
110,801178.SI,物流,32.3,18.5,26.9,54.6,49.7
111,801721.SI,房屋建设Ⅱ,31.9,36.9,1.5,61.5,43.5
112,801011.SI,林业Ⅱ,31.9,1.5,13.8,88.5,27.5
113,801983.SI,医疗美容,31.2,28.5,13.1,55.4,30.3
114,801766.SI,影视院线,31.0,23.1,2.3,73.8,23.0
115,801183.SI,房地产服务,30.9,3.8,28.5,65.4,45.8
116,801125.SI,白酒Ⅱ,30.5,14.6,10.0,73.1,41.8
117,801038.SI,农化制品,30.2,27.7,30.8,32.3,63.6
118,801014.SI,饲料,30.0,9.2,23.1,62.3,44.3
119,801043.SI,冶钢原料,29.3,6.9,34.6,49.2,72.9
120,801952.SI,焦炭Ⅱ,28.0,0.0,10.8,80.8,56.1
121,801785.SI,农商行Ⅱ,27.7,20.0,16.2,50.0,74.5
122,801204.SI,专业连锁Ⅱ,26.6,25.4,4.6,53.8,57.2
123,801219.SI,酒店餐饮,25.9,21.5,6.9,53.1,47.7
124,801782.SI,国有大型银行Ⅱ,23.7,30.0,6.2,36.9,66.8
125,801015.SI,渔业,21.8,13.8,3.8,52.3,33.1
126,801951.SI,煤炭开采,21.5,2.3,17.7,48.5,42.2
127,801161.SI,电力,16.9,16.9,21.5,11.5,41.7
128,801126.SI,非白酒,16.5,0.8,11.5,40.8,40.6
129,801216.SI,体育Ⅱ,15.0,17.7,0.8,28.5,21.4
130,801207.SI,旅游零售Ⅱ,14.3,22.3,0.0,21.5,39.7
131,801194.SI,保险Ⅱ,12.7,4.6,9.2,26.2,78.9
