代码,名称,一级行业,成份数,日期,收盘价,涨跌幅(%),3日涨跌(%),5日涨跌(%),10日涨跌(%),20日涨跌(%),成交量(亿手),成交额(亿元)
801712.SI,玻璃玻纤,建筑材料,16,2026-06-16,26424.59,8.63,18.83,20.5,22.27,35.14,14.86,367.31
801733.SI,其他电源设备Ⅱ,电力设备,30,2026-06-16,48218.8,4.3,11.08,1.79,1.13,-2.48,7.4,264.66
801083.SI,元件,电子,58,2026-06-16,28149.17,4.04,13.26,8.14,12.64,29.98,29.36,2062.68
801051.SI,金属新材料,有色金属,32,2026-06-16,12173.86,4.01,9.22,8.72,14.4,15.22,11.19,272.46
801054.SI,小金属,有色金属,26,2026-06-16,46317.1,3.82,13.14,16.9,17.01,18.85,19.91,973.49
801036.SI,塑料,基础化工,73,2026-06-16,6190.59,3.72,9.3,9.43,13.29,10.22,19.02,438.19
801084.SI,光学光电子,电子,96,2026-06-16,2165.35,3.71,7.1,-0.24,7.29,8.48,81.22,938.38
801039.SI,非金属材料Ⅱ,基础化工,7,2026-06-16,8943.24,3.38,10.6,12.81,13.62,22.77,1.0,77.84
801082.SI,其他电子Ⅱ,电子,33,2026-06-16,20844.85,3.35,11.84,9.11,8.02,4.03,8.29,302.15
801078.SI,自动化设备,机械设备,79,2026-06-16,25686.03,3.2,8.22,2.62,6.52,3.45,14.9,781.59
801737.SI,电池,电力设备,97,2026-06-16,27168.17,3.17,8.98,5.6,-0.94,-1.32,34.29,1407.59
801086.SI,电子化学品Ⅱ,电子,34,2026-06-16,14052.56,2.89,4.49,10.05,18.37,12.09,13.73,644.05
801102.SI,通信设备,通信,85,2026-06-16,12783.36,2.81,8.91,3.26,7.61,18.52,28.8,2485.02
801037.SI,橡胶,基础化工,17,2026-06-16,5208.28,2.63,2.49,3.54,3.95,-6.36,2.26,40.77
801735.SI,光伏设备,电力设备,64,2026-06-16,6734.96,2.18,3.45,1.98,-3.4,-9.26,22.04,548.06
801112.SI,黑色家电,家用电器,10,2026-06-16,2158.61,2.12,4.53,1.73,-1.29,-9.69,3.57,41.13
801738.SI,电网设备,电力设备,125,2026-06-16,6346.66,2.1,6.82,2.26,-5.02,-10.32,30.99,588.1
801722.SI,装修装饰Ⅱ,建筑装饰,22,2026-06-16,4375.01,1.92,2.79,0.56,-6.91,-14.73,4.95,31.53
801115.SI,照明设备Ⅱ,家用电器,12,2026-06-16,5552.23,1.9,8.58,5.47,8.58,11.41,1.55,23.09
801072.SI,通用设备,机械设备,219,2026-06-16,9237.02,1.74,7.37,2.8,7.01,0.84,38.46,950.7
801101.SI,计算机设备,计算机,84,2026-06-16,2922.6,1.63,5.66,2.69,-0.77,-12.52,12.26,319.14
801731.SI,电机Ⅱ,电力设备,26,2026-06-16,14534.14,1.62,4.68,-2.03,-2.93,-11.74,5.12,92.54
801074.SI,专用设备,机械设备,178,2026-06-16,13598.25,1.52,5.64,2.17,2.93,-1.43,22.71,558.91
801081.SI,半导体,电子,175,2026-06-16,10975.12,1.45,6.33,7.19,8.73,5.22,42.92,3923.56
