代码,名称,一级行业,成份数,日期,收盘价,涨跌幅(%),3日涨跌(%),5日涨跌(%),10日涨跌(%),20日涨跌(%),成交量(亿手),成交额(亿元)
801712.SI,玻璃玻纤,建筑材料,16,2026-06-15,24325.08,9.82,12.92,20.22,14.47,24.99,12.59,289.46
801083.SI,元件,电子,58,2026-06-15,27057.21,8.97,8.44,11.51,14.37,27.51,25.67,1697.63
801039.SI,非金属材料Ⅱ,基础化工,7,2026-06-15,8650.65,7.79,7.85,14.16,12.38,18.42,1.08,76.53
801082.SI,其他电子Ⅱ,电子,33,2026-06-15,20169.95,7.53,7.89,11.88,7.27,2.06,9.34,335.59
801102.SI,通信设备,通信,85,2026-06-15,12434.48,7.04,3.72,5.86,11.46,14.22,26.44,2411.07
801086.SI,电子化学品Ⅱ,电子,34,2026-06-15,13658.44,6.76,6.82,15.8,18.22,12.1,13.52,621.5
801054.SI,小金属,有色金属,26,2026-06-15,44611.51,6.13,14.27,17.02,16.71,10.63,18.68,859.03
801081.SI,半导体,电子,174,2026-06-15,10817.84,6.08,6.35,11.48,9.15,7.01,43.24,3993.35
801036.SI,塑料,基础化工,73,2026-06-15,5968.84,5.8,4.31,11.52,10.94,7.54,16.81,398.7
801085.SI,消费电子,电子,90,2026-06-15,11778.5,5.77,4.5,3.52,-1.8,-3.93,27.37,1056.73
801078.SI,自动化设备,机械设备,79,2026-06-15,24888.75,5.73,2.77,1.82,6.65,1.82,13.73,717.1
801084.SI,光学光电子,电子,95,2026-06-15,2087.94,5.58,1.03,-0.53,4.83,6.18,77.41,866.25
801115.SI,照明设备Ⅱ,家用电器,12,2026-06-15,5448.77,5.55,6.89,6.87,8.39,10.96,1.3,23.26
801733.SI,其他电源设备Ⅱ,电力设备,30,2026-06-15,46229.98,5.4,3.63,2.52,-1.47,-5.74,7.32,220.52
801053.SI,贵金属,有色金属,11,2026-06-15,23846.23,5.39,11.3,9.83,-0.56,-7.77,7.58,173.02
801072.SI,通用设备,机械设备,219,2026-06-15,9079.01,5.2,4.68,3.78,6.16,1.0,36.24,898.88
801055.SI,工业金属,有色金属,60,2026-06-15,3479.68,5.15,11.92,11.75,2.21,1.12,72.87,1116.02
801218.SI,专业服务,社会服务,30,2026-06-15,6299.13,4.34,5.24,5.0,1.96,-1.86,3.56,58.37
801074.SI,专用设备,机械设备,178,2026-06-15,13394.95,4.22,2.83,3.09,2.03,-2.11,22.37,525.85
801051.SI,金属新材料,有色金属,32,2026-06-15,11704.68,4.09,6.25,8.58,13.18,10.06,8.75,220.82
801992.SI,航运港口,交通运输,34,2026-06-15,3326.58,3.66,6.03,4.88,-0.83,-2.18,13.12,84.81
801101.SI,计算机设备,计算机,84,2026-06-15,2875.62,3.61,2.02,2.19,-2.33,-12.48,11.35,295.73
801744.SI,航海装备Ⅱ,国防军工,10,2026-06-15,3245.29,3.36,3.07,3.64,-0.27,-7.09,2.61,72.18
801093.SI,汽车零部件,汽车,240,2026-06-15,8103.64,3.32,2.24,-0.42,-2.6,-9.14,33.15,614.32
801738.SI,电网设备,电力设备,125,2026-06-15,6216.28,3.21,3.69,1.56,-8.72,-10.38,28.73,545.91
801745.SI,军工电子Ⅱ,国防军工,62,2026-06-15,6732.46,3.18,4.5,6.1,3.35,-5.91,11.11,338.96
801103.SI,IT服务Ⅱ,计算机,119,2026-06-15,5000.75,2.88,-0.69,-0.08,-6.72,-15.33,28.76,460.85
801972.SI,环保设备Ⅱ,环保,27,2026-06-15,2449.58,2.85,0.98,1.85,0.26,-6.65,4.44,72.23
801731.SI,电机Ⅱ,电力设备,26,2026-06-15,14302.65,2.81,0.05,-4.31,-4.71,-12.83,3.9,76.74
801056.SI,能源金属,有色金属,13,2026-06-15,23104.29,2.74,8.98,14.73,4.7,-2.85,8.8,388.25
801032.SI,化学纤维,基础化工,27,2026-06-15,5063.38,2.7,2.94,4.36,4.93,-1.42,8.41,85.32
801191.SI,多元金融,非银金融,26,2026-06-15,1179.76,2.69,3.61,5.15,-3.41,-7.92,10.58,73.75
801034.SI,化学制品,基础化工,171,2026-06-15,7149.16,2.65,5.37,8.07,3.53,-1.02,36.93,782.33
801193.SI,证券Ⅱ,非银金融,50,2026-06-15,6100.4,2.62,5.21,6.86,3.21,1.86,57.04,662.02
801104.SI,软件开发,计算机,131,2026-06-15,5908.05,2.61,1.62,0.79,-7.49,-11.53,20.48,535.91
801202.SI,贸易Ⅱ,商贸零售,13,2026-06-15,4533.25,2.6,1.47,-1.09,-5.74,-11.17,3.26,26.23
801112.SI,黑色家电,家用电器,10,2026-06-15,2113.77,2.51,1.69,1.0,-3.17,-10.86,3.08,37.55
801991.SI,航空机场,交通运输,12,2026-06-15,2555.77,2.46,5.25,7.51,-1.25,1.54,17.35,86.42
801231.SI,综合Ⅱ,综合,15,2026-06-15,4375.83,2.33,-1.38,2.97,-5.86,-10.62,4.1,43.64
801726.SI,工程咨询服务Ⅱ,建筑装饰,41,2026-06-15,2156.68,2.29,2.32,3.79,0.75,-5.33,5.45,87.83
801737.SI,电池,电力设备,97,2026-06-15,26332.23,2.29,4.78,5.21,-2.75,-4.5,27.24,1093.36
801223.SI,通信服务,通信,38,2026-06-15,2245.97,2.27,-0.89,0.33,-4.16,-16.07,11.82,171.43
801767.SI,数字媒体,传媒,14,2026-06-15,1705.13,2.22,-2.63,-1.3,-5.84,-8.3,2.89,55.81
801132.SI,服装家纺,纺织服饰,59,2026-06-15,1557.21,2.12,3.14,2.4,-2.27,-6.23,7.85,81.28
801145.SI,文娱用品,轻工制造,22,2026-06-15,1764.82,2.09,-0.2,-0.69,-8.54,-13.95,2.24,25.4
801045.SI,特钢Ⅱ,钢铁,12,2026-06-15,4026.13,2.09,4.24,4.05,-2.23,-9.05,3.63,29.8
801724.SI,专业工程,建筑装饰,39,2026-06-15,1976.53,2.08,2.97,5.09,1.62,-3.68,9.46,122.16
