代码,名称,一级行业,成份数,日期,收盘价,涨跌幅(%),3日涨跌(%),5日涨跌(%),10日涨跌(%),20日涨跌(%),成交量(亿手),成交额(亿元)
801039.SI,非金属材料Ⅱ,基础化工,7,2026-06-18,9548.16,5.42,10.38,18.09,22.37,31.55,1.08,81.48
801051.SI,金属新材料,有色金属,32,2026-06-18,12512.17,4.17,6.9,12.25,15.35,20.77,9.83,257.87
801102.SI,通信设备,通信,85,2026-06-18,13535.3,4.14,8.85,15.32,7.8,31.5,24.04,2363.21
801081.SI,半导体,电子,175,2026-06-18,12009.21,3.84,11.01,16.35,12.68,15.91,49.92,5148.5
801156.SI,医疗服务,医药生物,51,2026-06-18,6150.13,3.64,2.86,5.34,2.66,-6.34,10.09,192.42
801054.SI,小金属,有色金属,26,2026-06-18,47217.46,3.61,5.84,15.34,14.81,22.63,18.12,907.65
801085.SI,消费电子,电子,90,2026-06-18,12567.24,3.61,6.7,12.41,1.91,7.3,31.11,1490.1
801083.SI,元件,电子,58,2026-06-18,30151.31,2.77,11.44,21.32,14.95,41.55,26.83,2019.65
801082.SI,其他电子Ⅱ,电子,33,2026-06-18,22420.25,2.7,11.16,20.29,12.2,17.83,8.9,402.24
801072.SI,通用设备,机械设备,219,2026-06-18,9606.07,2.63,5.81,11.66,8.07,7.43,40.77,1096.94
801078.SI,自动化设备,机械设备,79,2026-06-18,26656.8,2.43,7.1,12.3,8.14,9.09,14.1,877.26
801045.SI,特钢Ⅱ,钢铁,12,2026-06-18,4094.94,2.36,1.71,6.61,2.72,-3.79,3.33,29.55
801086.SI,电子化学品Ⅱ,电子,34,2026-06-18,15257.03,1.76,11.7,13.45,21.93,27.31,14.25,703.09
801726.SI,工程咨询服务Ⅱ,建筑装饰,41,2026-06-18,2233.69,1.49,3.57,5.3,3.68,2.26,5.88,108.12
801151.SI,化学制药,医药生物,151,2026-06-18,10640.7,1.41,-1.3,0.57,-1.57,-10.0,17.89,335.13
