代码,名称,一级行业,成份数,日期,收盘价,涨跌幅(%),3日涨跌(%),5日涨跌(%),10日涨跌(%),20日涨跌(%),成交量(亿手),成交额(亿元)
801055.SI,工业金属,有色金属,60,2026-06-12,3309.21,5.65,4.62,0.08,-2.94,-5.32,58.24,875.52
801053.SI,贵金属,有色金属,11,2026-06-12,22627.53,4.61,2.48,-2.44,-5.02,-14.25,7.4,157.55
801991.SI,航空机场,交通运输,12,2026-06-12,2494.45,4.61,3.16,1.07,-3.82,-2.62,23.05,82.17
801742.SI,航空装备Ⅱ,国防军工,45,2026-06-12,9337.41,4.1,4.1,0.53,-3.34,-11.33,10.38,306.86
801056.SI,能源金属,有色金属,13,2026-06-12,22488.63,3.64,5.55,6.35,0.46,-6.03,10.38,427.24
801193.SI,证券Ⅱ,非银金融,50,2026-06-12,5944.7,3.5,3.7,2.43,0.74,-1.02,46.23,525.07
801012.SI,农产品加工,农林牧渔,22,2026-06-12,2146.9,3.48,2.13,-0.87,-1.33,-9.47,2.05,23.02
801881.SI,摩托车及其他,汽车,16,2026-06-12,3155.88,3.47,-1.23,-1.31,-3.15,-12.46,1.35,24.86
801133.SI,饰品,纺织服饰,15,2026-06-12,1359.41,3.35,1.09,-1.63,-4.21,-7.39,2.37,17.47
801737.SI,电池,电力设备,97,2026-06-12,25742.2,3.26,0.06,-0.24,-5.5,-7.21,32.13,1190.58
801963.SI,炼化及贸易,石油石化,30,2026-06-12,2936.34,3.18,2.45,-0.88,0.2,-8.31,19.46,153.22
801992.SI,航运港口,交通运输,34,2026-06-12,3209.02,3.17,1.46,-1.75,-3.17,-6.56,18.08,133.34
801982.SI,化妆品,美容护理,14,2026-06-12,6178.56,3.1,1.66,-0.62,-2.95,-5.12,1.1,21.09
801143.SI,造纸,轻工制造,23,2026-06-12,2169.23,2.99,-0.2,-1.96,-3.84,-8.73,8.52,39.29
801981.SI,个护用品,美容护理,12,2026-06-12,1227.61,2.97,2.49,-0.78,-3.52,-12.13,0.64,8.98
801219.SI,酒店餐饮,社会服务,9,2026-06-12,1524.6,2.92,1.64,-1.9,-3.36,-9.67,0.89,9.35
801194.SI,保险Ⅱ,非银金融,5,2026-06-12,1194.04,2.83,1.9,2.76,1.61,-2.42,4.25,144.27
801044.SI,普钢,钢铁,23,2026-06-12,2144.8,2.8,1.51,-1.03,-2.55,-8.87,22.4,69.4
801156.SI,医疗服务,医药生物,51,2026-06-12,6000.31,2.77,3.85,0.69,-4.34,-9.62,8.3,186.49
801191.SI,多元金融,非银金融,26,2026-06-12,1148.86,2.75,1.72,-0.95,-4.62,-11.07,9.42,64.64
801038.SI,农化制品,基础化工,58,2026-06-12,5274.01,2.74,4.68,1.74,-0.48,-9.8,20.05,276.21
801045.SI,特钢Ⅱ,钢铁,12,2026-06-12,3943.77,2.68,1.49,-1.06,-3.95,-11.65,3.26,25.77
801054.SI,小金属,有色金属,26,2026-06-12,42033.51,2.68,6.09,4.33,7.29,4.06,18.75,913.21
801016.SI,种植业,农林牧渔,20,2026-06-12,2426.93,2.65,2.7,-1.15,-2.03,-12.21,7.28,41.21
801018.SI,动物保健Ⅱ,农林牧渔,10,2026-06-12,4137.3,2.63,2.16,4.16,0.87,-13.32,1.11,9.41
801204.SI,专业连锁Ⅱ,商贸零售,7,2026-06-12,3821.49,2.54,-1.28,-2.48,-5.19,-12.69,1.17,11.91
801104.SI,软件开发,计算机,131,2026-06-12,5757.9,2.48,-3.5,-4.17,-7.15,-12.8,21.52,555.16
801993.SI,旅游及景区,社会服务,24,2026-06-12,1999.3,2.44,2.25,-0.66,-2.01,-4.8,4.3,37.38
801152.SI,生物制品,医药生物,51,2026-06-12,5099.53,2.44,1.18,-1.24,-6.33,-12.65,7.08,121.93
801151.SI,化学制药,医药生物,151,2026-06-12,10822.97,2.29,2.19,0.2,-5.43,-10.84,18.25,311.4
801203.SI,一般零售,商贸零售,59,2026-06-12,2753.05,2.29,-0.59,-4.0,-7.0,-10.1,17.07,90.39
801952.SI,焦炭Ⅱ,煤炭,7,2026-06-12,1248.59,2.26,-2.97,-9.55,-3.38,-2.33,4.33,14.85
801043.SI,冶钢原料,钢铁,9,2026-06-12,3675.39,2.09,2.0,1.03,2.3,-5.34,5.11,44.26
801154.SI,医药商业,医药生物,32,2026-06-12,4473.55,1.97,1.17,-0.8,-3.34,-9.55,3.98,34.32
801743.SI,地面兵装Ⅱ,国防军工,12,2026-06-12,16890.73,1.97,0.78,-0.83,-3.07,-8.95,2.72,50.99
801034.SI,化学制品,基础化工,171,2026-06-12,6964.6,1.94,3.7,2.14,3.03,-4.72,37.96,783.57
801206.SI,互联网电商,商贸零售,18,2026-06-12,9980.69,1.92,-2.08,-4.18,-7.34,-15.55,2.54,26.46
801183.SI,房地产服务,房地产,11,2026-06-12,785.98,1.9,-0.63,-4.61,-8.09,-16.0,2.58,9.03
801032.SI,化学纤维,基础化工,27,2026-06-12,4930.25,1.85,-0.33,-0.95,3.25,-6.59,8.61,86.17
801766.SI,影视院线,传媒,19,2026-06-12,1064.85,1.84,-4.8,-7.07,-11.73,-14.62,8.92,65.48
801015.SI,渔业,农林牧渔,6,2026-06-12,670.86,1.77,-0.18,-3.36,-5.16,-10.6,0.83,3.0
801744.SI,航海装备Ⅱ,国防军工,10,2026-06-12,3139.81,1.75,0.11,-2.37,-5.08,-13.6,3.03,68.72
801033.SI,化学原料,基础化工,57,2026-06-12,3391.88,1.71,1.98,0.63,1.88,-9.04,19.38,264.95
801782.SI,国有大型银行Ⅱ,银行,6,2026-06-12,1997.3,1.7,3.24,5.35,7.29,6.1,19.59,135.63
801092.SI,汽车服务,汽车,10,2026-06-12,473.78,1.66,-0.91,-1.91,-2.01,-6.09,1.65,13.79
801095.SI,乘用车,汽车,8,2026-06-12,15099.55,1.66,-0.98,-2.94,-6.15,-9.25,5.39,98.91
801128.SI,休闲食品,食品饮料,22,2026-06-12,1731.77,1.64,0.72,-2.39,-5.87,-7.52,1.71,20.34
801713.SI,装修建材,建筑材料,35,2026-06-12,4942.86,1.64,0.39,-2.86,-3.97,-11.85,7.1,83.09
801767.SI,数字媒体,传媒,14,2026-06-12,1668.09,1.53,-5.83,-5.33,-2.95,-9.08,3.59,69.09
801131.SI,纺织制造,纺织服饰,33,2026-06-12,1672.09,1.53,-0.46,-1.66,-4.69,-13.58,3.66,29.99
801971.SI,环境治理,环保,106,2026-06-12,1936.99,1.52,-0.0,-1.63,-3.25,-7.93,15.78,147.39
801132.SI,服装家纺,纺织服饰,59,2026-06-12,1524.91,1.5,0.43,-1.02,-1.9,-9.37,6.99,60.82
801126.SI,非白酒,食品饮料,17,2026-06-12,3653.29,1.45,2.77,0.7,-3.82,-2.73,2.04,29.56
801124.SI,食品加工,食品饮料,25,2026-06-12,12843.62,1.43,1.12,0.76,-4.1,-8.39,3.33,29.98
801077.SI,工程机械,机械设备,28,2026-06-12,22701.16,1.42,-4.69,-1.6,-0.31,-7.66,8.14,124.28
801738.SI,电网设备,电力设备,125,2026-06-12,6022.91,1.37,-2.95,-5.77,-10.55,-12.06,28.38,525.09
801155.SI,中药Ⅱ,医药生物,66,2026-06-12,5483.27,1.33,0.9,-1.18,-3.27,-6.44,8.7,89.04
801153.SI,医疗器械,医药生物,129,2026-06-12,5696.97,1.3,0.36,-1.93,-6.07,-9.13,8.44,229.22
801218.SI,专业服务,社会服务,30,2026-06-12,6037.02,1.3,-0.59,-2.35,-2.32,-6.27,3.89,61.26
801178.SI,物流,交通运输,47,2026-06-12,4141.32,1.29,0.8,-1.51,-3.8,-8.04,5.77,49.74
801962.SI,油服工程,石油石化,13,2026-06-12,2330.19,1.25,0.63,-3.34,-4.24,-15.06,6.21,41.39
801724.SI,专业工程,建筑装饰,39,2026-06-12,1936.3,1.22,0.86,0.72,-0.42,-6.36,10.64,132.28
801017.SI,养殖业,农林牧渔,23,2026-06-12,2460.05,1.15,1.94,-0.04,-5.95,-14.83,7.22,74.75
801995.SI,电视广播Ⅱ,传媒,14,2026-06-12,1002.32,1.15,-3.12,-6.46,-10.3,-13.14,4.0,23.66
801202.SI,贸易Ⅱ,商贸零售,13,2026-06-12,4418.41,1.1,-3.06,-8.82,-7.58,-12.91,3.21,22.04
801784.SI,城商行Ⅱ,银行,17,2026-06-12,1076.48,1.07,2.31,4.17,4.86,3.0,9.88,87.36
801142.SI,家居用品,轻工制造,72,2026-06-12,1702.96,1.05,0.04,-2.77,-3.68,-12.51,6.18,71.2
801733.SI,其他电源设备Ⅱ,电力设备,30,2026-06-12,43862.65,1.04,-7.41,-5.96,-6.34,-9.69,8.39,243.46
801711.SI,水泥,建筑材料,21,2026-06-12,4103.09,1.03,-1.07,-3.25,-5.89,-9.46,3.51,26.22
801014.SI,饲料,农林牧渔,17,2026-06-12,3485.51,1.02,1.68,0.41,-4.62,-10.36,3.92,27.02
801994.SI,教育,社会服务,15,2026-06-12,1726.43,1.01,-2.07,-4.0,-8.1,-11.82,3.59,16.48
801741.SI,航天装备Ⅱ,国防军工,9,2026-06-12,31491.11,0.97,-3.87,-5.68,2.45,-14.38,3.87,142.35
801723.SI,基础建设,建筑装饰,45,2026-06-12,2145.08,0.97,-1.7,-3.97,-5.71,-12.16,22.79,121.3
801785.SI,农商行Ⅱ,银行,10,2026-06-12,795.52,0.96,1.68,3.04,3.5,0.73,4.0,18.51
801115.SI,照明设备Ⅱ,家用电器,12,2026-06-12,5162.47,0.95,-1.94,-2.1,-0.01,6.7,1.16,19.37
801161.SI,电力,公用事业,102,2026-06-12,3557.18,0.93,-1.26,-2.88,-6.75,-1.81,79.14,672.69
801051.SI,金属新材料,有色金属,32,2026-06-12,11245.07,0.88,0.43,0.6,6.9,6.71,9.98,238.03
801181.SI,房地产开发,房地产,88,2026-06-12,2257.89,0.84,0.31,-2.05,-5.51,-10.23,44.61,239.21
801141.SI,包装印刷,轻工制造,41,2026-06-12,3013.96,0.79,-1.07,-1.61,-1.83,-11.16,7.26,92.19
801093.SI,汽车零部件,汽车,240,2026-06-12,7842.92,0.75,-4.53,-5.56,-6.42,-12.29,33.1,614.77
801736.SI,风电设备,电力设备,29,2026-06-12,2485.71,0.69,-2.52,-6.59,-12.7,-18.91,7.13,131.2
801096.SI,商用车,汽车,13,2026-06-12,7385.42,0.67,-2.31,-3.03,-7.94,-18.05,4.94,50.42
801163.SI,燃气Ⅱ,公用事业,29,2026-06-12,3149.09,0.67,1.24,-1.62,-2.6,-9.2,5.29,57.86
801113.SI,小家电,家用电器,20,2026-06-12,4047.2,0.67,-4.27,-4.27,-4.26,-14.55,1.1,31.63
801114.SI,厨卫电器,家用电器,9,2026-06-12,8103.73,0.67,1.87,-1.21,-3.72,-12.7,0.92,10.37
801745.SI,军工电子Ⅱ,国防军工,62,2026-06-12,6524.98,0.66,0.24,-2.68,-1.56,-8.16,12.65,392.27
801125.SI,白酒Ⅱ,食品饮料,19,2026-06-12,36730.89,0.66,2.13,-0.02,-4.67,-5.07,2.03,147.05
801076.SI,轨交设备Ⅱ,机械设备,31,2026-06-12,5634.69,0.65,-0.24,-0.84,-1.85,-6.72,6.48,63.87
