代码,名称,一级行业,成份数,日期,收盘价,涨跌幅(%),3日涨跌(%),5日涨跌(%),10日涨跌(%),20日涨跌(%),成交量(亿手),成交额(亿元)
801951.SI,煤炭开采,煤炭,30,2026-06-23,3432.61,-1.51,-1.51,-5.51,-14.62,-4.48,18.54,177.24
801743.SI,地面兵装Ⅱ,国防军工,12,2026-06-23,16973.08,-1.55,0.66,-0.72,2.71,-5.8,3.16,66.49
801074.SI,专用设备,机械设备,178,2026-06-23,13613.36,-1.62,-0.54,1.63,4.77,-2.03,26.64,646.41
801133.SI,饰品,纺织服饰,15,2026-06-23,1319.18,-1.65,-2.09,-4.45,-1.33,-10.09,2.0,14.17
801104.SI,软件开发,计算机,131,2026-06-23,5990.88,-1.67,1.93,1.4,2.21,-10.04,22.04,627.09
801113.SI,小家电,家用电器,20,2026-06-23,3872.99,-1.68,-2.04,-4.72,-9.27,-18.02,0.98,22.24
801051.SI,金属新材料,有色金属,32,2026-06-23,12202.96,-1.69,1.59,4.26,13.2,8.06,10.9,260.99
801767.SI,数字媒体,传媒,14,2026-06-23,1695.28,-1.74,1.78,-0.58,-1.87,-4.38,2.09,44.39
801082.SI,其他电子Ⅱ,电子,33,2026-06-23,23026.04,-1.76,5.48,14.16,27.72,11.84,9.61,455.55
801726.SI,工程咨询服务Ⅱ,建筑装饰,41,2026-06-23,2241.67,-1.78,1.85,3.94,7.88,1.34,5.32,100.96
801019.SI,农业综合Ⅱ,农林牧渔,2,2024-06-17,1017.95,-1.78,-2.1,-5.93,-11.6,-17.29,0.32,1.25
801202.SI,贸易Ⅱ,商贸零售,12,2026-06-23,4417.54,-1.79,-2.27,-2.55,-3.62,-11.4,2.69,20.69
801125.SI,白酒Ⅱ,食品饮料,19,2026-06-23,34723.17,-1.81,-2.2,-4.59,-4.25,-7.65,2.26,169.24
801076.SI,轨交设备Ⅱ,机械设备,31,2026-06-23,5705.88,-1.84,-1.36,-0.11,2.83,-2.91,7.27,79.59
801011.SI,林业Ⅱ,农林牧渔,4,2024-06-17,560.05,-1.91,-5.36,-4.69,-18.3,-23.04,0.32,0.83
801016.SI,种植业,农林牧渔,20,2026-06-23,2300.34,-1.94,-2.24,-5.49,-3.52,-9.73,5.28,29.64
801101.SI,计算机设备,计算机,84,2026-06-23,2964.61,-2.05,-0.43,3.09,5.35,-8.46,14.67,403.83
801085.SI,消费电子,电子,90,2026-06-23,12291.57,-2.17,1.34,4.36,8.03,-1.96,28.54,1314.27
801103.SI,IT服务Ⅱ,计算机,119,2026-06-23,5058.13,-2.2,0.47,1.15,1.07,-11.99,30.2,516.6
801116.SI,家电零部件Ⅱ,家用电器,30,2026-06-23,7336.86,-2.26,-1.8,-3.72,-4.47,-16.61,6.47,114.55
801204.SI,专业连锁Ⅱ,商贸零售,7,2026-06-23,3598.67,-2.34,-4.54,-5.89,-4.27,-16.03,0.85,8.33
801072.SI,通用设备,机械设备,219,2026-06-23,9425.88,-2.36,0.7,3.82,7.74,0.66,44.27,1081.59
801096.SI,商用车,汽车,13,2026-06-23,6990.51,-2.51,-3.89,-6.59,-8.32,-18.05,3.46,36.83
801724.SI,专业工程,建筑装饰,39,2026-06-23,1984.18,-2.51,-3.29,0.39,5.49,-2.3,10.37,116.63
801223.SI,通信服务,通信,38,2026-06-23,2219.47,-2.55,-0.63,-1.18,-0.85,-11.31,13.71,199.76
801095.SI,乘用车,汽车,8,2026-06-23,14076.46,-2.67,-3.08,-6.49,-7.61,-13.58,4.06,81.57
801044.SI,普钢,钢铁,23,2026-06-23,2080.2,-2.71,-1.5,-3.58,-1.28,-7.81,23.21,64.82
801194.SI,保险Ⅱ,非银金融,5,2026-06-23,1128.47,-2.75,-3.67,-6.25,-2.74,-5.33,3.9,139.84
801745.SI,军工电子Ⅱ,国防军工,62,2026-06-23,6736.45,-2.85,-3.04,0.06,6.16,-7.23,9.86,327.47
801736.SI,风电设备,电力设备,29,2026-06-23,2494.24,-2.87,-1.96,-0.8,-1.0,-18.06,7.22,114.91
801764.SI,游戏Ⅱ,传媒,26,2026-06-23,2723.96,-2.87,1.76,-1.45,-2.99,-9.26,9.63,142.53
801115.SI,照明设备Ⅱ,家用电器,12,2026-06-23,5255.64,-2.91,-4.56,-3.54,3.09,-1.04,2.14,26.58
